,what,parts,of,a,conventional,reciprocating,steam,engine,could,be,replaced,by,a,pistonless,rotary,engine,?
it,0.45803478360176086,0.39777734875679016,0.38761502504348755,0.5452592968940735,0.22129946947097778,0.2342464178800583,0.2156127691268921,0.26840072870254517,0.329755574464798,0.5203388929367065,0.21259181201457977,0.40926623344421387,0.5452592968940735,0.3198275566101074,0.1945594847202301,0.26840072870254517,0.25732165575027466
is,0.28837618231773376,0.330430269241333,0.4854315221309662,0.658733606338501,0.2229870855808258,0.24320678412914276,0.13029660284519196,0.18856970965862274,0.2763098180294037,0.4819129705429077,0.20220594108104706,0.3899846076965332,0.658733606338501,0.3270460069179535,0.21896867454051971,0.18856970965862274,0.22961433231830597
possible,0.3281886577606201,0.20527403056621552,0.3314395844936371,0.3421713411808014,0.36165016889572144,0.4203589856624603,0.2091505080461502,0.2083767056465149,0.5036788582801819,0.43379613757133484,0.1401113122701645,0.19730381667613983,0.3421713411808014,0.3631740212440491,0.15519042313098907,0.2083767056465149,0.3059970438480377
to,0.455847829580307,0.24449384212493896,0.41548454761505127,0.45503583550453186,0.32108715176582336,0.30987226963043213,0.22894427180290222,0.20794793963432312,0.5461788773536682,0.4972836375236511,0.2211306393146515,0.33534231781959534,0.45503583550453186,0.3331378102302551,0.16591617465019226,0.20794793963432312,0.29463258385658264
use,0.3453877568244934,0.2784082293510437,0.2750902473926544,0.30793872475624084,0.4303992688655853,0.43350017070770264,0.2950085997581482,0.2398114949464798,0.4056750237941742,0.4528608024120331,0.2708626687526703,0.21048003435134888,0.30793872475624084,0.38405126333236694,0.23503564298152924,0.2398114949464798,0.32795652747154236
a,0.3320399522781372,0.2777566909790039,0.5052502155303955,1.0,0.3075350821018219,0.3434195816516876,0.2141898274421692,0.24768835306167603,0.3736826181411743,0.39883795380592346,0.20298108458518982,0.32094135880470276,1.0,0.384858638048172,0.3010491132736206,0.24768835306167603,0.23916715383529663
mechanism,0.2635997533798218,0.20523063838481903,0.21395906805992126,0.2361949384212494,0.2587738633155823,0.4016445279121399,0.2591340243816376,0.26553910970687866,0.24350343644618988,0.2482970803976059,0.16275079548358917,0.18317677080631256,0.2361949384212494,0.426620215177536,0.3399299085140228,0.26553910970687866,0.1732848435640335
based,0.274813175201416,0.19982457160949707,0.3033197224140167,0.2977409064769745,0.20272010564804077,0.2816779911518097,0.13382546603679657,0.15070413053035736,0.19136376678943634,0.24377326667308807,0.19356735050678253,0.3462308943271637,0.2977409064769745,0.1295941174030304,0.20254816114902496,0.15070413053035736,0.134929820895195
on,0.34226128458976746,0.26594671607017517,0.3966929316520691,0.3848365545272827,0.2065388411283493,0.1853695809841156,0.1939276158809662,0.21060344576835632,0.2953716814517975,0.37900757789611816,0.2418564409017563,0.33887791633605957,0.3848365545272827,0.22086600959300995,0.15527436137199402,0.21060344576835632,0.2714994251728058
a,0.3320399522781372,0.2777566909790039,0.5052502155303955,1.0,0.3075350821018219,0.3434195816516876,0.2141898274421692,0.24768835306167603,0.3736826181411743,0.39883795380592346,0.20298108458518982,0.32094135880470276,1.0,0.384858638048172,0.3010491132736206,0.24768835306167603,0.23916715383529663
pistonless,0.2433011680841446,0.22461913526058197,0.26839569211006165,0.384858638048172,0.320898175239563,0.5294446349143982,0.42293035984039307,0.44789767265319824,0.2911277115345001,0.35125279426574707,0.18193738162517548,0.26006755232810974,0.384858638048172,0.9999999403953552,0.4788735806941986,0.44789767265319824,0.2654431462287903
rotary,0.17419953644275665,0.18146519362926483,0.17702965438365936,0.3010491132736206,0.258306622505188,0.3759308457374573,0.3665830194950104,0.37851420044898987,0.18521082401275635,0.21196874976158142,0.26051759719848633,0.18527555465698242,0.3010491132736206,0.4788735806941986,0.9999998807907104,0.37851420044898987,0.07097224146127701
engine,0.18463268876075745,0.2536579370498657,0.17095594108104706,0.24768835306167603,0.217251256108284,0.35745206475257874,0.4921848475933075,1.0,0.19176195561885834,0.19078890979290009,0.2334025502204895,0.1870088279247284,0.24768835306167603,0.44789767265319824,0.37851420044898987,1.0,0.17739196121692657
such,0.23989605903625488,0.2670971751213074,0.3209529519081116,0.2706976532936096,0.2907005846500397,0.35314813256263733,0.27096763253211975,0.12399271875619888,0.3029654324054718,0.5239806771278381,0.18006038665771484,0.2736194431781769,0.2706976532936096,0.28396204113960266,0.214227095246315,0.12399271875619888,0.17851735651493073
as,0.31749409437179565,0.20346619188785553,0.3886612355709076,0.39550232887268066,0.28905752301216125,0.281358927488327,0.20776431262493134,0.15144379436969757,0.32771480083465576,0.5230465531349182,0.33300021290779114,0.3815547823905945,0.39550232887268066,0.3055283725261688,0.17900818586349487,0.15144379436969757,0.27043893933296204
