,who,ordered,the,attack,on,the,caravan,of,traders,genghis,khan,send,to,khwarezmia,?
however,0.4020770490169525,0.2914924621582031,0.49814513325691223,0.2167847901582718,0.3940407931804657,0.49814513325691223,0.195665642619133,0.3800618350505829,0.3165551424026489,0.2830825448036194,0.20937305688858032,0.28132712841033936,0.5474119186401367,0.33773285150527954,0.2152075469493866
",",0.3365725874900818,0.23846343159675598,0.4933079481124878,0.29392024874687195,0.49057599902153015,0.4933079481124878,0.21492914855480194,0.4946078956127167,0.2036922574043274,0.2891939878463745,0.19700400531291962,0.24667364358901978,0.44245919585227966,0.35280895233154297,0.31091248989105225
inalchuq,0.3082960844039917,0.2791030704975128,0.3083098828792572,0.2307494878768921,0.31783685088157654,0.3083098828792572,0.29177263379096985,0.2910105884075165,0.2557840645313263,0.3578783869743347,0.23091517388820648,0.28626444935798645,0.3078114092350006,0.4737587571144104,0.3137962818145752
",",0.3365725874900818,0.23846343159675598,0.4933079481124878,0.29392024874687195,0.49057599902153015,0.4933079481124878,0.21492914855480194,0.4946078956127167,0.2036922574043274,0.2891939878463745,0.19700400531291962,0.24667364358901978,0.44245919585227966,0.35280895233154297,0.31091248989105225
the,0.3733934462070465,0.2839050590991974,1.0,0.2508925497531891,0.5107308030128479,1.0,0.18716146051883698,0.733189046382904,0.28994330763816833,0.3448939025402069,0.21067845821380615,0.2581755518913269,0.535392165184021,0.3111512362957001,0.22068053483963013
governor,0.20484673976898193,0.2222490906715393,0.19955585896968842,0.1670512855052948,0.1850048303604126,0.19955585896968842,0.10152050107717514,0.19877229630947113,0.17252108454704285,0.23279069364070892,0.2043571174144745,0.15657790005207062,0.15556925535202026,0.2287975251674652,0.135940283536911
of,0.2827862501144409,0.31747159361839294,0.733189046382904,0.20644454658031464,0.3966929316520691,0.733189046382904,0.17384137213230133,1.0,0.16380983591079712,0.2938849925994873,0.17124508321285248,0.22127455472946167,0.41548454761505127,0.30564188957214355,0.1826142966747284
the,0.3733934462070465,0.2839050590991974,1.0,0.2508925497531891,0.5107308030128479,1.0,0.18716146051883698,0.733189046382904,0.28994330763816833,0.3448939025402069,0.21067845821380615,0.2581755518913269,0.535392165184021,0.3111512362957001,0.22068053483963013
khwarezmian,0.3059723675251007,0.16485914587974548,0.3120568096637726,0.190777987241745,0.12293698638677597,0.3120568096637726,0.39617544412612915,0.2820981740951538,0.2920506000518799,0.6046951413154602,0.6125281453132629,0.11873850226402283,0.20224115252494812,0.8583341836929321,0.19198301434516907
city,0.21073515713214874,0.19914673268795013,0.35769423842430115,0.18285731971263885,0.2549738585948944,0.35769423842430115,0.27288714051246643,0.32503411173820496,0.29908210039138794,0.30777209997177124,0.19724291563034058,0.1399393379688263,0.20300441980361938,0.33587953448295593,0.13423943519592285
of,0.2827862501144409,0.31747159361839294,0.733189046382904,0.20644454658031464,0.3966929316520691,0.733189046382904,0.17384137213230133,1.0,0.16380983591079712,0.2938849925994873,0.17124508321285248,0.22127455472946167,0.41548454761505127,0.30564188957214355,0.1826142966747284
