,what,event,followed,the,battle,?
their,0.35142919421195984,0.1911730021238327,0.2390340268611908,0.516537070274353,0.12281665951013565,0.1898253709077835
defeat,0.16252544522285461,0.22804652154445648,0.15720878541469574,0.3182816207408905,0.5788845419883728,0.12980464100837708
by,0.2455483376979828,0.2186535894870758,0.3815058469772339,0.4408751428127289,0.14325805008411407,0.17966607213020325
the,0.42745697498321533,0.2960145175457001,0.3567860722541809,1.0,0.2820790410041809,0.22068053483963013
swabian,0.15751926600933075,0.05587228015065193,0.20791670680046082,0.28632035851478577,0.2558785080909729,0.09673494100570679
league,0.16616638004779816,0.20535941421985626,0.09899013489484787,0.2724147439002991,0.19218440353870392,0.15941482782363892
at,0.2838611304759979,0.3039053678512573,0.21549278497695923,0.457212895154953,0.23658646643161774,0.21978627145290375
the,0.42745697498321533,0.2960145175457001,0.3567860722541809,1.0,0.2820790410041809,0.22068053483963013
battle,0.17112864553928375,0.19512081146240234,0.1610945165157318,0.2820790410041809,1.0000001192092896,0.1680624783039093
of,0.33290785551071167,0.19878064095973969,0.3060508966445923,0.733189046382904,0.2291749268770218,0.1826142966747284
frankenhausen,0.13801375031471252,0.12114536017179489,0.19532766938209534,0.29454031586647034,0.1847819685935974,0.13644467294216156
on,0.34226128458976746,0.21758322417736053,0.28835389018058777,0.5107308030128479,0.19314859807491302,0.2714994251728058
15,-0.01077192835509777,0.03376537933945656,-0.014813410118222237,-0.011810222640633583,0.06584225594997406,-0.010706285014748573
may,0.25739946961402893,0.21385762095451355,0.17740236222743988,0.2694292366504669,0.14497102797031403,0.2768254578113556
1525,0.1285589039325714,0.11306934803724289,0.1997193545103073,0.1667099893093109,0.1825634241104126,0.09607826918363571
",",0.3087472915649414,0.22701776027679443,0.3097211718559265,0.4933079481124878,0.23037992417812347,0.31091248989105225
followed,0.20169416069984436,0.1926303505897522,1.0000001192092896,0.3567860722541809,0.1610945165157318,0.20567169785499573
by,0.2455483376979828,0.2186535894870758,0.3815058469772339,0.4408751428127289,0.14325805008411407,0.17966607213020325
müntzer,0.13931939005851746,0.08941887319087982,0.16772858798503876,0.2577848732471466,0.1339099109172821,0.16854120790958405
's,0.02692362666130066,0.026449335739016533,-0.0014459885424003005,-0.01540423184633255,-0.03793543204665184,-0.023395681753754616
execution,0.2218502163887024,0.24300721287727356,0.26447010040283203,0.2074618637561798,0.20539399981498718,0.15878841280937195
",",0.3087472915649414,0.22701776027679443,0.3097211718559265,0.4933079481124878,0.23037992417812347,0.31091248989105225
brought,0.26212388277053833,0.1407056599855423,0.30412691831588745,0.32700833678245544,0.14410138130187988,0.2339296191930771
the,0.42745697498321533,0.2960145175457001,0.3567860722541809,1.0,0.2820790410041809,0.22068053483963013
revolutionary,0.15823614597320557,0.18927696347236633,0.20995518565177917,0.24521014094352722,0.2977171838283539,0.1343436986207962
stage,0.15168409049510956,0.1864004284143448,0.2444208264350891,0.22652170062065125,0.1581464260816574,0.14916576445102692
of,0.33290785551071167,0.19878064095973969,0.3060508966445923,0.733189046382904,0.2291749268770218,0.1826142966747284
the,0.42745697498321533,0.2960145175457001,0.3567860722541809,1.0,0.2820790410041809,0.22068053483963013
reformation,0.23052695393562317,0.20235247910022736,0.2671942114830017,0.3290504217147827,0.23113088309764862,0.14843040704727173
to,0.455847829580307,0.2585321366786957,0.23444271087646484,0.535392165184021,0.17405389249324799,0.29463258385658264
a,0.3320399522781372,0.2635729908943176,0.2840714454650879,0.5829201340675354,0.1176733672618866,0.23916715383529663
close,0.23424343764781952,0.1589067280292511,0.15070810914039612,0.2625353932380676,0.1496185064315796,0.1908312737941742
.,0.3567904531955719,0.2068977802991867,0.3200787305831909,0.5934505462646484,0.1661834716796875,0.4130953550338745
