,where,is,corporal,punishment,practiced,the,most,?
30,0.07423815131187439,0.01582122966647148,-0.06730955839157104,-0.012247730046510696,0.06931311637163162,0.0730796679854393,0.015520086511969566,-0.08261742442846298
us,0.19360023736953735,0.1808239072561264,0.15402711927890778,0.14288465678691864,0.06265927106142044,0.25727739930152893,0.180059552192688,0.2742428481578827
states,0.24649012088775635,0.21939043700695038,0.26527202129364014,0.24844320118427277,0.2274288386106491,0.3463578522205353,0.286347895860672,0.16272737085819244
have,0.412650465965271,0.3613572418689728,0.13562873005867004,0.27079349756240845,0.2597140967845917,0.40389683842658997,0.44364631175994873,0.32991164922714233
banned,0.1961364597082138,0.18256497383117676,0.09279218316078186,0.3070095479488373,0.2620276212692261,0.2399827241897583,0.23498021066188812,0.3147534728050232
corporal,0.15824675559997559,0.13202491402626038,1.0,0.34936437010765076,0.12221571803092957,0.22063873708248138,0.11076462268829346,0.1554132103919983
punishment,0.2222001552581787,0.22508563101291656,0.34936437010765076,1.0000001192092896,0.2530534863471985,0.2503047287464142,0.17340581119060516,0.23842233419418335
",",0.3149496018886566,0.4691906273365021,0.2217067927122116,0.2216428816318512,0.24787157773971558,0.4933079481124878,0.3636029064655304,0.31091248989105225
the,0.5003893971443176,0.5823672413825989,0.22063873708248138,0.2503047287464142,0.20430389046669006,1.0,0.47635307908058167,0.22068053483963013
others,0.30222856998443604,0.25228992104530334,0.23018382489681244,0.2633834183216095,0.26787248253822327,0.34376874566078186,0.4080200791358948,0.26705288887023926
(,0.1970011591911316,0.35393038392066956,0.19582751393318176,0.11360079050064087,0.057768888771533966,0.33289089798927307,0.20654040575027466,0.40561532974243164
mostly,0.33554813265800476,0.35184943675994873,0.09791666269302368,0.11746148020029068,0.2889527678489685,0.3490641117095947,0.5389298796653748,0.09124795347452164
in,0.5344807505607605,0.5394441485404968,0.15530824661254883,0.19258901476860046,0.290182888507843,0.6662389636039734,0.41416558623313904,0.20430970191955566
the,0.5003893971443176,0.5823672413825989,0.22063873708248138,0.2503047287464142,0.20430389046669006,1.0,0.47635307908058167,0.22068053483963013
south,0.2539864182472229,0.27680471539497375,0.1470760703086853,0.09595489501953125,0.18451690673828125,0.3129390776157379,0.24453285336494446,0.12336621433496475
),0.20711064338684082,0.37732169032096863,0.18031108379364014,0.12738631665706635,0.08069722354412079,0.3456730246543884,0.23620007932186127,0.42300865054130554
have,0.412650465965271,0.3613572418689728,0.13562873005867004,0.27079349756240845,0.2597140967845917,0.40389683842658997,0.44364631175994873,0.32991164922714233
not,0.3820744752883911,0.3776007890701294,0.17519666254520416,0.34782421588897705,0.23847079277038574,0.4310511648654938,0.419027179479599,0.41942933201789856
.,0.41390106081962585,0.4569662809371948,0.23281329870224,0.24320337176322937,0.18644404411315918,0.5934505462646484,0.35404038429260254,0.4130953550338745
