,what,is,important,for,a,teacher,to,enjoy,?
the,0.42745697498321533,0.5823672413825989,0.39348116517066956,0.4739971458911896,0.5829201340675354,0.17760860919952393,0.535392165184021,0.19656315445899963,0.22068053483963013
way,0.4835909903049469,0.31685471534729004,0.34208858013153076,0.384344220161438,0.3330821096897125,0.13289861381053925,0.4772548973560333,0.3014909029006958,0.31575819849967957
a,0.3320399522781372,0.658733606338501,0.2963852882385254,0.44038116931915283,1.0,0.31202319264411926,0.45503583550453186,0.208265021443367,0.23916715383529663
teacher,0.20492632687091827,0.2001669555902481,0.2065788209438324,0.23373261094093323,0.31202319264411926,0.9999998807907104,0.1991342306137085,0.22482746839523315,0.1797819435596466
promotes,0.153864786028862,0.23299919068813324,0.3059214949607849,0.22152234613895416,0.22006754577159882,0.1473345011472702,0.241094708442688,0.2594567835330963,0.1558201164007187
the,0.42745697498321533,0.5823672413825989,0.39348116517066956,0.4739971458911896,0.5829201340675354,0.17760860919952393,0.535392165184021,0.19656315445899963,0.22068053483963013
course,0.3412042260169983,0.2551652491092682,0.2621692717075348,0.29164767265319824,0.2895289659500122,0.3196853995323181,0.30525898933410645,0.303641676902771,0.28826573491096497
they,0.4431931674480438,0.330102801322937,0.27455639839172363,0.3466525673866272,0.3528250455856323,0.1623399555683136,0.5452046394348145,0.33437174558639526,0.2753053903579712
are,0.29724663496017456,0.5330929756164551,0.33294984698295593,0.3895993232727051,0.265255331993103,0.09182974696159363,0.3504326641559601,0.31696343421936035,0.24591213464736938
teaching,0.27416905760765076,0.16213442385196686,0.27210643887519836,0.31977686285972595,0.21643459796905518,0.6199770569801331,0.2762126624584198,0.3087613582611084,0.20424684882164001
",",0.3087472915649414,0.4691906273365021,0.3452564477920532,0.4464869201183319,0.427140474319458,0.2884024977684021,0.44245919585227966,0.27890104055404663,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.39348116517066956,0.4739971458911896,0.5829201340675354,0.17760860919952393,0.535392165184021,0.19656315445899963,0.22068053483963013
more,0.3484537899494171,0.2946030795574188,0.2766265273094177,0.3891189992427826,0.3452818691730499,0.14009490609169006,0.47084665298461914,0.23798105120658875,0.27894994616508484
the,0.42745697498321533,0.5823672413825989,0.39348116517066956,0.4739971458911896,0.5829201340675354,0.17760860919952393,0.535392165184021,0.19656315445899963,0.22068053483963013
student,0.20548318326473236,0.18911804258823395,0.17532911896705627,0.20500831305980682,0.3207114636898041,0.5754092335700989,0.21220189332962036,0.1768978238105774,0.13282090425491333
will,0.3510494530200958,0.3723262846469879,0.17595535516738892,0.3647450804710388,0.3401327431201935,0.1587311178445816,0.5091033577919006,0.22390174865722656,0.35046905279159546
get,0.3490515947341919,0.29207053780555725,0.2448074072599411,0.342695415019989,0.27948489785194397,0.16502690315246582,0.4388369917869568,0.28360840678215027,0.3499825894832611
out,0.3633197546005249,0.2817855477333069,0.22722063958644867,0.3312093913555145,0.34264278411865234,0.1989559531211853,0.42386990785598755,0.20066441595554352,0.22020699083805084
of,0.33290785551071167,0.4854315221309662,0.43301743268966675,0.4185989499092102,0.5052502155303955,0.19968076050281525,0.41548454761505127,0.21310144662857056,0.1826142966747284
