,how,much,of,the,rhine,flow,does,ijssel,carry,?
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.35928019881248474,0.2897469401359558,0.26752355694770813,0.22068053483963013
ijssel,0.13282962143421173,0.1519297957420349,0.25134557485580444,0.2897469401359558,0.544929563999176,0.27179181575775146,0.10766929388046265,1.0,0.16448456048965454,0.10587967932224274
branch,0.18322335183620453,0.16846902668476105,0.23972897231578827,0.2630956768989563,0.2070019692182541,0.20950406789779663,0.14723090827465057,0.21089433133602142,0.15712806582450867,0.10474635660648346
carries,0.1937691867351532,0.2876644730567932,0.37620046734809875,0.367861807346344,0.14106231927871704,0.36078086495399475,0.3182373046875,0.2036016881465912,0.6246627569198608,0.13831257820129395
one,0.3213292360305786,0.3110751807689667,0.4999135136604309,0.5514441132545471,0.19870029389858246,0.23232635855674744,0.2924913763999939,0.17780712246894836,0.2303367257118225,0.2673267424106598
ninth,0.08452747762203217,0.16631805896759033,0.28438499569892883,0.3694124221801758,0.11531396955251694,0.10708355903625488,0.14029201865196228,0.12025214731693268,0.08199762552976608,0.05752093717455864
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.2548927664756775,0.2407451719045639,0.3119818866252899,0.25134557485580444,0.23692575097084045,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.35928019881248474,0.2897469401359558,0.26752355694770813,0.22068053483963013
water,0.19594718515872955,0.2890187203884125,0.2741255462169647,0.297396719455719,0.18943050503730774,0.4377398192882538,0.29202038049697876,0.2900756001472473,0.23489810526371002,0.14731885492801666
flow,0.21408434212207794,0.2529391050338745,0.2407451719045639,0.314039409160614,0.20253489911556244,0.9999999403953552,0.21734505891799927,0.27179181575775146,0.3291282057762146,0.10458291321992874
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.2548927664756775,0.2407451719045639,0.3119818866252899,0.25134557485580444,0.23692575097084045,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.30735138058662415,0.314039409160614,0.35928019881248474,0.2897469401359558,0.26752355694770813,0.22068053483963013
rhine,0.09285783767700195,0.11189084500074387,0.2548927664756775,0.30735138058662415,1.0,0.20253489911556244,0.13532963395118713,0.544929563999176,0.13177715241909027,0.13754533231258392
north,0.12114071100950241,0.1584777534008026,0.3604778051376343,0.36298373341560364,0.3832572400569916,0.23647426068782806,0.11500263214111328,0.3735372722148895,0.13809938728809357,0.11829731613397598
into,0.2303972691297531,0.24201840162277222,0.32255905866622925,0.39493247866630554,0.1991104632616043,0.26189538836479187,0.22312942147254944,0.2875998914241791,0.27031731605529785,0.15662476420402527
