,by,whom,did,st,paul,say,all,authorities,were,appointed,?
first,0.3877052962779999,0.2704542577266693,0.33691170811653137,0.31032004952430725,0.17816093564033508,0.1878833770751953,0.34243571758270264,0.19527052342891693,0.3285558819770813,0.2839486598968506,0.18701928853988647
",",0.3680937886238098,0.25587570667266846,0.3015086054801941,0.2904339134693146,0.3070785701274872,0.35129812359809875,0.425624817609787,0.24295401573181152,0.36755475401878357,0.27665549516677856,0.31091248989105225
in,0.370934396982193,0.20012985169887543,0.2593238651752472,0.259651780128479,0.21331322193145752,0.26482993364334106,0.3335905969142914,0.2868952453136444,0.3815755248069763,0.23088723421096802,0.20430970191955566
choosing,0.24256782233715057,0.1769106537103653,0.29946959018707275,0.08361231535673141,0.15027981996536255,0.2566649317741394,0.34873583912849426,0.22466593980789185,0.22025060653686523,0.21972012519836426,0.24394561350345612
violence,0.21456557512283325,0.22440093755722046,0.22152221202850342,0.10777091979980469,0.1258629709482193,0.2829676866531372,0.16955986618995667,0.3169289231300354,0.22823014855384827,0.08183535188436508,0.20634515583515167
over,0.29360154271125793,0.21744979918003082,0.2535076439380646,0.16696153581142426,0.06889414042234421,0.27243247628211975,0.3786722719669342,0.2696901857852936,0.30589473247528076,0.17635859549045563,0.25742942094802856
lawful,0.2154179811477661,0.32191744446754456,0.3325168192386627,0.14877665042877197,0.1374618262052536,0.31573572754859924,0.2970210611820221,0.39250361919403076,0.270282119512558,0.27347296476364136,0.19633424282073975
submission,0.2694092392921448,0.20561297237873077,0.24679268896579742,0.07968054711818695,0.19816577434539795,0.21477991342544556,0.21120800077915192,0.33203497529029846,0.20912028849124908,0.2554973065853119,0.2050863802433014
to,0.33534231781959534,0.3108522593975067,0.4452643394470215,0.21034306287765503,0.16250576078891754,0.38071900606155396,0.42520734667778015,0.29137885570526123,0.31913647055625916,0.21184861660003662,0.29463258385658264
the,0.4408751428127289,0.23752936720848083,0.34736719727516174,0.27966225147247314,0.19191958010196686,0.3200206458568573,0.4860881567001343,0.2784515917301178,0.3906462490558624,0.2626524269580841,0.22068053483963013
secular,0.1743442416191101,0.19492405652999878,0.23305241763591766,0.1503189206123352,0.10400299727916718,0.24528685212135315,0.19723977148532867,0.36844968795776367,0.21402139961719513,0.26281577348709106,0.13290788233280182
government,0.24235671758651733,0.1710723340511322,0.2792121469974518,0.16564637422561646,0.08055911213159561,0.2318355292081833,0.21567091345787048,0.575965404510498,0.27806493639945984,0.37891465425491333,0.18851417303085327
",",0.3680937886238098,0.25587570667266846,0.3015086054801941,0.2904339134693146,0.3070785701274872,0.35129812359809875,0.425624817609787,0.24295401573181152,0.36755475401878357,0.27665549516677856,0.31091248989105225
they,0.3391372263431549,0.3403101861476898,0.4879390597343445,0.13277685642242432,0.1787298172712326,0.3993258774280548,0.4884434938430786,0.300740122795105,0.5580583214759827,0.13898435235023499,0.2753053903579712
were,0.4406847059726715,0.27088287472724915,0.4162326455116272,0.19592945277690887,0.17724290490150452,0.28210389614105225,0.4387909770011902,0.3609226942062378,1.0000001192092896,0.19441884756088257,0.17890112102031708
ignoring,0.17148976027965546,0.26673445105552673,0.37140586972236633,0.08922325074672699,0.10685461014509201,0.42521464824676514,0.3267463743686676,0.34920400381088257,0.24944135546684265,0.1918087601661682,0.3513915240764618
christ,0.16001635789871216,0.23603029549121857,0.17013269662857056,0.22570723295211792,0.25707390904426575,0.21263988316059113,0.22924968600273132,0.18668852746486664,0.1325245052576065,0.18890729546546936,0.13772203028202057
