,who,did,luther,call,on,to,stop,the,revolt,?
in,0.2792111933231354,0.2593238651752472,0.20523880422115326,0.2520289719104767,0.46853652596473694,0.45010748505592346,0.20196323096752167,0.6662389636039734,0.1841784566640854,0.20430970191955566
against,0.2942115366458893,0.22514554858207703,0.18804924190044403,0.20915785431861877,0.3163113296031952,0.310872346162796,0.3346238434314728,0.3090755045413971,0.32754918932914734,0.18095137178897858
the,0.3733934462070465,0.34736719727516174,0.1759674996137619,0.26640447974205017,0.5107308030128479,0.535392165184021,0.25771772861480713,1.0,0.26279088854789734,0.22068053483963013
murderous,0.3717826306819916,0.2527971863746643,0.23788762092590332,0.09625791013240814,0.15288329124450684,0.24812503159046173,0.2724946439266205,0.254659503698349,0.39760884642601013,0.16823844611644745
",",0.3365725874900818,0.3015086054801941,0.23255878686904907,0.2670435905456543,0.49057599902153015,0.44245919585227966,0.24759207665920258,0.4933079481124878,0.18433308601379395,0.31091248989105225
thieving,0.40283823013305664,0.2992616891860962,0.15025782585144043,0.23614363372325897,0.22270193696022034,0.3715462386608124,0.2592410743236542,0.4199445843696594,0.2985219955444336,0.2349289059638977
hordes,0.2731107175350189,0.16832758486270905,0.14036540687084198,0.14902076125144958,0.19822484254837036,0.22413070499897003,0.18204621970653534,0.28979161381721497,0.37930789589881897,0.14722579717636108
of,0.2827862501144409,0.2513895630836487,0.1719115972518921,0.2378445267677307,0.3966929316520691,0.41548454761505127,0.2052845060825348,0.733189046382904,0.23708310723304749,0.1826142966747284
peasants,0.32341358065605164,0.283174604177475,0.12856873869895935,0.11777541786432266,0.1651853621006012,0.24425914883613586,0.19968579709529877,0.29513445496559143,0.4407710134983063,0.14431370794773102
",",0.3365725874900818,0.3015086054801941,0.23255878686904907,0.2670435905456543,0.49057599902153015,0.44245919585227966,0.24759207665920258,0.4933079481124878,0.18433308601379395,0.31091248989105225
written,0.26459524035453796,0.2051348239183426,0.202183336019516,0.15873776376247406,0.19147278368473053,0.18544813990592957,0.08174441754817963,0.2582438886165619,0.13413910567760468,0.21451954543590546
on,0.2340552806854248,0.2670976221561432,0.19090485572814941,0.14074347913265228,0.9999999403953552,0.41031414270401,0.2201516181230545,0.5107308030128479,0.1427350491285324,0.2714994251728058
his,0.44966956973075867,0.3546801507472992,0.27093374729156494,0.08363278955221176,0.32064297795295715,0.3715193271636963,0.21663039922714233,0.4394008219242096,0.24567684531211853,0.18075084686279297
return,0.14819499850273132,0.21141748130321503,0.06525282561779022,0.16145595908164978,0.16799497604370117,0.3110596537590027,0.2404690384864807,0.2543797492980957,0.15576547384262085,0.14655634760856628
to,0.42656609416007996,0.4452643394470215,0.18029534816741943,0.27641981840133667,0.41031414270401,1.0,0.31219643354415894,0.535392165184021,0.2202012687921524,0.29463258385658264
