,in,what,state,is,oxygen,shipped,in,bulk,?
for,0.4322226941585541,0.3017193675041199,0.19460363686084747,0.43268078565597534,0.22718772292137146,0.22233039140701294,0.4322226941585541,0.21798349916934967,0.264628142118454
reasons,0.22547267377376556,0.3640104830265045,0.23343850672245026,0.25412559509277344,0.20381879806518555,0.2379121631383896,0.22547267377376556,0.20034177601337433,0.248102068901062
of,0.5696388483047485,0.33290785551071167,0.34253445267677307,0.4854315221309662,0.16848602890968323,0.27060553431510925,0.5696388483047485,0.2895064651966095,0.1826142966747284
economy,0.2588731348514557,0.21764783561229706,0.3191017508506775,0.2698528468608856,0.2100968211889267,0.28324705362319946,0.2588731348514557,0.26900041103363037,0.11486924439668655
",",0.5201468467712402,0.3087472915649414,0.29481780529022217,0.4691906273365021,0.21812842786312103,0.2823590040206909,0.5201468467712402,0.2566060423851013,0.31091248989105225
oxygen,0.1672476977109909,0.16781960427761078,0.16012795269489288,0.21825239062309265,0.9999999403953552,0.16080713272094727,0.1672476977109909,0.26075050234794617,0.16786395013332367
is,0.5394441485404968,0.28837618231773376,0.2627358138561249,1.0,0.21825239062309265,0.14680258929729462,0.5394441485404968,0.23638124763965607,0.22961433231830597
often,0.3380797803401947,0.3849453330039978,0.17464479804039001,0.3856629431247711,0.27292680740356445,0.18177489936351776,0.3380797803401947,0.29877668619155884,0.23748154938220978
transported,0.265825092792511,0.17293962836265564,0.16741088032722473,0.18983562290668488,0.24995151162147522,0.4076814353466034,0.265825092792511,0.348420113325119,0.1354173868894577
in,1.0,0.30808621644973755,0.33316072821617126,0.5394441485404968,0.1672476977109909,0.2365943193435669,1.0,0.19168980419635773,0.20430970191955566
bulk,0.19168980419635773,0.19509074091911316,0.14443464577198029,0.23638124763965607,0.26075050234794617,0.2743918001651764,0.19168980419635773,1.0000001192092896,0.14538165926933289
as,0.3887844979763031,0.31749409437179565,0.26851922273635864,0.43216490745544434,0.16691245138645172,0.20700569450855255,0.3887844979763031,0.24645443260669708,0.27043893933296204
a,0.539380669593811,0.3320399522781372,0.25097307562828064,0.658733606338501,0.21662019193172455,0.15158134698867798,0.539380669593811,0.23548747599124908,0.23916715383529663
liquid,0.19967526197433472,0.24017377197742462,0.16684888303279877,0.2801579535007477,0.4322830140590668,0.22178234159946442,0.19967526197433472,0.3768402338027954,0.18412289023399353
in,1.0,0.30808621644973755,0.33316072821617126,0.5394441485404968,0.1672476977109909,0.2365943193435669,1.0,0.19168980419635773,0.20430970191955566
specially,0.29778292775154114,0.27000024914741516,0.1731862723827362,0.34006112813949585,0.21854038536548615,0.32233211398124695,0.29778292775154114,0.27753394842147827,0.22324217855930328
insulated,0.18485109508037567,0.17558553814888,0.23588304221630096,0.26921579241752625,0.3304672837257385,0.30489835143089294,0.18485109508037567,0.37157920002937317,0.08274427801370621
tankers,0.18039441108703613,0.1320449709892273,0.1974766105413437,0.1511772871017456,0.27597907185554504,0.4097907543182373,0.18039441108703613,0.36057549715042114,0.13368850946426392
",",0.5201468467712402,0.3087472915649414,0.29481780529022217,0.4691906273365021,0.21812842786312103,0.2823590040206909,0.5201468467712402,0.2566060423851013,0.31091248989105225
since,0.4325680434703827,0.29783400893211365,0.25233834981918335,0.3567592203617096,0.21690857410430908,0.2583061456680298,0.4325680434703827,0.16915950179100037,0.2876587212085724
one,0.4129433035850525,0.376489520072937,0.23717761039733887,0.4544198513031006,0.2436513900756836,0.2949846684932709,0.4129433035850525,0.20674115419387817,0.2673267424106598
liter,0.19433845579624176,0.110038161277771,0.062194567173719406,0.24755896627902985,0.32957392930984497,0.26047199964523315,0.19433845579624176,0.19933190941810608,0.20543551445007324
of,0.5696388483047485,0.33290785551071167,0.34253445267677307,0.4854315221309662,0.16848602890968323,0.27060553431510925,0.5696388483047485,0.2895064651966095,0.1826142966747284
liquefied,0.23523342609405518,0.21726368367671967,0.17244258522987366,0.22803297638893127,0.4256969690322876,0.40306586027145386,0.23523342609405518,0.3859812021255493,0.21783524751663208
oxygen,0.1672476977109909,0.16781960427761078,0.16012795269489288,0.21825239062309265,0.9999999403953552,0.16080713272094727,0.1672476977109909,0.26075050234794617,0.16786395013332367
is,0.5394441485404968,0.28837618231773376,0.2627358138561249,1.0,0.21825239062309265,0.14680258929729462,0.5394441485404968,0.23638124763965607,0.22961433231830597
equivalent,0.2342279851436615,0.1903919279575348,0.2282065749168396,0.31158339977264404,0.13794375956058502,0.2249332219362259,0.2342279851436615,0.31956586241722107,0.19755122065544128
to,0.45010748505592346,0.455847829580307,0.25557461380958557,0.42745086550712585,0.24193501472473145,0.2387903481721878,0.45010748505592346,0.2223905473947525,0.29463258385658264
840,0.07845965027809143,0.06563826650381088,0.05247686430811882,0.08372459560632706,-0.012759026139974594,0.0665220394730568,0.07845965027809143,0.0037738054525107145,0.16427664458751678
liters,0.22037172317504883,0.12773461639881134,0.16053210198879242,0.227274090051651,0.29639172554016113,0.2731893062591553,0.22037172317504883,0.27101266384124756,0.18208803236484528
of,0.5696388483047485,0.33290785551071167,0.34253445267677307,0.4854315221309662,0.16848602890968323,0.27060553431510925,0.5696388483047485,0.2895064651966095,0.1826142966747284
gaseous,0.22336186468601227,0.28648024797439575,0.1685764491558075,0.2596348226070404,0.5299525260925293,0.2131594866514206,0.22336186468601227,0.3977718949317932,0.1947249323129654
oxygen,0.1672476977109909,0.16781960427761078,0.16012795269489288,0.21825239062309265,0.9999999403953552,0.16080713272094727,0.1672476977109909,0.26075050234794617,0.16786395013332367
at,0.4374977946281433,0.2838611304759979,0.2408173680305481,0.25906258821487427,0.1428557187318802,0.20927461981773376,0.4374977946281433,0.11321630328893661,0.21978627145290375
atmospheric,0.17850768566131592,0.2079145908355713,0.16627854108810425,0.1751302033662796,0.4502122104167938,0.12343168258666992,0.17850768566131592,0.2583501636981964,0.11404281854629517
pressure,0.16116683185100555,0.2625555694103241,0.16911710798740387,0.19239991903305054,0.35798126459121704,0.12544913589954376,0.16116683185100555,0.2786356210708618,0.142023503780365
and,0.4954058527946472,0.31309178471565247,0.2653750479221344,0.3859752118587494,0.22261030972003937,0.30199840664863586,0.4954058527946472,0.3193436563014984,0.20544172823429108
20,-0.022708838805556297,-0.036424171179533005,0.00396836968138814,-0.04254214093089104,-0.015366463921964169,0.033460285514593124,-0.022708838805556297,-0.042037446051836014,0.11360422521829605
°c,0.19822709262371063,0.2101275473833084,0.18217703700065613,0.22964106500148773,0.361249715089798,0.23530572652816772,0.19822709262371063,0.2111901044845581,0.2095707356929779
(,0.3087427020072937,0.2411840260028839,0.23423868417739868,0.35393038392066956,0.189798504114151,0.17019745707511902,0.3087427020072937,0.1791253238916397,0.40561532974243164
68,-0.06483790278434753,-0.02787208743393421,-0.04377998039126396,0.021709345281124115,-0.006961825303733349,0.044421639293432236,-0.06483790278434753,0.013830271549522877,-0.057194557040929794
°f,0.23065856099128723,0.20015408098697662,0.2039664387702942,0.23312681913375854,0.3359350264072418,0.20011046528816223,0.23065856099128723,0.1827954649925232,0.19986218214035034
),0.3326910734176636,0.26259949803352356,0.2340407520532608,0.37732169032096863,0.19541971385478973,0.18489661812782288,0.3326910734176636,0.15120412409305573,0.42300865054130554
.,0.5591574311256409,0.3567904531955719,0.31380724906921387,0.4569662809371948,0.2554275095462799,0.27309882640838623,0.5591574311256409,0.2508670389652252,0.4130953550338745
