,what,is,the,english,translation,of,tawhid,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.2799903452396393,0.30652913451194763,0.45148900151252747,0.3587351441383362,0.3155723512172699
state,0.24273863434791565,0.2627358138561249,0.3097178041934967,0.10557875037193298,0.11080338060855865,0.34253445267677307,0.3063151240348816,0.1160883978009224
should,0.43830034136772156,0.33635082840919495,0.32399165630340576,0.23729191720485687,0.1761063039302826,0.23792634904384613,0.35314297676086426,0.4442402422428131
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.20368270576000214,0.2151537984609604,0.33904364705085754,0.31389883160591125,0.3324260413646698
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.21707510948181152,0.21946357190608978,0.5052502155303955,0.34270769357681274,0.23916715383529663
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.03079455904662609,-0.02818385139107704,0.06780257821083069,0.07187630981206894,0.0685480609536171
theo-democracy,0.2682248055934906,0.21182571351528168,0.2730538547039032,0.19092701375484467,0.210554301738739,0.2921333312988281,0.34011974930763245,0.21524423360824585
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.31918030977249146,0.31091248989105225
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.058639850467443466,0.07195914536714554,0.13035868108272552,0.028350327163934708,0.018684765323996544
based,0.274813175201416,0.3248139023780823,0.29860720038414,0.21187740564346313,0.20463654398918152,0.3033197224140167,0.1647581160068512,0.134929820895195
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.20717674493789673,0.13263548910617828,0.3966929316520691,0.2189481556415558,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,1.0,0.23982001841068268,0.26402729749679565,0.733189046382904,0.3414033353328705,0.22068053483963013
principles,0.3122304081916809,0.15077199041843414,0.21452596783638,0.12977799773216248,0.24396078288555145,0.25854504108428955,0.30851513147354126,0.19203636050224304
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17198967933654785,0.18704865872859955,1.0,0.29568421840667725,0.1826142966747284
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,-0.0987786203622818,-0.10392331331968307,-0.08807745575904846,-0.12684163451194763,-0.07156077772378922
tawhid,0.3992430567741394,0.29884225130081177,0.3414033353328705,0.2141333967447281,0.2565547525882721,0.29568421840667725,0.9999998807907104,0.4005108177661896
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.3194602429866791,0.2620614171028137,0.35032153129577637,0.29456987977027893,0.40561532974243164
unity,0.24233078956604004,0.19248439371585846,0.2460627406835556,0.15117186307907104,0.20645524561405182,0.2702390253543854,0.35906782746315,0.16156218945980072
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17198967933654785,0.18704865872859955,1.0,0.29568421840667725,0.1826142966747284
god,0.3127830922603607,0.2211674600839615,0.24689088761806488,0.15235450863838196,0.2425311952829361,0.2159487009048462,0.4360102713108063,0.23396754264831543
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.32298287749290466,0.2564658224582672,0.3680361211299896,0.2999877333641052,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.31918030977249146,0.31091248989105225
risala,0.1820470094680786,0.18791097402572632,0.26527565717697144,0.08303332328796387,0.1105913445353508,0.27404263615608215,0.377673476934433,0.17980511486530304
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.3194602429866791,0.2620614171028137,0.35032153129577637,0.29456987977027893,0.40561532974243164
prophethood,0.36482807993888855,0.20960880815982819,0.27595049142837524,0.15379640460014343,0.24663949012756348,0.2634297013282776,0.5355121493339539,0.24448737502098083
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.32298287749290466,0.2564658224582672,0.3680361211299896,0.2999877333641052,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3409043252468109,0.2206902801990509,0.5116966962814331,0.29592087864875793,0.20544172823429108
khilafa,0.23096983134746552,0.14125508069992065,0.24070560932159424,0.22658762335777283,0.2189144641160965,0.21689631044864655,0.5065671801567078,0.25834015011787415
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.3194602429866791,0.2620614171028137,0.35032153129577637,0.29456987977027893,0.40561532974243164
caliphate,0.2149973064661026,0.1373879760503769,0.25527113676071167,0.1670561134815216,0.19808799028396606,0.26091882586479187,0.4223010540008545,0.1574885994195938
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.32298287749290466,0.2564658224582672,0.3680361211299896,0.2999877333641052,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2881386876106262,0.2109805941581726,0.5352458953857422,0.3362729251384735,0.4130953550338745
