,what,is,the,first,major,city,in,the,stream,of,the,rhine,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.4127444326877594,0.3249945342540741,0.3911624252796173,1.0,0.6662389636039734,0.2099897712469101,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.49448907375335693,0.31775903701782227,0.35769423842430115,0.6662389636039734,1.0,0.2507912814617157,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
centre,0.12324132025241852,0.29804176092147827,0.32783594727516174,0.13780377805233002,0.2542794942855835,0.3318089246749878,0.2765078544616699,0.32783594727516174,0.16907310485839844,0.2769378423690796,0.32783594727516174,0.23271167278289795,0.019365152344107628
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3536086082458496,0.2641255557537079,0.32503411173820496,0.5696388483047485,0.733189046382904,0.1779453009366989,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
basel,0.12809641659259796,0.17891977727413177,0.2317996621131897,0.21875903010368347,0.17420944571495056,0.2588445842266083,0.2884023189544678,0.2317996621131897,0.13141514360904694,0.2537931501865387,0.2317996621131897,0.37773385643959045,0.15991902351379395
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.34503069519996643,0.29355156421661377,0.35839709639549255,0.5201468467712402,0.4933079481124878,0.2126854658126831,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.49448907375335693,0.31775903701782227,0.35769423842430115,0.6662389636039734,1.0,0.2507912814617157,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
first,0.28086137771606445,0.30889374017715454,0.49448907375335693,1.0,0.3049021065235138,0.20456640422344208,0.4127444326877594,0.49448907375335693,0.12475389987230301,0.3536086082458496,0.49448907375335693,0.13051658868789673,0.18701928853988647
major,0.21026742458343506,0.19079607725143433,0.31775903701782227,0.3049021065235138,0.9999998807907104,0.259122371673584,0.3249945342540741,0.31775903701782227,0.124897301197052,0.2641255557537079,0.31775903701782227,0.10607928037643433,0.19788557291030884
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.20456640422344208,0.259122371673584,1.0,0.3911624252796173,0.35769423842430115,0.18270385265350342,0.32503411173820496,0.35769423842430115,0.26540544629096985,0.13423943519592285
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.4127444326877594,0.3249945342540741,0.3911624252796173,1.0,0.6662389636039734,0.2099897712469101,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.49448907375335693,0.31775903701782227,0.35769423842430115,0.6662389636039734,1.0,0.2507912814617157,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
course,0.3412042260169983,0.2551652491092682,0.32268625497817993,0.18885205686092377,0.23554056882858276,0.15867167711257935,0.27132725715637207,0.32268625497817993,0.31804755330085754,0.2579863667488098,0.32268625497817993,0.259599506855011,0.28826573491096497
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3536086082458496,0.2641255557537079,0.32503411173820496,0.5696388483047485,0.733189046382904,0.1779453009366989,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.49448907375335693,0.31775903701782227,0.35769423842430115,0.6662389636039734,1.0,0.2507912814617157,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
stream,0.15652818977832794,0.29532310366630554,0.2507912814617157,0.12475389987230301,0.124897301197052,0.18270385265350342,0.2099897712469101,0.2507912814617157,1.0000001192092896,0.1779453009366989,0.2507912814617157,0.22996878623962402,0.11238504201173782
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.34503069519996643,0.29355156421661377,0.35839709639549255,0.5201468467712402,0.4933079481124878,0.2126854658126831,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
