,what,were,the,claims,of,corruption,in,the,armed,forces,?
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.15647023916244507,0.5696388483047485,0.17617714405059814,1.0,0.6662389636039734,0.2077496349811554,0.2565164566040039,0.20430970191955566
what,0.9999998807907104,0.22298263013362885,0.42745697498321533,0.2397100329399109,0.33290785551071167,0.20003895461559296,0.30808621644973755,0.42745697498321533,0.15827620029449463,0.2112482488155365,0.5051238536834717
are,0.29724663496017456,0.6489362716674805,0.40399202704429626,0.16840213537216187,0.39081433415412903,0.1424936056137085,0.3841303884983063,0.40399202704429626,0.19221976399421692,0.22039441764354706,0.24591213464736938
by,0.2455483376979828,0.4406847059726715,0.4408751428127289,0.16884745657444,0.3646814823150635,0.23889042437076569,0.370934396982193,0.4408751428127289,0.22038479149341583,0.294624388217926,0.17966607213020325
kenyan,0.11042535305023193,0.11560370028018951,0.1675717681646347,0.1754617989063263,0.16629895567893982,0.1893431395292282,0.19120332598686218,0.1675717681646347,0.2548912763595581,0.15749894082546234,0.1738916039466858
standards,0.2855789363384247,0.2115061730146408,0.2433546632528305,0.1704322099685669,0.18525971472263336,0.1583750694990158,0.17966534197330475,0.2433546632528305,0.17296776175498962,0.17265048623085022,0.2011813372373581
unprecedented,0.2247408777475357,0.2546958327293396,0.27631208300590515,0.24592739343643188,0.2571205198764801,0.34620028734207153,0.2215779572725296,0.27631208300590515,0.25966891646385193,0.2357756644487381,0.20980367064476013
revelations,0.25893476605415344,0.22927486896514893,0.3169246017932892,0.33067524433135986,0.28353995084762573,0.2993082106113434,0.19008126854896545,0.3169246017932892,0.15123654901981354,0.22282063961029053,0.21731922030448914
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.24985520541667938,0.4946078956127167,0.1712050884962082,0.5201468467712402,0.4933079481124878,0.20624616742134094,0.2544684410095215,0.31091248989105225
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.15647023916244507,0.5696388483047485,0.17617714405059814,1.0,0.6662389636039734,0.2077496349811554,0.2565164566040039,0.20430970191955566
2010,0.2741409242153168,0.3102222681045532,0.31722962856292725,0.19441910088062286,0.26419875025749207,0.12057417631149292,0.2692960798740387,0.31722962856292725,0.0941716656088829,0.14299647510051727,0.21232788264751434
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.24985520541667938,0.4946078956127167,0.1712050884962082,0.5201468467712402,0.4933079481124878,0.20624616742134094,0.2544684410095215,0.31091248989105225
credible,0.3303796648979187,0.1966608315706253,0.24504096806049347,0.3356790542602539,0.2202824503183365,0.24651530385017395,0.13848811388015747,0.24504096806049347,0.17468573153018951,0.16565528512001038,0.2916960120201111
claims,0.2397100329399109,0.16468463838100433,0.24698559939861298,1.0,0.2663089632987976,0.3132745027542114,0.15647023916244507,0.24698559939861298,0.15022338926792145,0.18381643295288086,0.18741291761398315
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.2663089632987976,1.0,0.21120312809944153,0.5696388483047485,0.733189046382904,0.24764959514141083,0.3090144991874695,0.1826142966747284
corruption,0.20003895461559296,0.21010510623455048,0.23319530487060547,0.3132745027542114,0.21120312809944153,1.0,0.17617714405059814,0.23319530487060547,0.26886945962905884,0.24432791769504547,0.16485145688056946
were,0.22298263013362885,1.0000001192092896,0.3906462490558624,0.16468463838100433,0.34038281440734863,0.21010510623455048,0.3815755248069763,0.3906462490558624,0.2711462378501892,0.23023411631584167,0.17890112102031708
made,0.23419176042079926,0.32412371039390564,0.3885267674922943,0.1890660971403122,0.33167365193367004,0.11103840917348862,0.25271502137184143,0.3885267674922943,0.12363938987255096,0.17932815849781036,0.17218779027462006
with,0.2464839518070221,0.3179011940956116,0.4223487675189972,0.16637255251407623,0.41827285289764404,0.1350753903388977,0.4080928862094879,0.4223487675189972,0.19846083223819733,0.18998397886753082,0.2433311939239502
regard,0.35750043392181396,0.2675539553165436,0.30657511949539185,0.3272686004638672,0.30316218733787537,0.27585986256599426,0.26254305243492126,0.30657511949539185,0.21885952353477478,0.2055433988571167,0.25592759251594543
to,0.455847829580307,0.31913647055625916,0.535392165184021,0.27401837706565857,0.41548454761505127,0.22868205606937408,0.45010748505592346,0.535392165184021,0.2092485874891281,0.2581802308559418,0.29463258385658264
recruitment,0.21794535219669342,0.22409754991531372,0.3079676330089569,0.2146543711423874,0.25423547625541687,0.3593868613243103,0.25515884160995483,0.3079676330089569,0.3597273826599121,0.26141631603240967,0.1563890278339386
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.23295684158802032,0.5116966962814331,0.20324507355690002,0.4954058527946472,0.5171257257461548,0.21948662400245667,0.26456665992736816,0.20544172823429108
procurement,0.2843207120895386,0.1907128095626831,0.3154159188270569,0.2819960117340088,0.30700188875198364,0.31954777240753174,0.23056651651859283,0.3154159188270569,0.3161645829677582,0.23686662316322327,0.17974576354026794
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.2663089632987976,1.0,0.21120312809944153,0.5696388483047485,0.733189046382904,0.24764959514141083,0.3090144991874695,0.1826142966747284
armoured,0.14241929352283478,0.31453070044517517,0.23498404026031494,0.11565322428941727,0.23027686774730682,0.1575583517551422,0.18053150177001953,0.23498404026031494,0.5247422456741333,0.3538077771663666,0.1385016292333603
personnel,0.1741112768650055,0.25070101022720337,0.2523265480995178,0.12697090208530426,0.24155113101005554,0.2137535810470581,0.15265358984470367,0.2523265480995178,0.37789350748062134,0.3600013256072998,0.14028915762901306
carriers,0.2070990949869156,0.31003743410110474,0.2894388735294342,0.10158437490463257,0.2572283148765564,0.14982962608337402,0.21518391370773315,0.2894388735294342,0.3353097438812256,0.41857218742370605,0.12494069337844849
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.2706787586212158,0.5352458953857422,0.1565260887145996,0.5591574311256409,0.5934505462646484,0.2014826536178589,0.21802116930484772,0.4130953550338745
