,what,are,some,causes,of,reduced,immune,function,in,developed,countries,?
in,0.30808621644973755,0.3841303884983063,0.4010399878025055,0.2674790024757385,0.5696388483047485,0.2766173183917999,0.14682820439338684,0.1448659598827362,1.0,0.2498214840888977,0.3027990758419037,0.20430970191955566
developed,0.15555569529533386,0.217958003282547,0.3364255428314209,0.16116100549697876,0.21960023045539856,0.26650500297546387,0.24258792400360107,0.2014186680316925,0.2498214840888977,1.0000001192092896,0.2739724814891815,0.10763012617826462
countries,0.22319257259368896,0.35174399614334106,0.4101204574108124,0.1801166534423828,0.2800094783306122,0.25780922174453735,0.20408430695533752,0.05914454907178879,0.3027990758419037,0.2739724814891815,0.9999999403953552,0.15128466486930847
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.3057606518268585,0.4946078956127167,0.19148744642734528,0.15102852880954742,0.18487244844436646,0.5201468467712402,0.24565434455871582,0.2966555655002594,0.31091248989105225
obesity,0.2857559621334076,0.2589762508869171,0.3298480808734894,0.3896813690662384,0.30574262142181396,0.29878315329551697,0.3646678328514099,0.23923538625240326,0.2556835412979126,0.1707897186279297,0.287781298160553,0.1982688158750534
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.3057606518268585,0.4946078956127167,0.19148744642734528,0.15102852880954742,0.18487244844436646,0.5201468467712402,0.24565434455871582,0.2966555655002594,0.31091248989105225
alcoholism,0.250924289226532,0.1738831102848053,0.26157695055007935,0.2989409267902374,0.22146685421466827,0.22496181726455688,0.34052038192749023,0.19676649570465088,0.23938784003257751,0.1789725124835968,0.24035565555095673,0.19800323247909546
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.3057606518268585,0.4946078956127167,0.19148744642734528,0.15102852880954742,0.18487244844436646,0.5201468467712402,0.24565434455871582,0.2966555655002594,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.2964467406272888,0.5116966962814331,0.266709566116333,0.14400269091129303,0.22180378437042236,0.4954058527946472,0.25542938709259033,0.37200918793678284,0.20544172823429108
drug,0.21731828153133392,0.18132726848125458,0.1861082911491394,0.22944889962673187,0.19976560771465302,0.15867115557193756,0.2616056799888611,0.17516827583312988,0.24474680423736572,0.146260604262352,0.2566538453102112,0.12584024667739868
use,0.3453877568244934,0.4174068570137024,0.4820891320705414,0.23118643462657928,0.2750902473926544,0.2534486949443817,0.22454875707626343,0.3120892643928528,0.2715643048286438,0.3135351538658142,0.33462896943092346,0.32795652747154236
are,0.29724663496017456,1.0,0.6331475377082825,0.21512891352176666,0.39081433415412903,0.22126781940460205,0.23878547549247742,0.22522267699241638,0.3841303884983063,0.217958003282547,0.35174399614334106,0.24591213464736938
common,0.19989867508411407,0.3463647663593292,0.4035886824131012,0.23222124576568604,0.2949881851673126,0.2678178548812866,0.24083064496517181,0.17677660286426544,0.23149342834949493,0.31061428785324097,0.3351489007472992,0.20434872806072235
causes,0.1426164209842682,0.21512891352176666,0.25202733278274536,0.9999998807907104,0.2544642984867096,0.23677998781204224,0.28304776549339294,0.21766924858093262,0.2674790024757385,0.16116100549697876,0.1801166534423828,0.19991323351860046
of,0.33290785551071167,0.39081433415412903,0.4300730526447296,0.2544642984867096,1.0,0.30275818705558777,0.16620753705501556,0.16667552292346954,0.5696388483047485,0.21960023045539856,0.2800094783306122,0.1826142966747284
poor,0.2570318877696991,0.1839064210653305,0.2971075475215912,0.18306612968444824,0.23458099365234375,0.2675062417984009,0.19999729096889496,0.12742087244987488,0.23408232629299164,0.16931627690792084,0.25384774804115295,0.12937016785144806
immune,0.2410416603088379,0.23878547549247742,0.25199633836746216,0.28304776549339294,0.16620753705501556,0.18468129634857178,1.0,0.33145061135292053,0.14682820439338684,0.24258792400360107,0.20408430695533752,0.16080476343631744
function,0.22155974805355072,0.22522267699241638,0.22008690237998962,0.21766924858093262,0.16667552292346954,0.23994629085063934,0.33145061135292053,1.0,0.1448659598827362,0.2014186680316925,0.05914454907178879,0.20672395825386047
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.26090872287750244,0.5352458953857422,0.23652395606040955,0.18267881870269775,0.253307044506073,0.5591574311256409,0.2569568455219269,0.27938392758369446,0.4130953550338745
