,when,did,wls,launch,a,lineup,of,abc,radio,programs,?
on,0.37706470489501953,0.2670976221561432,0.17307642102241516,0.2868025302886963,0.3848365545272827,0.29088109731674194,0.3966929316520691,0.2862928807735443,0.2590620815753937,0.28622785210609436,0.2714994251728058
may,0.3167054355144501,0.3038632869720459,0.27119237184524536,0.12139954417943954,0.29255667328834534,0.15276747941970825,0.26447007060050964,0.11823318153619766,0.1495540291070938,0.1716950684785843,0.2768254578113556
9,-0.062115494161844254,0.038853127509355545,-0.08884655684232712,0.1657186597585678,0.010403415188193321,-0.029537122696638107,0.01387986820191145,0.07613100111484528,0.13474100828170776,0.08685407042503357,-0.026682810857892036
",",0.36674630641937256,0.3015086054801941,0.3209494352340698,0.19433410465717316,0.427140474319458,0.19441112875938416,0.4946078956127167,0.2097204476594925,0.25251123309135437,0.21514803171157837,0.31091248989105225
1960,-0.11895739287137985,-0.14243990182876587,0.05813154578208923,0.025936249643564224,0.06404880434274673,0.004431927110999823,0.05807475745677948,0.1366088092327118,-0.05379083380103111,-0.06763626635074615,-0.02243652194738388
",",0.36674630641937256,0.3015086054801941,0.3209494352340698,0.19433410465717316,0.427140474319458,0.19441112875938416,0.4946078956127167,0.2097204476594925,0.25251123309135437,0.21514803171157837,0.31091248989105225
wls,0.2290881723165512,0.2115500420331955,1.0,0.13764727115631104,0.17853008210659027,0.2619214653968811,0.17725101113319397,0.16565869748592377,0.20316244661808014,0.262816458940506,0.2761758863925934
launched,0.20492124557495117,0.1794346421957016,0.09275341778993607,0.8017768263816833,0.20170536637306213,0.19568443298339844,0.20039688050746918,0.2561926543712616,0.2416798174381256,0.277983695268631,0.1803835779428482
a,0.44397395849227905,0.2552328109741211,0.17853008210659027,0.19873975217342377,1.0,0.25587448477745056,0.5052502155303955,0.21331243216991425,0.19488471746444702,0.25316864252090454,0.23916715383529663
new,0.257220059633255,0.227974995970726,0.1409590095281601,0.21595123410224915,0.3214259147644043,0.25908732414245605,0.343457967042923,0.20663127303123474,0.1785462647676468,0.19773654639720917,0.14782847464084625
lineup,0.3003816604614258,0.21803408861160278,0.2619214653968811,0.19031362235546112,0.25587448477745056,1.0,0.18776953220367432,0.31382066011428833,0.195095494389534,0.16786855459213257,0.19030295312404633
consisting,0.17603223025798798,0.08322962373495102,0.21033914387226105,0.16693337261676788,0.3325510621070862,0.22573140263557434,0.40096408128738403,0.14007608592510223,0.1717199981212616,0.13398131728172302,0.006223649252206087
of,0.3757161796092987,0.2513895630836487,0.17725101113319397,0.20697395503520966,0.5052502155303955,0.18776953220367432,1.0,0.14607268571853638,0.16079017519950867,0.18037469685077667,0.1826142966747284
abc,0.13294127583503723,0.13353709876537323,0.16565869748592377,0.21600057184696198,0.21331243216991425,0.31382066011428833,0.14607268571853638,1.0000001192092896,0.35354745388031006,0.3454950749874115,0.19065172970294952
radio,0.13374444842338562,0.16486462950706482,0.20316244661808014,0.2305004745721817,0.19488471746444702,0.195095494389534,0.16079017519950867,0.35354745388031006,0.9999999403953552,0.33709728717803955,0.08763375133275986
programming,0.16662397980690002,0.13710743188858032,0.20784227550029755,0.19725871086120605,0.20890353620052338,0.2976103127002716,0.14286333322525024,0.3165910840034485,0.28530606627464294,0.5994382500648499,0.22249025106430054
.,0.475719153881073,0.35288307070732117,0.2750573754310608,0.20541822910308838,0.50484299659729,0.2677913010120392,0.5352458953857422,0.2567209303379059,0.20650681853294373,0.21148164570331573,0.4130953550338745
