,what,kind,of,problems,are,one,of,the,main,topics,studied,in,computational,complexity,theory,?
decision,0.32053670287132263,0.18869242072105408,0.2331373691558838,0.2926073372364044,0.1736466884613037,0.25143271684646606,0.2331373691558838,0.2905151844024658,0.09294015169143677,0.23265492916107178,0.08686186373233795,0.2212151288986206,0.2782468795776367,0.2765996754169464,0.24050968885421753,0.2796577215194702
problems,0.3306994140148163,0.2759091556072235,0.2450421154499054,1.0,0.2565869987010956,0.2803315222263336,0.2450421154499054,0.2659202516078949,0.17572328448295593,0.39623039960861206,0.16673643887043,0.21061907708644867,0.3718613386154175,0.45911696553230286,0.29832348227500916,0.2638136148452759
are,0.29724663496017456,0.296465665102005,0.39081433415412903,0.2565869987010956,1.0,0.42537835240364075,0.39081433415412903,0.40399202704429626,0.2828797399997711,0.33198094367980957,0.18522752821445465,0.3841303884983063,0.2675340473651886,0.27680158615112305,0.1918308287858963,0.24591213464736938
one,0.376489520072937,0.3653089106082916,0.4999135136604309,0.2803315222263336,0.42537835240364075,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.3519288897514343,0.2698235511779785,0.1559736281633377,0.4129433035850525,0.2704175114631653,0.30865851044654846,0.27095937728881836,0.2673267424106598
of,0.33290785551071167,0.2285657674074173,1.0,0.2450421154499054,0.39081433415412903,0.4999135136604309,1.0,0.733189046382904,0.3177044689655304,0.24137021601200104,0.24926787614822388,0.5696388483047485,0.2832651138305664,0.23338180780410767,0.23506702482700348,0.1826142966747284
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2659202516078949,0.40399202704429626,0.5514441132545471,0.733189046382904,1.0,0.38631999492645264,0.20440256595611572,0.1840781420469284,0.6662389636039734,0.18477948009967804,0.21171598136425018,0.2277156263589859,0.22068053483963013
central,0.17723965644836426,0.08368655294179916,0.3415789008140564,0.13523824512958527,0.19564221799373627,0.18192924559116364,0.3415789008140564,0.3417201042175293,0.2828415334224701,0.1405111849308014,0.1971183717250824,0.30844059586524963,0.1852148026227951,0.151373028755188,0.13943390548229218,0.14787602424621582
objects,0.24020016193389893,0.22865180671215057,0.23814009130001068,0.2954292595386505,0.3614059388637543,0.28688210248947144,0.23814009130001068,0.24716724455356598,0.21060742437839508,0.38106590509414673,0.1519857496023178,0.23406893014907837,0.3570079505443573,0.30227231979370117,0.27867934107780457,0.15479016304016113
of,0.33290785551071167,0.2285657674074173,1.0,0.2450421154499054,0.39081433415412903,0.4999135136604309,1.0,0.733189046382904,0.3177044689655304,0.24137021601200104,0.24926787614822388,0.5696388483047485,0.2832651138305664,0.23338180780410767,0.23506702482700348,0.1826142966747284
study,0.3123835027217865,0.21698032319545746,0.29377859830856323,0.2165839970111847,0.22810009121894836,0.23404832184314728,0.29377859830856323,0.2533665597438812,0.13645616173744202,0.3216782510280609,0.5685165524482727,0.2875489294528961,0.3763015568256378,0.3303747773170471,0.44104549288749695,0.15902167558670044
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.21061907708644867,0.3841303884983063,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.28862449526786804,0.20466090738773346,0.3605947494506836,1.0,0.2346334308385849,0.20012179017066956,0.16955126821994781,0.20430970191955566
computational,0.29464593529701233,0.26545950770378113,0.2832651138305664,0.3718613386154175,0.2675340473651886,0.2704175114631653,0.2832651138305664,0.18477948009967804,0.17133359611034393,0.36957937479019165,0.20114436745643616,0.2346334308385849,1.0,0.6165810823440552,0.4716552495956421,0.21617397665977478
complexity,0.33747240900993347,0.2626070976257324,0.23338180780410767,0.45911696553230286,0.27680158615112305,0.30865851044654846,0.23338180780410767,0.21171598136425018,0.14763346314430237,0.406538188457489,0.25060799717903137,0.20012179017066956,0.6165810823440552,1.0,0.42510488629341125,0.23062916100025177
theory,0.297923743724823,0.2985695004463196,0.23506702482700348,0.29832348227500916,0.1918308287858963,0.27095937728881836,0.23506702482700348,0.2277156263589859,0.17853248119354248,0.28401243686676025,0.24396087229251862,0.16955126821994781,0.4716552495956421,0.42510488629341125,0.9999999403953552,0.1387292891740799
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2602308988571167,0.3452940285205841,0.4123194217681885,0.5352458953857422,0.5934505462646484,0.31122034788131714,0.2345436066389084,0.2312152087688446,0.5591574311256409,0.24047870934009552,0.21340465545654297,0.18047811090946198,0.4130953550338745
