,plate,tectonics,can,be,seen,as,the,intimate,coupling,between,rigid,plates,on,the,surface,of,the,earth,and,what,?
this,0.22602258622646332,0.29841741919517517,0.4006461203098297,0.566177248954773,0.3374632000923157,0.43993282318115234,0.6274310946464539,0.28919005393981934,0.2777058184146881,0.29040461778640747,0.314518004655838,0.22326251864433289,0.4193967580795288,0.6274310946464539,0.28005295991897583,0.45148900151252747,0.6274310946464539,0.2956106662750244,0.42353692650794983,0.5489566326141357,0.3155723512172699
coupling,0.2524239122867584,0.3500344157218933,0.21643008291721344,0.2188650667667389,0.17619279026985168,0.1761137992143631,0.22481796145439148,0.31997156143188477,0.9999999403953552,0.23298203945159912,0.4106350839138031,0.26852139830589294,0.20181584358215332,0.22481796145439148,0.3077126741409302,0.212398961186409,0.22481796145439148,0.21407164633274078,0.23167544603347778,0.15820637345314026,0.1310766637325287
between,0.27275484800338745,0.2593609392642975,0.23827335238456726,0.2079806923866272,0.21163398027420044,0.22009976208209991,0.39067012071609497,0.3077695071697235,0.23298203945159912,0.9999999403953552,0.20974265038967133,0.229627326130867,0.3335416913032532,0.39067012071609497,0.2189159244298935,0.3737983703613281,0.39067012071609497,0.1598401516675949,0.40645647048950195,0.2462156116962433,0.12887074053287506
rigid,0.21512453258037567,0.32956868410110474,0.25709301233291626,0.24329131841659546,0.21316774189472198,0.19419047236442566,0.21878214180469513,0.1962972730398178,0.4106350839138031,0.20974265038967133,0.9999998807907104,0.3396848738193512,0.14952795207500458,0.21878214180469513,0.3747905194759369,0.20174510776996613,0.21878214180469513,0.2312541902065277,0.24586661159992218,0.20563605427742004,0.12727688252925873
plates,0.6540699601173401,0.4981820285320282,0.17263981699943542,0.18594355881214142,0.17210586369037628,0.12993218004703522,0.2566349506378174,0.12179752439260483,0.26852139830589294,0.229627326130867,0.3396848738193512,1.0000001192092896,0.18826749920845032,0.2566349506378174,0.3607916235923767,0.22298482060432434,0.2566349506378174,0.27481165528297424,0.2465437352657318,0.18082769215106964,0.15258446335792542
moving,0.2923526167869568,0.3898843824863434,0.28819364309310913,0.25729453563690186,0.26472562551498413,0.2739008069038391,0.34510132670402527,0.13765877485275269,0.37718918919563293,0.2531067132949829,0.3062613606452942,0.3319054841995239,0.2886088788509369,0.34510132670402527,0.3340030014514923,0.24795499444007874,0.34510132670402527,0.29012733697891235,0.30970147252082825,0.3154623508453369,0.21667467057704926
on,0.2203824669122696,0.19171538949012756,0.2772369682788849,0.37900757789611816,0.27378544211387634,0.36047765612602234,0.5107308030128479,0.16711647808551788,0.20181584358215332,0.3335416913032532,0.14952795207500458,0.18826749920845032,0.9999999403953552,0.5107308030128479,0.2674844264984131,0.3966929316520691,0.5107308030128479,0.20645220577716827,0.4077630043029785,0.34226128458976746,0.2714994251728058
the,0.2611875832080841,0.29442116618156433,0.312528520822525,0.4248143136501312,0.3442007005214691,0.48381632566452026,1.0,0.2074083834886551,0.22481796145439148,0.39067012071609497,0.21878214180469513,0.2566349506378174,0.5107308030128479,1.0,0.2555135488510132,0.733189046382904,1.0,0.2801888585090637,0.5171257257461548,0.42745697498321533,0.22068053483963013
surface,0.33374515175819397,0.439758837223053,0.3465462028980255,0.27637481689453125,0.23752912878990173,0.15905998647212982,0.2555135488510132,0.229923814535141,0.3077126741409302,0.2189159244298935,0.3747905194759369,0.3607916235923767,0.2674844264984131,0.2555135488510132,0.9999998807907104,0.24204103648662567,0.2555135488510132,0.49709221720695496,0.2626544237136841,0.23580394685268402,0.14613434672355652
of,0.18672886490821838,0.26461800932884216,0.2603091299533844,0.33904364705085754,0.28639769554138184,0.3886612355709076,0.733189046382904,0.2814376950263977,0.212398961186409,0.3737983703613281,0.20174510776996613,0.22298482060432434,0.3966929316520691,0.733189046382904,0.24204103648662567,1.0,0.733189046382904,0.2329314798116684,0.5116966962814331,0.33290785551071167,0.1826142966747284
the,0.2611875832080841,0.29442116618156433,0.312528520822525,0.4248143136501312,0.3442007005214691,0.48381632566452026,1.0,0.2074083834886551,0.22481796145439148,0.39067012071609497,0.21878214180469513,0.2566349506378174,0.5107308030128479,1.0,0.2555135488510132,0.733189046382904,1.0,0.2801888585090637,0.5171257257461548,0.42745697498321533,0.22068053483963013
earth,0.29739707708358765,0.43669483065605164,0.2781451344490051,0.2473841905593872,0.3114355206489563,0.22570030391216278,0.2801888585090637,0.2567412555217743,0.21407164633274078,0.1598401516675949,0.2312541902065277,0.27481165528297424,0.20645220577716827,0.2801888585090637,0.49709221720695496,0.2329314798116684,0.2801888585090637,1.0,0.27524080872535706,0.25883176922798157,0.17717236280441284
