,these,books,became,a,foundational,text,for,what,library,?
it,0.39955374598503113,0.20282737910747528,0.21312855184078217,0.5452592968940735,0.1646307110786438,0.18832172453403473,0.32171204686164856,0.45803478360176086,0.1741359829902649,0.25732165575027466
became,0.14703640341758728,0.14519435167312622,1.0,0.28774285316467285,0.15144747495651245,0.12812069058418274,0.3017078936100006,0.1434093862771988,0.14269056916236877,0.11374033987522125
one,0.41197383403778076,0.17849396169185638,0.3227209746837616,0.4910551905632019,0.199663445353508,0.17627191543579102,0.384836345911026,0.376489520072937,0.19550721347332,0.2673267424106598
of,0.42684608697891235,0.18863578140735626,0.3638904094696045,0.5052502155303955,0.31792545318603516,0.18191257119178772,0.4185989499092102,0.33290785551071167,0.21889357268810272,0.1826142966747284
the,0.49086877703666687,0.23187310993671417,0.36325156688690186,0.5829201340675354,0.2316216677427292,0.23968088626861572,0.4739971458911896,0.42745697498321533,0.19920319318771362,0.22068053483963013
100,0.22977665066719055,0.22401726245880127,0.05926092341542244,0.20273639261722565,0.20796751976013184,0.23233430087566376,0.1286492645740509,0.16026288270950317,0.10068266838788986,0.19397632777690887
foundational,0.23657341301441193,0.22142808139324188,0.15144747495651245,0.24142076075077057,1.0,0.1150461733341217,0.30264341831207275,0.20548680424690247,0.2697993218898773,0.16650104522705078
texts,0.33373287320137024,0.44953370094299316,0.1282472014427185,0.16138936579227448,0.22141751646995544,0.5239423513412476,0.17598171532154083,0.25967296957969666,0.3041841685771942,0.18584510684013367
of,0.42684608697891235,0.18863578140735626,0.3638904094696045,0.5052502155303955,0.31792545318603516,0.18191257119178772,0.4185989499092102,0.33290785551071167,0.21889357268810272,0.1826142966747284
the,0.49086877703666687,0.23187310993671417,0.36325156688690186,0.5829201340675354,0.2316216677427292,0.23968088626861572,0.4739971458911896,0.42745697498321533,0.19920319318771362,0.22068053483963013
us,0.22667743265628815,0.126220241189003,0.13816098868846893,0.1862444281578064,0.13245654106140137,0.15149176120758057,0.26768606901168823,0.32081687450408936,0.16948744654655457,0.2742428481578827
library,0.14338244497776031,0.3576837480068207,0.14269056916236877,0.13480092585086823,0.2697993218898773,0.23695500195026398,0.17405205965042114,0.19149379432201385,0.9999999403953552,0.18938742578029633
of,0.42684608697891235,0.18863578140735626,0.3638904094696045,0.5052502155303955,0.31792545318603516,0.18191257119178772,0.4185989499092102,0.33290785551071167,0.21889357268810272,0.1826142966747284
congress,0.16686150431632996,0.20284618437290192,0.20276810228824615,0.1857503354549408,0.21980644762516022,0.1877974420785904,0.2006673514842987,0.16679982841014862,0.3727700412273407,0.2020287960767746
.,0.3840779960155487,0.2393038123846054,0.2806840240955353,0.50484299659729,0.2610641419887543,0.2065814584493637,0.4726039469242096,0.3567904531955719,0.23675528168678284,0.4130953550338745
