,what,was,the,period,called,that,was,505,million,years,ago,?
three,0.24888746440410614,0.2748996615409851,0.43452659249305725,0.22228899598121643,0.3522195518016815,0.3407050371170044,0.2748996615409851,0.10393865406513214,0.282323956489563,0.32563796639442444,0.21370257437229156,0.20928427577018738
additional,0.20172064006328583,0.10680072009563446,0.2539002597332001,0.05889759585261345,0.12361671775579453,0.2874574661254883,0.10680072009563446,0.030249089002609253,0.19673004746437073,0.1755881905555725,0.11262135952711105,0.24309562146663666
putative,0.3219482898712158,0.19616495072841644,0.16401347517967224,0.09729167073965073,0.1739145666360855,0.2867395281791687,0.19616495072841644,0.06322863698005676,0.07531280815601349,0.14503167569637299,0.16710223257541656,0.19302308559417725
species,0.14617158472537994,0.11558398604393005,0.2522439956665039,0.15919160842895508,0.16527435183525085,0.22146284580230713,0.11558398604393005,0.1258373111486435,0.23049934208393097,0.2402859777212143,0.33169257640838623,0.1957087516784668
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.2902187407016754,0.30364301800727844,0.35517072677612305,0.590133786201477,0.24386076629161835,0.25957414507865906,0.3048669695854187,0.276393324136734,0.17890112102031708
then,0.4072686731815338,0.27044644951820374,0.4297412931919098,0.18419641256332397,0.2733641564846039,0.455153226852417,0.27044644951820374,0.17793291807174683,0.14879924058914185,0.24459262192249298,0.26699236035346985,0.2884598970413208
found,0.1796332150697708,0.18447895348072052,0.3452354073524475,0.13365647196769714,0.28498178720474243,0.29063743352890015,0.18447895348072052,0.12053653597831726,0.14410199224948883,0.21100080013275146,0.25708508491516113,0.16790300607681274
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.23051127791404724,0.40847352147102356,0.435920387506485,0.45514053106307983,0.15658816695213318,0.2596224844455719,0.33554986119270325,0.2414315938949585,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3125074505805969,0.489897221326828,0.5473989248275757,0.48711544275283813,0.18329478800296783,0.277012437582016,0.2912273406982422,0.23063679039478302,0.22068053483963013
burgess,0.21987386047840118,0.22396086156368256,0.29409268498420715,0.20139597356319427,0.20487327873706818,0.18711504340171814,0.22396086156368256,0.05191800743341446,0.23782174289226532,0.2727835178375244,0.20587138831615448,0.11469485610723495
shale,0.17666716873645782,0.16405028104782104,0.24453260004520416,0.30961135029792786,0.16345365345478058,0.17923016846179962,0.16405028104782104,-0.023038921877741814,0.2861936688423157,0.3227468430995941,0.35176417231559753,0.09378555417060852
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.23878438770771027,0.3251761794090271,0.4731321930885315,0.3740963041782379,0.14806175231933594,0.22906863689422607,0.300204873085022,0.21609124541282654,0.20544172823429108
other,0.341873437166214,0.14651623368263245,0.44152235984802246,0.21095453202724457,0.3308360278606415,0.5570666193962097,0.14651623368263245,0.14826422929763794,0.2682945728302002,0.21128752827644348,0.24829620122909546,0.24682199954986572
canadian,0.14819227159023285,0.23556794226169586,0.2549104690551758,0.05259963870048523,0.19293130934238434,0.19889208674430847,0.23556794226169586,0.06986396759748459,0.1363496035337448,0.1748942881822586,0.05397831276059151,0.10011322796344757
rocks,0.24802041053771973,0.13827373087406158,0.24413059651851654,0.17727600038051605,0.21511834859848022,0.2636556923389435,0.13827373087406158,0.03830808028578758,0.23054863512516022,0.2377444952726364,0.3243800699710846,0.17394492030143738
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2698146104812622,0.4222904443740845,0.41498205065727234,0.4069072902202606,0.12528422474861145,0.21686489880084991,0.2904134690761566,0.20083805918693542,0.1826142966747284
similar,0.30608364939689636,0.20839861035346985,0.2963123023509979,0.20794083178043365,0.3628503084182739,0.4232555329799652,0.20839861035346985,0.0774967148900032,0.24498414993286133,0.1355648636817932,0.261326402425766,0.23309361934661865
age,0.1895245760679245,0.27072176337242126,0.24711290001869202,0.3056888282299042,0.15764687955379486,0.18966884911060333,0.27072176337242126,0.18952225148677826,0.2011973112821579,0.477315217256546,0.340772420167923,0.16859300434589386
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25030651688575745,0.26549121737480164,0.4137537479400635,0.45456063747406006,0.16124168038368225,0.24451690912246704,0.2589467465877533,0.26431804895401,0.31091248989105225
about,0.47976887226104736,0.2577359974384308,0.37995871901512146,0.24550940096378326,0.3000706732273102,0.4500710964202881,0.2577359974384308,0.1645508110523224,0.35895243287086487,0.3661487102508545,0.44628652930259705,0.302409827709198
505,0.1506638079881668,0.1368287205696106,0.18329478800296783,0.18714047968387604,0.11635717004537582,0.1213577389717102,0.1368287205696106,0.9999999403953552,0.1959732621908188,0.19035159051418304,0.23023563623428345,0.14353035390377045
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.2544347047805786,0.2180817872285843,0.2637370228767395,0.24203833937644958,0.1959732621908188,0.9999999403953552,0.4808195233345032,0.4758218824863434,0.23092924058437347
years,0.1981470286846161,0.35855233669281006,0.2912273406982422,0.38214126229286194,0.1706918627023697,0.27599525451660156,0.35855233669281006,0.19035159051418304,0.4808195233345032,1.0,0.5710245370864868,0.1914375126361847
ago,0.30667418241500854,0.24615181982517242,0.23063679039478302,0.43160170316696167,0.1576249599456787,0.3563132584095001,0.24615181982517242,0.23023563623428345,0.4758218824863434,0.5710245370864868,1.0000001192092896,0.2202194780111313
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.23051127791404724,0.40847352147102356,0.435920387506485,0.45514053106307983,0.15658816695213318,0.2596224844455719,0.33554986119270325,0.2414315938949585,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3125074505805969,0.489897221326828,0.5473989248275757,0.48711544275283813,0.18329478800296783,0.277012437582016,0.2912273406982422,0.23063679039478302,0.22068053483963013
mid-cambrian,0.17419303953647614,0.17266052961349487,0.27809450030326843,0.37309136986732483,0.24595123529434204,0.2544436752796173,0.17266052961349487,0.16607679426670074,0.3023781478404999,0.3243080973625183,0.4294639527797699,0.07256541401147842
period,0.24507179856300354,0.2820133864879608,0.3125074505805969,1.0,0.23467816412448883,0.261763334274292,0.2820133864879608,0.18714047968387604,0.2544347047805786,0.38214126229286194,0.43160170316696167,0.18706195056438446
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2575049102306366,0.300344854593277,0.4460422694683075,0.40146201848983765,0.1441941261291504,0.26805803179740906,0.31919315457344055,0.2834824323654175,0.4130953550338745
