,when,was,the,salary,range,listed,valid,for,(,month,and,year,),?
salaries,0.24647900462150574,0.22511044144630432,0.29897719621658325,0.7571817636489868,0.11372540146112442,0.16362056136131287,0.23426876962184906,0.33575230836868286,0.1268525868654251,0.23671050369739532,0.22138139605522156,0.26271429657936096,0.1361779272556305,0.23913246393203735
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.31719970703125,0.2565288841724396,0.2745078206062317,0.2891303300857544,0.9999999403953552,0.3357032239437103,0.23262934386730194,0.5064792633056641,0.29294124245643616,0.3639558255672455,0.264628142118454
nursery,0.22691039741039276,0.13228434324264526,0.20382064580917358,0.14331907033920288,0.19492101669311523,0.1607695072889328,0.06573792546987534,0.12751448154449463,0.1808624565601349,0.0803275853395462,0.27405059337615967,0.1516079306602478,0.1748732179403305,0.17706544697284698
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.19489715993404388,0.2808356285095215,0.30069199204444885,0.24272039532661438,0.4464869201183319,0.6363511681556702,0.24291303753852844,0.6633074283599854,0.28560417890548706,0.63033527135849,0.31091248989105225
primary,0.2002158761024475,0.16384649276733398,0.25688621401786804,0.12981799244880676,0.19112271070480347,0.14402982592582703,0.22010990977287292,0.2533470094203949,0.21913397312164307,0.10319197922945023,0.2539214491844177,0.17859990894794464,0.19666743278503418,0.16286636888980865
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.12764538824558258,0.27470090985298157,0.2351783663034439,0.20461980998516083,0.5064792633056641,0.4862271547317505,0.2231980711221695,1.0,0.2506658732891083,0.4961937665939331,0.20544172823429108
secondary,0.21972805261611938,0.12099137902259827,0.21037471294403076,0.15863801538944244,0.17912019789218903,0.1281249076128006,0.1703772395849228,0.2065851241350174,0.20586027204990387,0.1002207100391388,0.25317713618278503,0.16393998265266418,0.20800510048866272,0.18118004500865936
school,0.21397973597049713,0.25740107893943787,0.22953221201896667,0.1826583445072174,0.19517356157302856,0.1146249771118164,0.08192481845617294,0.18618352711200714,0.16600246727466583,0.15419061481952667,0.2752758264541626,0.2321801781654358,0.18641386926174164,0.15091250836849213
teachers,0.2084542065858841,0.18821726739406586,0.22025763988494873,0.2759143114089966,0.16123706102371216,0.14057311415672302,0.12913592159748077,0.274332195520401,0.17691689729690552,0.1710348129272461,0.28640416264533997,0.16246744990348816,0.20307962596416473,0.19522249698638916
ranged,0.1826450377702713,0.22788681089878082,0.2715573310852051,0.2064165323972702,0.6804896593093872,0.22826923429965973,0.20309418439865112,0.20557044446468353,0.12993763387203217,0.2029222846031189,0.30957210063934326,0.1884576976299286,0.12811648845672607,0.11487069725990295
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.20708754658699036,0.2519944906234741,0.17127667367458344,0.14754733443260193,0.314039945602417,0.25806233286857605,0.17083653807640076,0.3601827025413513,0.2101740688085556,0.2672361731529236,0.19969791173934937
"£20,133",-0.2129054069519043,-0.093924880027771,-0.1795365959405899,-0.1482933759689331,-0.1396389603614807,-0.02468019351363182,-0.13084448873996735,-0.0819166898727417,0.04493586719036102,-0.12409559637308121,-0.07935453951358795,-0.1735619455575943,0.033061519265174866,-0.08088389784097672
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.2658538222312927,0.2767433524131775,0.1537802815437317,0.2631414234638214,0.4451248347759247,0.30882009863853455,0.24505755305290222,0.48971283435821533,0.23523004353046417,0.31236231327056885,0.29463258385658264
"£41,004",-0.08454611897468567,0.16591870784759521,0.00949892122298479,0.005903845652937889,0.003994700498878956,0.02752664126455784,-0.07242877036333084,0.019870148971676826,0.18919306993484497,0.00027150605455972254,0.09197098761796951,0.01135376375168562,0.19509994983673096,-0.004401235841214657
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.190061554312706,0.2084861844778061,0.2905867397785187,0.14782947301864624,0.4322226941585541,0.3087427020072937,0.2385365217924118,0.4954058527946472,0.3359307050704956,0.3326910734176636,0.20430970191955566
september,0.2483685463666916,0.4425655007362366,0.2516939043998718,0.15695229172706604,0.08231201767921448,0.1946900635957718,0.11104850471019745,0.2689499855041504,0.36256301403045654,0.3173275291919708,0.2902049422264099,0.2660074234008789,0.38374242186546326,0.2665146589279175
2007,-0.1582726538181305,-0.29168957471847534,-0.23657195270061493,-0.12775929272174835,-0.0049808816984295845,-0.1756802797317505,-0.15146024525165558,-0.15897968411445618,-0.12156467884778976,-0.1397063434123993,-0.2391151487827301,-0.20763340592384338,-0.1307118982076645,-0.1664225310087204
