,was,is,the,name,of,the,torchwood,series,that,was,mostly,based,in,the,us,?
a,0.4508470594882965,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.252493292093277,0.23966510593891144,0.47537946701049805,0.4508470594882965,0.29069283604621887,0.2977409064769745,0.539380669593811,0.5829201340675354,0.1862444281578064,0.23916715383529663
fourth,0.35251522064208984,0.31589972972869873,0.40804702043533325,0.18362802267074585,0.30335766077041626,0.40804702043533325,0.2087339460849762,0.2721402645111084,0.2219788283109665,0.35251522064208984,0.13951458036899567,0.19789467751979828,0.29149749875068665,0.40804702043533325,0.129678413271904,0.13791213929653168
series,0.2261398285627365,0.20355552434921265,0.31376904249191284,0.1536245048046112,0.22268271446228027,0.31376904249191284,0.49095726013183594,1.0000001192092896,0.24595457315444946,0.2261398285627365,0.222581684589386,0.24895106256008148,0.2914260923862457,0.31376904249191284,0.1240435540676117,0.1709602326154709
",",0.45456063747406006,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2555104196071625,0.24060699343681335,0.4137537479400635,0.45456063747406006,0.34322500228881836,0.27976205945014954,0.5201468467712402,0.4933079481124878,0.3120202422142029,0.31091248989105225
torchwood,0.24895407259464264,0.21098005771636963,0.3267632722854614,0.18760651350021362,0.2499234825372696,0.3267632722854614,1.0000001192092896,0.49095726013183594,0.3034285306930542,0.24895407259464264,0.17575547099113464,0.18552404642105103,0.2696547210216522,0.3267632722854614,0.15625755488872528,0.18952997028827667
:,0.002802103292196989,-0.07222653180360794,-0.03403344005346298,-0.0774015560746193,-0.08807745575904846,-0.03403344005346298,-0.09691034257411957,-0.02288590557873249,-0.12200210988521576,0.002802103292196989,-0.0500125028192997,-0.08668164163827896,0.020521078258752823,-0.03403344005346298,0.002929930342361331,-0.07156077772378922
miracle,0.2554387152194977,0.19926872849464417,0.28087756037712097,0.14593443274497986,0.22093574702739716,0.28087756037712097,0.28043487668037415,0.25756901502609253,0.29075634479522705,0.2554387152194977,0.16952285170555115,0.16876797378063202,0.20867910981178284,0.28087756037712097,0.18456879258155823,0.16907402873039246
day,0.24314451217651367,0.17517195641994476,0.3062323033809662,0.1633823662996292,0.2934032380580902,0.3062323033809662,0.18794552981853485,0.16648201644420624,0.28239622712135315,0.24314451217651367,0.1988936811685562,0.1240115836262703,0.2671984136104584,0.3062323033809662,0.21432402729988098,0.2141837179660797
jointly,0.3129006624221802,0.14399732649326324,0.22602026164531708,0.13551567494869232,0.2365255057811737,0.22602026164531708,0.16219058632850647,0.1431291550397873,0.23377393186092377,0.3129006624221802,0.22137130796909332,0.22478613257408142,0.20955152809619904,0.22602026164531708,0.15855292975902557,0.1325671374797821
produced,0.28463777899742126,0.25678005814552307,0.22045251727104187,0.1682487279176712,0.18961067497730255,0.22045251727104187,0.19609853625297546,0.2875058650970459,0.2527473568916321,0.28463777899742126,0.19217000901699066,0.32537955045700073,0.2542861998081207,0.22045251727104187,0.0934191346168518,0.1623450517654419
