,when,was,gold,found,near,ballarat,?
days,0.3205467760562897,0.2985812723636627,0.13278670608997345,0.18925432860851288,0.16936081647872925,0.19920781254768372,0.2198754847049713
later,0.4627884030342102,0.5684447288513184,0.23129886388778687,0.16691987216472626,0.16865846514701843,0.27005696296691895,0.1417175978422165
",",0.36674630641937256,0.45456063747406006,0.28787803649902344,0.27385151386260986,0.3141826391220093,0.222074493765831,0.31091248989105225
still,0.4688006639480591,0.3328092098236084,0.12608414888381958,0.2696150541305542,0.2190096080303192,0.26841235160827637,0.3039587736129761
in,0.4431333839893341,0.45514053106307983,0.21206732094287872,0.39141854643821716,0.40211278200149536,0.28942209482192993,0.20430970191955566
1851,0.04948464781045914,0.16452156007289886,-0.021526871249079704,0.11467893421649933,0.072001151740551,0.09668358415365219,0.04808126762509346
gold,0.21325871348381042,0.24345459043979645,0.9999999403953552,0.20148801803588867,0.1269797384738922,0.3958415389060974,0.11542754620313644
was,0.37326499819755554,1.0000001192092896,0.24345459043979645,0.18447895348072052,0.1933041363954544,0.30413487553596497,0.18412111699581146
discovered,0.2527843117713928,0.3177400529384613,0.24336472153663635,0.4998607039451599,0.24847465753555298,0.20727092027664185,0.08452875912189484
near,0.2606486976146698,0.1933041363954544,0.1269797384738922,0.2936450242996216,1.0000001192092896,0.27395644783973694,0.10734958201646805
ballarat,0.2959037125110626,0.30413487553596497,0.3958415389060974,0.19664812088012695,0.27395644783973694,1.0,0.12580890953540802
",",0.36674630641937256,0.45456063747406006,0.28787803649902344,0.27385151386260986,0.3141826391220093,0.222074493765831,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.26129499077796936,0.27978911995887756,0.25046437978744507,0.265418142080307,0.20544172823429108
subsequently,0.28473159670829773,0.3486802279949188,0.074413001537323,0.1524404138326645,0.10716515779495239,0.1738668978214264,0.005594457965344191
at,0.38876327872276306,0.36707764863967896,0.22118139266967773,0.21720094978809357,0.4118472635746002,0.3022187054157257,0.21978627145290375
bendigo,0.21466323733329773,0.312773197889328,0.39449161291122437,0.18004210293293,0.3069259524345398,0.6068285703659058,0.04594032093882561
.,0.475719153881073,0.40146201848983765,0.22364865243434906,0.3618174195289612,0.2532462477684021,0.23607748746871948,0.4130953550338745
