,goldenson,proposed,a,merger,between,upt,and,what,network,in,october,1954,?
goldenson,1.0,0.20849919319152832,0.29056107997894287,0.19289769232273102,0.11991280317306519,0.2830306887626648,0.2949160933494568,0.24370093643665314,0.17995120584964752,0.2430626004934311,0.15697094798088074,0.00923951342701912,0.2495560646057129
added,0.18771883845329285,0.27640825510025024,0.2839798927307129,0.17101792991161346,0.19057686626911163,0.2374042272567749,0.29847657680511475,0.23789235949516296,0.13439719378948212,0.26384392380714417,0.1896304041147232,-0.020761344581842422,0.2865637540817261
to,0.18715453147888184,0.28162798285484314,0.45503583550453186,0.11012744158506393,0.3639189600944519,0.28000348806381226,0.48971283435821533,0.455847829580307,0.25940340757369995,0.45010748505592346,0.23106063902378082,0.0212570670992136,0.29463258385658264
the,0.28907305002212524,0.23840250074863434,0.5829201340675354,0.2557354271411896,0.39067012071609497,0.25772973895072937,0.5171257257461548,0.42745697498321533,0.27187061309814453,0.6662389636039734,0.2621108889579773,0.05573182925581932,0.22068053483963013
confusion,0.16389583051204681,0.18564710021018982,0.2771179676055908,0.18653744459152222,0.18988995254039764,0.21805013716220856,0.18959911167621613,0.3303605318069458,0.1770872324705124,0.18354842066764832,0.14538241922855377,0.1127028539776802,0.3015955984592438
when,0.3101251721382141,0.17750206589698792,0.44397395849227905,0.11291089653968811,0.38258615136146545,0.24586787819862366,0.4716290831565857,0.4700249433517456,0.19011130928993225,0.4431333839893341,0.273419588804245,0.06652027368545532,0.22841128706932068
",",0.3194567561149597,0.23817701637744904,0.427140474319458,0.25569602847099304,0.27714940905570984,0.23893846571445465,0.6633074283599854,0.3087472915649414,0.1932937651872635,0.5201468467712402,0.4369233250617981,-0.019343923777341843,0.31091248989105225
in,0.2430626004934311,0.2148248553276062,0.539380669593811,0.22860760986804962,0.41100412607192993,0.18964797258377075,0.4954058527946472,0.30808621644973755,0.19496823847293854,1.0,0.27560389041900635,0.06289621442556381,0.20430970191955566
october,0.15697094798088074,0.18400859832763672,0.2402924746274948,0.2528401017189026,0.11672192066907883,0.11671341210603714,0.2883152663707733,0.24927909672260284,0.1911645382642746,0.27560389041900635,1.0,0.05210233852267265,0.29706719517707825
1954,0.00923951342701912,-0.06688059866428375,-0.010301508940756321,0.028454767540097237,0.06364960223436356,0.05133232846856117,0.020253997296094894,-0.028202006593346596,0.071859210729599,0.06289621442556381,0.05210233852267265,1.0,-0.028866952285170555
",",0.3194567561149597,0.23817701637744904,0.427140474319458,0.25569602847099304,0.27714940905570984,0.23893846571445465,0.6633074283599854,0.3087472915649414,0.1932937651872635,0.5201468467712402,0.4369233250617981,-0.019343923777341843,0.31091248989105225
he,0.23435845971107483,0.1249079629778862,0.4393508732318878,0.1745409220457077,0.20695680379867554,0.1528482437133789,0.45427167415618896,0.3114890456199646,0.17419223487377167,0.41690486669540405,0.2956372797489166,0.02087727189064026,0.2089974731206894
proposed,0.20849919319152832,1.0,0.2374454140663147,0.16066931188106537,0.19353166222572327,0.09255137294530869,0.20594197511672974,0.22754324972629547,0.1316135972738266,0.2148248553276062,0.18400859832763672,-0.06688059866428375,0.24553193151950836
a,0.29056107997894287,0.2374454140663147,1.0,0.20794767141342163,0.29385313391685486,0.2500040829181671,0.3739250600337982,0.3320399522781372,0.17299489676952362,0.539380669593811,0.2402924746274948,-0.010301508940756321,0.23916715383529663
merger,0.19289769232273102,0.16066931188106537,0.20794767141342163,1.0000001192092896,0.15942129492759705,0.16329915821552277,0.16802267730236053,0.15280666947364807,0.17532873153686523,0.22860760986804962,0.2528401017189026,0.028454767540097237,0.1345871090888977
between,0.11991280317306519,0.19353166222572327,0.29385313391685486,0.15942129492759705,0.9999999403953552,0.15410660207271576,0.40645647048950195,0.2462156116962433,0.2824346423149109,0.41100412607192993,0.11672192066907883,0.06364960223436356,0.12887074053287506
upt,0.2830306887626648,0.09255137294530869,0.2500040829181671,0.16329915821552277,0.15410660207271576,0.9999999403953552,0.3043553829193115,0.29285889863967896,0.1784161925315857,0.18964797258377075,0.11671341210603714,0.05133232846856117,0.22407570481300354
and,0.2949160933494568,0.20594197511672974,0.3739250600337982,0.16802267730236053,0.40645647048950195,0.3043553829193115,1.0,0.31309178471565247,0.27591994404792786,0.4954058527946472,0.2883152663707733,0.020253997296094894,0.20544172823429108
the,0.28907305002212524,0.23840250074863434,0.5829201340675354,0.2557354271411896,0.39067012071609497,0.25772973895072937,0.5171257257461548,0.42745697498321533,0.27187061309814453,0.6662389636039734,0.2621108889579773,0.05573182925581932,0.22068053483963013
dumont,0.30818021297454834,0.126519113779068,0.21930351853370667,0.24475815892219543,0.10373595356941223,0.24755936861038208,0.28118643164634705,0.12555237114429474,0.2999393939971924,0.224955752491951,0.27957257628440857,-0.0373111255466938,0.1635250747203827
television,0.3507816791534424,0.14160925149917603,0.22552843391895294,0.10048628598451614,0.14901204407215118,0.15697897970676422,0.29514092206954956,0.19838058948516846,0.4371747076511383,0.2689782977104187,0.22985529899597168,0.08877259492874146,0.16825827956199646
network,0.17995120584964752,0.1316135972738266,0.17299489676952362,0.17532873153686523,0.2824346423149109,0.1784161925315857,0.27591994404792786,0.16917307674884796,1.0000001192092896,0.19496823847293854,0.1911645382642746,0.071859210729599,0.17853789031505585
",",0.3194567561149597,0.23817701637744904,0.427140474319458,0.25569602847099304,0.27714940905570984,0.23893846571445465,0.6633074283599854,0.3087472915649414,0.1932937651872635,0.5201468467712402,0.4369233250617981,-0.019343923777341843,0.31091248989105225
which,0.2724771499633789,0.24526996910572052,0.56894451379776,0.20221349596977234,0.395174115896225,0.328300416469574,0.506277859210968,0.5261979103088379,0.27261900901794434,0.4840516746044159,0.15760760009288788,0.056196581572294235,0.25814583897590637
was,0.2537340223789215,0.2461901754140854,0.4508470594882965,0.23289446532726288,0.24048170447349548,0.14962729811668396,0.3740963041782379,0.22111038863658905,0.1994880586862564,0.45514053106307983,0.4627581834793091,7.787912909407169e-05,0.18412111699581146
also,0.27733397483825684,0.18778879940509796,0.5149940252304077,0.17490112781524658,0.3419207036495209,0.2714613676071167,0.5755972862243652,0.42747777700424194,0.25186610221862793,0.5073733329772949,0.2530670166015625,-0.0006133277202025056,0.21848613023757935
mired,0.2706336975097656,0.1503812074661255,0.23639234900474548,0.05336379632353783,0.16467970609664917,0.22214247286319733,0.33574897050857544,0.2019580900669098,0.15427829325199127,0.23258912563323975,0.1722198873758316,0.04993699863553047,0.14479221403598785
in,0.2430626004934311,0.2148248553276062,0.539380669593811,0.22860760986804962,0.41100412607192993,0.18964797258377075,0.4954058527946472,0.30808621644973755,0.19496823847293854,1.0,0.27560389041900635,0.06289621442556381,0.20430970191955566
