,what,is,victoria,'s,largest,non-christian,religion,?
roman,0.17852471768856049,0.16690842807292938,0.2075503021478653,0.11189179122447968,0.15639819204807281,0.29443904757499695,0.37049785256385803,0.1663191318511963
catholics,0.2566930949687958,0.2001051902770996,0.1836472898721695,0.09235575050115585,0.13719607889652252,0.38864901661872864,0.5123074054718018,0.17714823782444
form,0.15868011116981506,0.3218395411968231,0.14640337228775024,0.07059726119041443,0.21012957394123077,0.17555776238441467,0.18679021298885345,0.1463010311126709
the,0.42745697498321533,0.5823672413825989,0.2204313427209854,-0.01540423184633255,0.3757036626338959,0.18230506777763367,0.2757669985294342,0.22068053483963013
single,0.24458327889442444,0.27151715755462646,0.19115333259105682,0.02529025822877884,0.18855375051498413,0.13920553028583527,0.14015281200408936,0.2151121199131012
largest,0.13463157415390015,0.3413417339324951,0.1591697335243225,-0.02050611935555935,0.9999999403953552,0.06489508599042892,0.14089646935462952,0.12401245534420013
religious,0.26794421672821045,0.1584658920764923,0.050144776701927185,0.0182697381824255,0.13229964673519135,0.5058754086494446,0.6981536149978638,0.15727058053016663
group,0.2114069163799286,0.22153858840465546,0.06951578706502914,-0.01093533169478178,0.23300331830978394,0.2352464348077774,0.19392786920070648,0.13827809691429138
in,0.30808621644973755,0.5394441485404968,0.20823122560977936,-0.037580832839012146,0.3017216920852661,0.16516803205013275,0.2462482750415802,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.2204313427209854,-0.01540423184633255,0.3757036626338959,0.18230506777763367,0.2757669985294342,0.22068053483963013
state,0.24273863434791565,0.2627358138561249,0.23197819292545319,0.038451772183179855,0.23234382271766663,0.16740311682224274,0.2700068950653076,0.1160883978009224
with,0.2464839518070221,0.3250955045223236,0.1835653930902481,-0.04624466598033905,0.16282805800437927,0.15005441009998322,0.15827436745166779,0.2433311939239502
26.7,-0.017840685322880745,-0.054132990539073944,-0.035837605595588684,0.029711956158280373,-0.13007764518260956,0.034506186842918396,0.02288724295794964,-0.050546541810035706
%,0.20738190412521362,0.18672586977481842,0.07985731214284897,0.031266406178474426,0.2902875542640686,0.14657297730445862,0.23919804394245148,0.21441808342933655
of,0.33290785551071167,0.4854315221309662,0.2505437433719635,-0.03817026689648628,0.36650770902633667,0.2350856065750122,0.30360451340675354,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.2204313427209854,-0.01540423184633255,0.3757036626338959,0.18230506777763367,0.2757669985294342,0.22068053483963013
victorian,0.15513519942760468,0.1690170168876648,0.7158359885215759,0.07498615235090256,0.1441102772951126,0.19848638772964478,0.128642737865448,0.07572567462921143
population,0.2000674307346344,0.2727566361427307,0.1544925570487976,0.012951160781085491,0.41943269968032837,0.1290043294429779,0.2972104847431183,0.14449454843997955
",",0.3087472915649414,0.4691906273365021,0.2279360294342041,-0.0016132977325469255,0.26626327633857727,0.24796564877033234,0.2679629921913147,0.31091248989105225
followed,0.20169416069984436,0.19759002327919006,0.15845099091529846,-0.0014459885424003005,0.16118751466274261,0.1975805014371872,0.2019088864326477,0.20567169785499573
by,0.2455483376979828,0.3899846076965332,0.17471559345722198,-0.010884488001465797,0.17839421331882477,0.16273203492164612,0.18634642660617828,0.17966607213020325
anglicans,0.21912528574466705,0.21923935413360596,0.2130274921655655,0.0512755922973156,0.17638222873210907,0.39024919271469116,0.47986742854118347,0.15126198530197144
and,0.31309178471565247,0.3859752118587494,0.24507255852222443,0.06895173341035843,0.24602696299552917,0.2148016393184662,0.2620435655117035,0.20544172823429108
members,0.16873176395893097,0.1897467076778412,0.11461012810468674,0.02701987512409687,0.2184567153453827,0.20659483969211578,0.23261991143226624,0.10212311148643494
of,0.33290785551071167,0.4854315221309662,0.2505437433719635,-0.03817026689648628,0.36650770902633667,0.2350856065750122,0.30360451340675354,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.2204313427209854,-0.01540423184633255,0.3757036626338959,0.18230506777763367,0.2757669985294342,0.22068053483963013
uniting,0.3020067811012268,0.24521800875663757,0.2179444283246994,0.01838129200041294,0.24537989497184753,0.3565801680088043,0.38412073254585266,0.16345468163490295
church,0.1944202184677124,0.203276589512825,0.2051907777786255,0.023664841428399086,0.1541421115398407,0.40857574343681335,0.45391011238098145,0.18081501126289368
.,0.3567904531955719,0.4569662809371948,0.23069117963314056,-0.003708066651597619,0.18871670961380005,0.2606123983860016,0.28897368907928467,0.4130953550338745
