,where,did,the,french,send,a,large,number,of,settlers,?
contrasting,0.23297126591205597,0.1653667390346527,0.34591272473335266,0.19117744266986847,0.19433139264583588,0.351713091135025,0.29931241273880005,0.2129279226064682,0.36028313636779785,0.22810357809066772,0.22702109813690186
from,0.3713873624801636,0.20248863101005554,0.40150508284568787,0.19660584628582,0.2573563754558563,0.322764128446579,0.24790740013122559,0.24833418428897858,0.4249346852302551,0.20406807959079742,0.19969791173934937
britain,0.17394061386585236,0.23567047715187073,0.29784059524536133,0.26548969745635986,0.16926103830337524,0.18575294315814972,0.23009920120239258,0.21016785502433777,0.28899943828582764,0.29615792632102966,0.1268460750579834
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.28806620836257935,0.24667364358901978,0.427140474319458,0.2263888567686081,0.2535701394081116,0.4946078956127167,0.23535142838954926,0.31091248989105225
france,0.21451038122177124,0.2138325721025467,0.35517507791519165,0.5492131114006042,0.1473880559206009,0.24802380800247192,0.1730155199766159,0.14337337017059326,0.3265724182128906,0.19298666715621948,0.15069349110126495
sent,0.3384990990161896,0.3411059081554413,0.3010627329349518,0.1625688225030899,0.6679649949073792,0.24201522767543793,0.2271304875612259,0.1655268669128418,0.28923630714416504,0.27001285552978516,0.10903520882129669
small,0.33669906854629517,0.20443524420261383,0.39655908942222595,0.1501000076532364,0.2104489803314209,0.41262131929397583,0.7174716591835022,0.29091721773147583,0.353353351354599,0.2590904235839844,0.13914890587329865
numbers,0.23721979558467865,0.20272064208984375,0.293011337518692,0.0978453978896141,0.20625841617584229,0.24434582889080048,0.34294047951698303,0.7132124304771423,0.228018656373024,0.16303855180740356,0.19297972321510315
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.19450366497039795,0.22127455472946167,0.5052502155303955,0.3569655418395996,0.2778518795967102,1.0,0.22850416600704193,0.1826142966747284
settlers,0.19111381471157074,0.23855452239513397,0.27202945947647095,0.22402764856815338,0.22588615119457245,0.21025072038173676,0.2917174696922302,0.10321605205535889,0.22850416600704193,1.0,0.1296290010213852
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.1713797152042389,0.3854542672634125,0.45503583550453186,0.3150999844074249,0.2706126868724823,0.41548454761505127,0.323935329914093,0.29463258385658264
its,0.27530840039253235,0.19922670722007751,0.559237003326416,0.17982690036296844,0.07908439636230469,0.4424409866333008,0.32899510860443115,0.24055860936641693,0.48690423369407654,0.1896488070487976,0.15103481709957123
colonies,0.22480572760105133,0.23126882314682007,0.30451729893684387,0.20400510728359222,0.24092087149620056,0.20623989403247833,0.3113676607608795,0.19862745702266693,0.2890703082084656,0.5529106855392456,0.07886616140604019
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.28806620836257935,0.24667364358901978,0.427140474319458,0.2263888567686081,0.2535701394081116,0.4946078956127167,0.23535142838954926,0.31091248989105225
with,0.4142743945121765,0.25472134351730347,0.4223487675189972,0.1637353003025055,0.2329832762479782,0.3783375024795532,0.26124298572540283,0.2513769268989563,0.41827285289764404,0.18452388048171997,0.2433311939239502
the,0.5003893971443176,0.34736719727516174,1.0,0.2555147111415863,0.2581755518913269,0.5829201340675354,0.3828733265399933,0.35145696997642517,0.733189046382904,0.27202945947647095,0.22068053483963013
only,0.46093058586120605,0.4039593040943146,0.5497692227363586,0.1767234355211258,0.3247850835323334,0.47549712657928467,0.30748701095581055,0.39694860577583313,0.49632513523101807,0.18800653517246246,0.2767370045185089
notable,0.20924408733844757,0.27672359347343445,0.20948168635368347,0.1423051506280899,0.12968675792217255,0.21731382608413696,0.17552264034748077,0.2328024059534073,0.1985267549753189,0.07200667262077332,0.31928157806396484
exception,0.301461786031723,0.2777143716812134,0.35692375898361206,0.12079738825559616,0.1722189337015152,0.27502256631851196,0.19178594648838043,0.30256906151771545,0.33949241042137146,0.1479036957025528,0.2036404013633728
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.19450366497039795,0.22127455472946167,0.5052502155303955,0.3569655418395996,0.2778518795967102,1.0,0.22850416600704193,0.1826142966747284
algeria,0.1941394954919815,0.035289864987134933,0.1901172548532486,0.3387335538864136,0.07494637370109558,0.142367884516716,0.14610503613948822,0.16295593976974487,0.20665249228477478,0.23713204264640808,0.192555770277977
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.28806620836257935,0.24667364358901978,0.427140474319458,0.2263888567686081,0.2535701394081116,0.4946078956127167,0.23535142838954926,0.31091248989105225
where,0.9999999403953552,0.24159270524978638,0.5003893971443176,0.17587623000144958,0.28487101197242737,0.40997210144996643,0.33358052372932434,0.3329964578151703,0.38066378235816956,0.19111381471157074,0.24793872237205505
french,0.17587623000144958,0.1584041714668274,0.2555147111415863,1.0000001192092896,0.15182553231716156,0.24285779893398285,0.16551434993743896,0.09179239720106125,0.19450366497039795,0.22402764856815338,0.1386883556842804
settlers,0.19111381471157074,0.23855452239513397,0.27202945947647095,0.22402764856815338,0.22588615119457245,0.21025072038173676,0.2917174696922302,0.10321605205535889,0.22850416600704193,1.0,0.1296290010213852
nevertheless,0.3224745988845825,0.3379124701023102,0.29583513736724854,0.1920485943555832,0.12537753582000732,0.25812849402427673,0.20286864042282104,0.26298654079437256,0.2589026987552643,0.14798156917095184,0.12207362055778503
always,0.395426481962204,0.31176018714904785,0.31570959091186523,0.21717709302902222,0.21045926213264465,0.35987672209739685,0.2569403648376465,0.2819766700267792,0.25258868932724,0.152336984872818,0.26136693358421326
remained,0.22419263422489166,0.371289998292923,0.3492392301559448,0.1368303745985031,0.06781954318284988,0.23739774525165558,0.21064969897270203,0.17030692100524902,0.35287612676620483,0.2614971399307251,0.08263323456048965
a,0.40997210144996643,0.2552328109741211,0.5829201340675354,0.24285779893398285,0.2153356671333313,1.0,0.3740714490413666,0.2992287278175354,0.5052502155303955,0.21025072038173676,0.23916715383529663
small,0.33669906854629517,0.20443524420261383,0.39655908942222595,0.1501000076532364,0.2104489803314209,0.41262131929397583,0.7174716591835022,0.29091721773147583,0.353353351354599,0.2590904235839844,0.13914890587329865
minority,0.10016278922557831,0.20458325743675232,0.2583708167076111,0.17738108336925507,0.11180492490530014,0.22573496401309967,0.21931181848049164,0.28181371092796326,0.265593022108078,0.2555515468120575,0.22200141847133636
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.2480926215648651,0.31951451301574707,0.50484299659729,0.2304532378911972,0.3256329298019409,0.5352458953857422,0.21710044145584106,0.4130953550338745
