,what,tool,has,measured,the,amount,of,dust,that,travels,from,the,sahara,to,the,amazon,?
nasa,0.21178755164146423,0.2534737288951874,0.15815891325473785,0.22957336902618408,0.19786997139453888,0.19989699125289917,0.17935146391391754,0.3085649311542511,0.26653343439102173,0.1855713129043579,0.18990451097488403,0.19786997139453888,0.2043715864419937,0.21193136274814606,0.19786997139453888,0.1661357581615448,0.1809994876384735
's,0.02692362666130066,-0.06664860248565674,-0.040683966130018234,-0.01571306400001049,-0.01540423184633255,0.051227446645498276,-0.03817026689648628,-0.038515426218509674,0.04397977516055107,-0.01169153768569231,-0.01936490088701248,-0.01540423184633255,0.043338727205991745,0.03782717138528824,-0.01540423184633255,0.062328040599823,-0.023395681753754616
calipso,0.2718275785446167,0.2344909906387329,0.17622970044612885,0.2540299594402313,0.31254130601882935,0.19801068305969238,0.2694573700428009,0.25767600536346436,0.27075010538101196,0.23596595227718353,0.1774051934480667,0.31254130601882935,0.3536181151866913,0.25877487659454346,0.31254130601882935,0.19004616141319275,0.2649646997451782
satellite,0.17739586532115936,0.1427529752254486,0.13467611372470856,0.2683982253074646,0.22563834488391876,0.12078920006752014,0.1683834195137024,0.29698875546455383,0.21998104453086853,0.23491567373275757,0.2617102265357971,0.22563834488391876,0.20361272990703583,0.19631412625312805,0.22563834488391876,0.12525847554206848,0.13568443059921265
has,0.20338068902492523,0.1672147661447525,1.0,0.20514222979545593,0.4177538752555847,0.306355357170105,0.3909035325050354,0.14267772436141968,0.41272613406181335,0.20382024347782135,0.2621968984603882,0.4177538752555847,0.18262594938278198,0.3619994819164276,0.4177538752555847,0.1779293268918991,0.15994466841220856
measured,0.23318471014499664,0.23287011682987213,0.20514222979545593,1.0000001192092896,0.279002845287323,0.4279309809207916,0.26447921991348267,0.23971869051456451,0.2979315221309662,0.3310982584953308,0.2360648363828659,0.279002845287323,0.13201680779457092,0.20595905184745789,0.279002845287323,0.1639031171798706,0.17351430654525757
the,0.42745697498321533,0.20790323615074158,0.4177538752555847,0.279002845287323,1.0,0.3336862325668335,0.733189046382904,0.2346910536289215,0.5473989248275757,0.31547650694847107,0.40150508284568787,1.0,0.23516924679279327,0.535392165184021,1.0,0.260541707277298,0.22068053483963013
amount,0.2602839767932892,0.25451669096946716,0.306355357170105,0.4279309809207916,0.3336862325668335,1.0000001192092896,0.2541177570819855,0.2806089520454407,0.3969508707523346,0.2623002529144287,0.26152533292770386,0.3336862325668335,0.1894545555114746,0.309798926115036,0.3336862325668335,0.1940114051103592,0.17984020709991455
of,0.33290785551071167,0.15587300062179565,0.3909035325050354,0.26447921991348267,0.733189046382904,0.2541177570819855,1.0,0.25486329197883606,0.41498205065727234,0.2645129859447479,0.4249346852302551,0.733189046382904,0.17664550244808197,0.41548454761505127,0.733189046382904,0.20143137872219086,0.1826142966747284
dust,0.1907336562871933,0.17862464487552643,0.14267772436141968,0.23971869051456451,0.2346910536289215,0.2806089520454407,0.25486329197883606,1.0,0.26238390803337097,0.26585280895233154,0.21349763870239258,0.2346910536289215,0.28134268522262573,0.26756495237350464,0.2346910536289215,0.13802170753479004,0.15803812444210052
transported,0.17293962836265564,0.2010601907968521,0.14136213064193726,0.2812153398990631,0.2550795376300812,0.23297442495822906,0.26284846663475037,0.21931618452072144,0.2946196496486664,0.3182123005390167,0.2931711971759796,0.2550795376300812,0.18272490799427032,0.24132387340068817,0.2550795376300812,0.21860341727733612,0.1354173868894577
by,0.2455483376979828,0.13873547315597534,0.3254803419113159,0.2737140357494354,0.4408751428127289,0.19143085181713104,0.3646814823150635,0.1268737018108368,0.37496164441108704,0.22568337619304657,0.3373257517814636,0.4408751428127289,0.1393868327140808,0.33534231781959534,0.4408751428127289,0.16320857405662537,0.17966607213020325
wind,0.2056615948677063,0.16435545682907104,0.15982981026172638,0.2933620512485504,0.2338196188211441,0.1736099123954773,0.22346341609954834,0.36152732372283936,0.19486463069915771,0.20170487463474274,0.1916961371898651,0.2338196188211441,0.17654994130134583,0.198759526014328,0.2338196188211441,0.1388091892004013,0.17669273912906647
from,0.2737620174884796,0.15490968525409698,0.2621968984603882,0.2360648363828659,0.40150508284568787,0.26152533292770386,0.4249346852302551,0.21349763870239258,0.3477667272090912,0.2966899871826172,1.0,0.40150508284568787,0.16873504221439362,0.4069952368736267,0.40150508284568787,0.08236479759216309,0.19969791173934937
the,0.42745697498321533,0.20790323615074158,0.4177538752555847,0.279002845287323,1.0,0.3336862325668335,0.733189046382904,0.2346910536289215,0.5473989248275757,0.31547650694847107,0.40150508284568787,1.0,0.23516924679279327,0.535392165184021,1.0,0.260541707277298,0.22068053483963013
sahara,0.24191512167453766,0.19413205981254578,0.18262594938278198,0.13201680779457092,0.23516924679279327,0.1894545555114746,0.17664550244808197,0.28134268522262573,0.22486364841461182,0.1709999293088913,0.16873504221439362,0.23516924679279327,0.9999999403953552,0.15024827420711517,0.23516924679279327,0.26794329285621643,0.17314527928829193
to,0.455847829580307,0.2641676962375641,0.3619994819164276,0.20595905184745789,0.535392165184021,0.309798926115036,0.41548454761505127,0.26756495237350464,0.5436353087425232,0.2982982099056244,0.4069952368736267,0.535392165184021,0.15024827420711517,1.0,0.535392165184021,0.17033490538597107,0.29463258385658264
the,0.42745697498321533,0.20790323615074158,0.4177538752555847,0.279002845287323,1.0,0.3336862325668335,0.733189046382904,0.2346910536289215,0.5473989248275757,0.31547650694847107,0.40150508284568787,1.0,0.23516924679279327,0.535392165184021,1.0,0.260541707277298,0.22068053483963013
amazon,0.16355936229228973,0.15676365792751312,0.1779293268918991,0.1639031171798706,0.260541707277298,0.1940114051103592,0.20143137872219086,0.13802170753479004,0.2228476107120514,0.1975102722644806,0.08236479759216309,0.260541707277298,0.26794329285621643,0.17033490538597107,0.260541707277298,1.0000001192092896,0.18144656717777252
:,-0.12022944539785385,-0.15145224332809448,-0.02031770534813404,-0.07392064481973648,-0.03403344005346298,-0.03821036219596863,-0.08807745575904846,-0.13309550285339355,-0.12200210988521576,-0.12725640833377838,-0.056502215564250946,-0.03403344005346298,-0.028305675834417343,-0.09243495017290115,-0.03403344005346298,-0.12260514497756958,-0.07156077772378922
an,0.2821882665157318,0.24017159640789032,0.2991473078727722,0.1947242021560669,0.4207492768764496,0.25767290592193604,0.32280945777893066,0.17542733252048492,0.365763783454895,0.1627553552389145,0.20876385271549225,0.4207492768764496,0.16406328976154327,0.3138085603713989,0.4207492768764496,0.16257908940315247,0.19793890416622162
average,0.24068789184093475,0.08851230144500732,0.27553778886795044,0.3696230351924896,0.27058175206184387,0.41291627287864685,0.23717734217643738,0.16783887147903442,0.2513456642627716,0.1899333894252777,0.14640052616596222,0.27058175206184387,0.12875841557979584,0.2572915256023407,0.27058175206184387,0.24211540818214417,0.21764592826366425
