,a,teacher,must,be,a,member,in,good,standing,with,what,entity,in,many,situations,?
the,0.5829201340675354,0.17760860919952393,0.2713140547275543,0.4248143136501312,0.5829201340675354,0.2806392312049866,0.6662389636039734,0.2735973596572876,0.32312217354774475,0.4223487675189972,0.42745697498321533,0.2403784692287445,0.6662389636039734,0.4335206151008606,0.2505728304386139,0.22068053483963013
functions,0.21638484299182892,0.14569424092769623,0.2659211754798889,0.2704888582229614,0.21638484299182892,0.1067918986082077,0.19547589123249054,0.1297616958618164,0.15908274054527283,0.2008940577507019,0.22357098758220673,0.3274121880531311,0.19547589123249054,0.29515355825424194,0.4044463038444519,0.13745930790901184
of,0.5052502155303955,0.19968076050281525,0.24322323501110077,0.33904364705085754,0.5052502155303955,0.2701796889305115,0.5696388483047485,0.2696770131587982,0.30196839570999146,0.41827285289764404,0.33290785551071167,0.21258564293384552,0.5696388483047485,0.37253960967063904,0.19685450196266174,0.1826142966747284
the,0.5829201340675354,0.17760860919952393,0.2713140547275543,0.4248143136501312,0.5829201340675354,0.2806392312049866,0.6662389636039734,0.2735973596572876,0.32312217354774475,0.4223487675189972,0.42745697498321533,0.2403784692287445,0.6662389636039734,0.4335206151008606,0.2505728304386139,0.22068053483963013
teacher,0.31202319264411926,0.9999998807907104,0.15526846051216125,0.1891087293624878,0.31202319264411926,0.21995455026626587,0.22632350027561188,0.3041628301143646,0.13845549523830414,0.13737362623214722,0.20492632687091827,0.10138304531574249,0.22632350027561188,0.16581547260284424,0.14729347825050354,0.1797819435596466
's,0.04866964742541313,0.026857737451791763,-0.018240178003907204,0.025217169895768166,0.04866964742541313,-0.031640440225601196,-0.037580832839012146,0.09279277920722961,-0.062237318605184555,-0.04624466598033905,0.02692362666130066,0.028901949524879456,-0.037580832839012146,0.01698932610452175,0.038953740149736404,-0.023395681753754616
colleges,0.21794883906841278,0.3632963299751282,0.2119116336107254,0.21227063238620758,0.21794883906841278,0.2190067172050476,0.2712832987308502,0.22878581285476685,0.20021115243434906,0.17831756174564362,0.19657261669635773,0.1956464648246765,0.2712832987308502,0.24727776646614075,0.20404940843582153,0.15586905181407928
may,0.29255667328834534,0.15417979657649994,0.35644111037254333,0.45514434576034546,0.29255667328834534,0.1533735990524292,0.3424151837825775,0.263968288898468,0.20204509794712067,0.23512546718120575,0.25739946961402893,0.12395066767930984,0.3424151837825775,0.29758191108703613,0.2755342125892639,0.2768254578113556
include,0.18765322864055634,0.10256306082010269,0.14696872234344482,0.29535481333732605,0.18765322864055634,0.13887353241443634,0.28694382309913635,0.20613433420658112,0.10773839056491852,0.3391835689544678,0.1535889357328415,0.09487570822238922,0.28694382309913635,0.4642373323440552,0.19579561054706573,0.14925788342952728
setting,0.3013681173324585,0.20513468980789185,0.2132606953382492,0.23218974471092224,0.3013681173324585,0.09016638249158859,0.2323552966117859,0.1915968656539917,0.24810691177845,0.228631854057312,0.287603497505188,0.2558743953704834,0.2323552966117859,0.22740451991558075,0.3082564175128937,0.16943378746509552
out,0.34264278411865234,0.1989559531211853,0.2421475201845169,0.3626708686351776,0.34264278411865234,0.11861088871955872,0.3576207756996155,0.2796950340270996,0.2189476191997528,0.3367781639099121,0.3633197546005249,0.09682268649339676,0.3576207756996155,0.3329806923866272,0.24869248270988464,0.22020699083805084
clear,0.24375371634960175,0.1457471251487732,0.26124146580696106,0.30344653129577637,0.24375371634960175,0.05519035831093788,0.23860304057598114,0.35101553797721863,0.18591010570526123,0.273733526468277,0.4239453375339508,0.07024654746055603,0.23860304057598114,0.26535773277282715,0.28771957755088806,0.2738020122051239
standards,0.1997949630022049,0.13633975386619568,0.33403876423835754,0.2821919918060303,0.1997949630022049,0.17060893774032593,0.17966534197330475,0.3602829575538635,0.25370222330093384,0.1737729161977768,0.2855789363384247,0.22249050438404083,0.17966534197330475,0.2810951769351959,0.36894139647483826,0.2011813372373581
