,what,philosophies,underlay,chinese,medicine,?
chinese,0.11643128097057343,0.28245237469673157,0.19745580852031708,1.0000001192092896,0.19321709871292114,0.20843194425106049
physicians,0.24258212745189667,0.36007291078567505,0.20867903530597687,0.13700620830059052,0.42799022793769836,0.12075905501842499
opposed,0.35573211312294006,0.34010669589042664,0.17747890949249268,0.1532188057899475,0.14145295321941376,0.23428945243358612
western,0.2454150915145874,0.16132517158985138,0.09995445609092712,0.2779749631881714,0.1959279179573059,0.17439141869544983
medicine,0.20377366244792938,0.33308833837509155,0.11837782710790634,0.19321709871292114,1.0,0.14826606214046478
because,0.46729007363319397,0.22368614375591278,0.28399789333343506,0.20036393404006958,0.14774149656295776,0.2528740465641022
its,0.30393704771995544,0.15504378080368042,0.26259443163871765,0.15414080023765564,0.13495765626430511,0.15103481709957123
humoral,0.33916720747947693,0.42321643233299255,0.3117559552192688,0.19675080478191376,0.3366965055465698,0.23676204681396484
system,0.23557309806346893,0.1597764790058136,0.24551336467266083,0.2205471247434616,0.16614189743995667,0.15556083619594574
contradicted,0.4479387104511261,0.3786105811595917,0.31492093205451965,0.1695786565542221,0.12317167967557907,0.38663676381111145
the,0.42745697498321533,0.2134779542684555,0.3360357880592346,0.2785343527793884,0.19564834237098694,0.22068053483963013
yin-yang,0.1085657924413681,0.21843159198760986,0.15211838483810425,0.6599096655845642,0.1690657138824463,0.17425289750099182
and,0.31309178471565247,0.2893456518650055,0.2969531714916229,0.25892454385757446,0.1892286092042923,0.20544172823429108
wuxing,0.2119903862476349,0.22667226195335388,0.24250876903533936,0.47023406624794006,0.2734695374965668,0.19527064263820648
philosophy,0.3238759934902191,0.8522976040840149,0.279539555311203,0.2606075704097748,0.41486698389053345,0.17949430644512177
underlying,0.44977858662605286,0.3785009980201721,0.645630419254303,0.14000165462493896,0.1466466635465622,0.2342413365840912
traditional,0.20066824555397034,0.2444370537996292,0.21771025657653809,0.3516996502876282,0.20906129479408264,0.1327509582042694
chinese,0.11643128097057343,0.28245237469673157,0.19745580852031708,1.0000001192092896,0.19321709871292114,0.20843194425106049
medicine,0.20377366244792938,0.33308833837509155,0.11837782710790634,0.19321709871292114,1.0,0.14826606214046478
.,0.3567904531955719,0.2374347597360611,0.29297706484794617,0.25441038608551025,0.242958664894104,0.4130953550338745
