,for,what,size,natural,number,does,bertrand,'s,postulate,hold,?
the,0.4739971458911896,0.42745697498321533,0.2946445941925049,0.2291368842124939,0.35145696997642517,0.35928019881248474,0.21314574778079987,-0.01540423184633255,0.29464417695999146,0.3067915439605713,0.22068053483963013
latter,0.22359251976013184,0.25606152415275574,0.13166984915733337,0.13371306657791138,0.18357326090335846,0.1787293255329132,0.23826363682746887,0.09834528714418411,0.2156885862350464,0.16941997408866882,0.12733961641788483
formula,0.16039954125881195,0.1849268674850464,0.13397817313671112,0.1570572555065155,0.24893635511398315,0.1897171139717102,0.19539259374141693,0.07357185333967209,0.29436784982681274,0.07356027513742447,0.16194304823875427
can,0.35690054297447205,0.34502777457237244,0.2714308202266693,0.24739035964012146,0.33886176347732544,0.5156301856040955,0.10228849947452545,-0.02075597457587719,0.2483651041984558,0.35063910484313965,0.3226337134838104
be,0.3801851272583008,0.3929833769798279,0.28390660881996155,0.2263202965259552,0.28840136528015137,0.28696945309638977,0.1785547137260437,0.025217169895768166,0.272475928068161,0.352611243724823,0.3324260413646698
shown,0.28684258460998535,0.2601207196712494,0.18043912947177887,0.1707860678434372,0.18899334967136383,0.24773938953876495,0.1123642697930336,-0.028585107997059822,0.21752934157848358,0.15747463703155518,0.2433658242225647
using,0.3806014060974121,0.27984681725502014,0.21919897198677063,0.1991279125213623,0.2584289014339447,0.2979021370410919,0.09463084489107132,-0.029558077454566956,0.27465030550956726,0.2890996038913727,0.2804589569568634
bertrand,0.18927069008350372,0.18408583104610443,0.0656486377120018,0.1673935204744339,0.1536797285079956,0.07306912541389465,1.0,-0.063820980489254,0.3618767261505127,0.13290877640247345,0.19121049344539642
's,-0.07241261005401611,0.02692362666130066,0.08317088335752487,-0.049410052597522736,0.033178191632032394,-0.02895052544772625,-0.063820980489254,0.9999999403953552,-0.0034737507812678814,0.05379863828420639,-0.023395681753754616
postulate,0.1664469838142395,0.3235529959201813,0.16987992823123932,0.2358727604150772,0.2552981674671173,0.24446117877960205,0.3618767261505127,-0.0034737507812678814,1.0000001192092896,0.1767859011888504,0.29212695360183716
(,0.3357032239437103,0.2411840260028839,0.20613399147987366,0.20213626325130463,0.16158060729503632,0.2728188931941986,0.21524962782859802,0.0012731997994706035,0.1700727641582489,0.14320339262485504,0.40561532974243164
proven,0.23172174394130707,0.31119266152381897,0.13627943396568298,0.21585361659526825,0.22299419343471527,0.2875533998012543,0.26029112935066223,-0.03496364504098892,0.4175960421562195,0.25977233052253723,0.23916150629520416
first,0.3800288736820221,0.28086137771606445,0.17749473452568054,0.11985104531049728,0.28294017910957336,0.2198687642812729,0.30489930510520935,-0.014458609744906425,0.2569648027420044,0.25145259499549866,0.18701928853988647
by,0.3248702883720398,0.2455483376979828,0.1382545381784439,0.17614005506038666,0.2551532983779907,0.143477201461792,0.19417469203472137,-0.010884488001465797,0.26071152091026306,0.1619003266096115,0.17966607213020325
chebyshev,0.22868600487709045,0.2775908410549164,0.11073636263608932,0.18307991325855255,0.2436855435371399,0.20272478461265564,0.43902745842933655,-0.009341741912066936,0.47049763798713684,0.12198054045438766,0.26083728671073914
),0.3639558255672455,0.26259949803352356,0.1989639550447464,0.18814951181411743,0.19318018853664398,0.2575884759426117,0.2249240279197693,0.021107977256178856,0.17997968196868896,0.16549283266067505,0.42300865054130554
",",0.4464869201183319,0.3087472915649414,0.2156888097524643,0.30864179134368896,0.2535701394081116,0.28617382049560547,0.3278551399707794,-0.0016132977325469255,0.24302847683429718,0.2803111970424652,0.31091248989105225
