,what,is,the,public,library,seen,as,to,kenyans,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.19607044756412506,0.13480092585086823,0.26090866327285767,0.39550232887268066,0.45503583550453186,0.24925969541072845,0.23916715383529663
public,0.1729622185230255,0.1980048567056656,0.22857438027858734,1.0000001192092896,0.333901047706604,0.21370749175548553,0.2423635572195053,0.2672370672225952,0.18478982150554657,0.19872993230819702
library,0.19149379432201385,0.16916222870349884,0.19920319318771362,0.333901047706604,0.9999999403953552,0.1185111254453659,0.19044850766658783,0.19252733886241913,0.04091216251254082,0.18938742578029633
is,0.28837618231773376,1.0,0.5823672413825989,0.1980048567056656,0.16916222870349884,0.2670730948448181,0.43216490745544434,0.42745086550712585,0.1736961156129837,0.22961433231830597
seen,0.3087027072906494,0.2670730948448181,0.3442007005214691,0.21370749175548553,0.1185111254453659,1.0,0.35132327675819397,0.2634880542755127,0.14241181313991547,0.2567344307899475
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2423635572195053,0.19044850766658783,0.35132327675819397,1.0,0.42092081904411316,0.24085594713687897,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.19607044756412506,0.13480092585086823,0.26090866327285767,0.39550232887268066,0.45503583550453186,0.24925969541072845,0.23916715383529663
peoples,0.26138749718666077,0.21010412275791168,0.3388310670852661,0.1215057447552681,0.13388603925704956,0.25250479578971863,0.24019794166088104,0.2922554910182953,0.36382320523262024,0.2085462063550949
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.35987716913223267,0.3760603964328766,0.10800249874591827,0.21858684718608856,0.20192374289035797,0.2043483704328537,0.11887256056070328
since,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.19604887068271637,0.154753178358078,0.29103121161460876,0.36245352029800415,0.3733763098716736,0.19779154658317566,0.2876587212085724
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.2047269344329834,0.1741359829902649,0.2688419222831726,0.4461488723754883,0.513711154460907,0.16075284779071808,0.25732165575027466
is,0.28837618231773376,1.0,0.5823672413825989,0.1980048567056656,0.16916222870349884,0.2670730948448181,0.43216490745544434,0.42745086550712585,0.1736961156129837,0.22961433231830597
open,0.2022915631532669,0.1846783459186554,0.2764171361923218,0.3174091577529907,0.14451533555984497,0.21004198491573334,0.1737249791622162,0.2593059837818146,0.13778991997241974,0.20715104043483734
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2672370672225952,0.19252733886241913,0.2634880542755127,0.42092081904411316,1.0,0.27471432089805603,0.29463258385658264
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.17971737682819366,0.1298113465309143,0.28350168466567993,0.33195313811302185,0.42520734667778015,0.22598116099834442,0.29575422406196594
irrespective,0.30931758880615234,0.2764158248901367,0.32915493845939636,0.2543138265609741,0.0961068719625473,0.30258312821388245,0.34944432973861694,0.31016865372657776,0.21270820498466492,0.21697618067264557
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2391265481710434,0.21889357268810272,0.28639769554138184,0.3886612355709076,0.41548454761505127,0.20549276471138,0.1826142966747284
age,0.1895245760679245,0.17962174117565155,0.24711290001869202,0.12472128868103027,0.14631913602352142,0.18462830781936646,0.22976377606391907,0.23830388486385345,0.21214374899864197,0.16859300434589386
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2588968276977539,0.16805633902549744,0.28642043471336365,0.48816442489624023,0.44245919585227966,0.28845730423927307,0.31091248989105225
literacy,0.18552760779857635,0.26296091079711914,0.2540953457355499,0.2979360520839691,0.23063823580741882,0.17445069551467896,0.20246104896068573,0.23689061403274536,0.3076218366622925,0.18642817437648773
level,0.27376922965049744,0.24803997576236725,0.31442487239837646,0.249895840883255,0.14331410825252533,0.17680148780345917,0.24387936294078827,0.2976585030555725,0.11099798232316971,0.20528386533260345
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3227643668651581,0.18451033532619476,0.2522655725479126,0.49487000703811646,0.48971283435821533,0.27143463492393494,0.20544172823429108
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.20210739970207214,0.1522570103406906,0.2517690062522888,0.351646363735199,0.3619994819164276,0.17521768808364868,0.15994466841220856
materials,0.21012352406978607,0.2010483592748642,0.22837378084659576,0.2479015290737152,0.23712259531021118,0.24174390733242035,0.2538547217845917,0.2771066129207611,0.18373903632164001,0.1301651895046234
relevant,0.41105255484580994,0.2515393793582916,0.3216378390789032,0.25018125772476196,0.18070359528064728,0.26310914754867554,0.26901775598526,0.315670907497406,0.22646725177764893,0.37889617681503296
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2672370672225952,0.19252733886241913,0.2634880542755127,0.42092081904411316,1.0,0.27471432089805603,0.29463258385658264
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.2638770341873169,0.17288841307163239,0.21240337193012238,0.15704652667045593,0.37275731563568115,0.3171587884426117,0.23739641904830933
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2391265481710434,0.21889357268810272,0.28639769554138184,0.3886612355709076,0.41548454761505127,0.20549276471138,0.1826142966747284
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.17971737682819366,0.1298113465309143,0.28350168466567993,0.33195313811302185,0.42520734667778015,0.22598116099834442,0.29575422406196594
walks,0.20026059448719025,0.22902849316596985,0.2508910596370697,0.2142341285943985,0.06125418096780777,0.2305794209241867,0.1825678050518036,0.2513737082481384,0.20087085664272308,0.10987506806850433
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2391265481710434,0.21889357268810272,0.28639769554138184,0.3886612355709076,0.41548454761505127,0.20549276471138,0.1826142966747284
life,0.24693015217781067,0.2110576033592224,0.23528170585632324,0.16449081897735596,0.16414271295070648,0.18398331105709076,0.23248597979545593,0.24560359120368958,0.165138378739357,0.21677987277507782
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.21888655424118042,0.23675528168678284,0.30320122838020325,0.515582263469696,0.4645031690597534,0.26101213693618774,0.4130953550338745
