,what,lesson,did,johann,von,staupitz,teach,luther,repentance,was,?
he,0.3114890456199646,0.2938505709171295,0.3292143940925598,0.21818965673446655,0.1780691146850586,0.29025623202323914,0.3149762451648712,0.2454872578382492,0.24596695601940155,0.5410010814666748,0.2089974731206894
taught,0.25590506196022034,0.3933992087841034,0.3282313942909241,0.2571428120136261,0.15855148434638977,0.19857622683048248,0.6738810539245605,0.1697547286748886,0.3029628098011017,0.27820736169815063,0.18297621607780457
that,0.6297725439071655,0.3165140151977539,0.47518548369407654,0.1866597831249237,0.18165160715579987,0.24505926668643951,0.30684569478034973,0.21746599674224854,0.33443138003349304,0.33670201897621155,0.32716336846351624
true,0.34890216588974,0.16037018597126007,0.23050670325756073,0.17874038219451904,0.10731004923582077,0.1630166918039322,0.206130713224411,0.17746490240097046,0.3210965096950531,0.09867987781763077,0.22515304386615753
repentance,0.34797537326812744,0.30994653701782227,0.21708856523036957,0.17725224792957306,0.16270363330841064,0.23773212730884552,0.3040715456008911,0.28199121356010437,1.0,0.22673434019088745,0.22127725183963776
does,0.38564667105674744,0.20698046684265137,0.5457901358604431,0.12538211047649384,0.13313022255897522,0.11106833815574646,0.24951143562793732,0.14081993699073792,0.20295724272727966,0.19302551448345184,0.338003009557724
not,0.5449194312095642,0.20708633959293365,0.6481515765190125,0.2083217054605484,0.16681167483329773,0.20986589789390564,0.3034680187702179,0.21636232733726501,0.29106664657592773,0.2888734042644501,0.41942933201789856
involve,0.2820183336734772,0.1965375393629074,0.20440374314785004,0.08024571090936661,0.034998707473278046,0.12622813880443573,0.2277786135673523,0.07199215143918991,0.2888561189174652,0.09609570354223251,0.21596334874629974
self-inflicted,0.33734750747680664,0.20333845913410187,0.33187904953956604,0.16429248452186584,0.20388442277908325,0.30274131894111633,0.20153096318244934,0.1636745184659958,0.38243240118026733,0.30652445554733276,0.28175869584083557
penances,0.3148193359375,0.26635780930519104,0.25640931725502014,0.13236789405345917,0.09677638113498688,0.1512533277273178,0.295390248298645,0.25421231985092163,0.426800012588501,0.1974617838859558,0.24299193918704987
and,0.31309178471565247,0.20178021490573883,0.34479495882987976,0.22396446764469147,0.2179601788520813,0.35333406925201416,0.27376773953437805,0.20796556770801544,0.2467801719903946,0.3740963041782379,0.20544172823429108
punishments,0.305923193693161,0.17889299988746643,0.26226791739463806,0.0921744778752327,0.06962026655673981,0.1876274049282074,0.17041730880737305,0.16020475327968597,0.28792887926101685,0.20030659437179565,0.23544666171073914
but,0.5029441118240356,0.2517680823802948,0.49033689498901367,0.16015517711639404,0.15366855263710022,0.2564941942691803,0.2608379125595093,0.20694120228290558,0.28232261538505554,0.36023372411727905,0.27921953797340393
rather,0.3923804461956024,0.25918450951576233,0.3137456178665161,0.14578032493591309,0.14855965971946716,0.228125661611557,0.19430390000343323,0.19670958817005157,0.22049163281917572,0.23478160798549652,0.3053998053073883
a,0.3320399522781372,0.26171454787254333,0.2552328109741211,0.16699613630771637,0.18142175674438477,0.29951661825180054,0.18608243763446808,0.17967689037322998,0.27898499369621277,0.4508470594882965,0.23916715383529663
change,0.3690716028213501,0.18715184926986694,0.2806394100189209,0.15609882771968842,0.1214117780327797,0.19457361102104187,0.2252478450536728,0.18148183822631836,0.22605577111244202,0.18487286567687988,0.24115969240665436
of,0.33290785551071167,0.16795259714126587,0.2513895630836487,0.19805940985679626,0.19899946451187134,0.3266022205352783,0.2383975088596344,0.1719115972518921,0.2168327271938324,0.4069072902202606,0.1826142966747284
heart,0.18515849113464355,0.22180487215518951,0.11897843331098557,0.13510875403881073,0.07114366441965103,0.20270277559757233,0.13094981014728546,0.24675995111465454,0.23388546705245972,0.23247237503528595,0.11825142055749893
.,0.3567904531955719,0.19865132868289948,0.35288307070732117,0.2245039939880371,0.20990465581417084,0.36448901891708374,0.2642667293548584,0.24907569587230682,0.1949937343597412,0.40146201848983765,0.4130953550338745
