,elders,in,full,connection,are,each,a,member,of,what,?
elders,1.0,0.1353733092546463,0.12053930014371872,0.1740812361240387,0.1925610899925232,0.21400776505470276,0.15844552218914032,0.26981261372566223,0.19022433459758759,0.1815560907125473,0.11241849511861801
in,0.1353733092546463,1.0,0.20023053884506226,0.2436826080083847,0.3841303884983063,0.30816060304641724,0.539380669593811,0.20856694877147675,0.5696388483047485,0.30808621644973755,0.20430970191955566
full,0.12053930014371872,0.20023053884506226,1.0,0.018814828246831894,0.16167086362838745,0.24674496054649353,0.2751905620098114,0.10492070019245148,0.3238043189048767,0.20298334956169128,0.168479785323143
connection,0.1740812361240387,0.2436826080083847,0.018814828246831894,1.0,0.260875940322876,0.27409809827804565,0.29948776960372925,0.14664222300052643,0.21908310055732727,0.24457211792469025,0.1714525669813156
are,0.1925610899925232,0.3841303884983063,0.16167086362838745,0.260875940322876,1.0,0.39730963110923767,0.265255331993103,0.16299262642860413,0.39081433415412903,0.29724663496017456,0.24591213464736938
each,0.21400776505470276,0.30816060304641724,0.24674496054649353,0.27409809827804565,0.39730963110923767,1.0,0.434999018907547,0.12621234357357025,0.38460010290145874,0.3353266417980194,0.21173812448978424
a,0.15844552218914032,0.539380669593811,0.2751905620098114,0.29948776960372925,0.265255331993103,0.434999018907547,1.0,0.24081070721149445,0.5052502155303955,0.3320399522781372,0.23916715383529663
member,0.26981261372566223,0.20856694877147675,0.10492070019245148,0.14664222300052643,0.16299262642860413,0.12621234357357025,0.24081070721149445,0.9999998807907104,0.2701796889305115,0.09932345896959305,0.06826172769069672
of,0.19022433459758759,0.5696388483047485,0.3238043189048767,0.21908310055732727,0.39081433415412903,0.38460010290145874,0.5052502155303955,0.2701796889305115,1.0,0.33290785551071167,0.1826142966747284
their,0.2934665083885193,0.34976133704185486,0.2970364987850189,0.2278740108013153,0.46887820959091187,0.4487806558609009,0.29698723554611206,0.11408882588148117,0.4329940676689148,0.35142919421195984,0.1898253709077835
annual,0.15408340096473694,0.2557781934738159,0.11698465049266815,0.1483997255563736,0.13641297817230225,0.27917638421058655,0.24023446440696716,0.20714876055717468,0.29535046219825745,0.14798973500728607,0.1083487942814827
conference,0.1757676750421524,0.2199791669845581,0.2118113785982132,0.21146178245544434,0.1676291674375534,0.21830394864082336,0.1375192254781723,0.23268674314022064,0.19579021632671356,0.15329721570014954,0.11172781884670258
order,0.17401395738124847,0.24184700846672058,0.17627090215682983,0.11358258128166199,0.22330260276794434,0.2354213148355484,0.24138490855693817,0.22501426935195923,0.31287699937820435,0.16634008288383484,0.13725648820400238
of,0.19022433459758759,0.5696388483047485,0.3238043189048767,0.21908310055732727,0.39081433415412903,0.38460010290145874,0.5052502155303955,0.2701796889305115,1.0,0.33290785551071167,0.1826142966747284
elders,1.0,0.1353733092546463,0.12053930014371872,0.1740812361240387,0.1925610899925232,0.21400776505470276,0.15844552218914032,0.26981261372566223,0.19022433459758759,0.1815560907125473,0.11241849511861801
.,0.13121041655540466,0.5591574311256409,0.23337839543819427,0.24572813510894775,0.3452940285205841,0.31204065680503845,0.50484299659729,0.19907453656196594,0.5352458953857422,0.3567904531955719,0.4130953550338745
