,which,company,is,the,gallery,of,japanese,art,named,after,?
the,0.6521818041801453,0.26591673493385315,0.5823672413825989,1.0,0.19251246750354767,0.733189046382904,0.21599429845809937,0.20297785103321075,0.3521348536014557,0.4565047025680542,0.22068053483963013
toshiba,0.22474350035190582,0.26740309596061707,0.13350927829742432,0.15473507344722748,0.1479983627796173,0.16578766703605652,0.5472311973571777,0.15028353035449982,0.13959939777851105,0.11834616959095001,0.14694181084632874
gallery,0.19994710385799408,0.16271138191223145,0.15374112129211426,0.19251246750354767,1.0,0.1971534639596939,0.0947992280125618,0.5883238911628723,0.16579706966876984,0.12969814240932465,0.18202216923236847
of,0.5011631846427917,0.20467796921730042,0.4854315221309662,0.733189046382904,0.1971534639596939,1.0,0.2048201858997345,0.22648051381111145,0.2820465862751007,0.3867455720901489,0.1826142966747284
japanese,0.19711120426654816,0.16338025033473969,0.20400524139404297,0.21599429845809937,0.0947992280125618,0.2048201858997345,1.0,0.19100549817085266,0.07847779989242554,0.1767677664756775,0.12021756172180176
art,0.19862167537212372,0.16540293395519257,0.17386884987354279,0.20297785103321075,0.5883238911628723,0.22648051381111145,0.19100549817085266,1.0,0.09400837123394012,0.14912347495555878,0.138971745967865
opened,0.24361629784107208,0.2392442673444748,0.15947836637496948,0.28544309735298157,0.249263733625412,0.16720551252365112,0.07334429025650024,0.15857157111167908,0.2936915457248688,0.2920805811882019,0.1934700310230255
in,0.4840516746044159,0.22141718864440918,0.5394441485404968,0.6662389636039734,0.21665531396865845,0.5696388483047485,0.1623581349849701,0.2282189577817917,0.28130269050598145,0.44050168991088867,0.20430970191955566
december,0.15643881261348724,0.16693733632564545,0.23552489280700684,0.23266014456748962,0.15745867788791656,0.1503814309835434,0.19316422939300537,0.11356078833341599,0.1395851969718933,0.32761910557746887,0.2480352818965912
1986,0.13014493882656097,0.07952006906270981,0.0561588779091835,0.11024544388055801,0.07166395336389542,0.11842719465494156,0.10952447354793549,-0.01821969263255596,0.018744200468063354,0.07284300774335861,0.14247135818004608
.,0.45942068099975586,0.266353577375412,0.4569662809371948,0.5934505462646484,0.21326512098312378,0.5352458953857422,0.22132645547389984,0.21795564889907837,0.24760639667510986,0.35870397090911865,0.4130953550338745
