,who,asked,luther,to,teach,theology,at,the,university,of,wittenberg,?
in,0.2792111933231354,0.1718822419643402,0.20523880422115326,0.45010748505592346,0.23312166333198547,0.23190923035144806,0.4374977946281433,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.2511049211025238,0.20430970191955566
1507,-0.0016562386881560087,0.010222102515399456,0.01006355695426464,0.044053319841623306,-0.066831074655056,-0.07587619870901108,-0.025754213333129883,-0.02343389205634594,-0.08347150683403015,-0.07579415291547775,0.016648050397634506,0.11784149706363678
",",0.3365725874900818,0.2717181444168091,0.23255878686904907,0.44245919585227966,0.22192275524139404,0.23964712023735046,0.38314947485923767,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.23876431584358215,0.31091248989105225
he,0.5500732064247131,0.3250562250614166,0.2454872578382492,0.385390967130661,0.3149762451648712,0.2784007787704468,0.3280475437641144,0.4571082592010498,0.31377843022346497,0.38706058263778687,0.21938884258270264,0.2089974731206894
was,0.3318818509578705,0.368498295545578,0.19185513257980347,0.3636345863342285,0.14618994295597076,0.21140047907829285,0.36707764863967896,0.48711544275283813,0.290752112865448,0.4069072902202606,0.23245899379253387,0.18412111699581146
ordained,0.2565222978591919,0.23279725015163422,0.3277236521244049,0.1870241016149521,0.3191395103931427,0.4939079284667969,0.18022282421588898,0.20148134231567383,0.3498816192150116,0.29011455178260803,0.30751273036003113,0.2412128895521164
to,0.42656609416007996,0.39673250913619995,0.18029534816741943,1.0,0.36650484800338745,0.23310686647891998,0.36524343490600586,0.535392165184021,0.20192374289035797,0.41548454761505127,0.20284001529216766,0.29463258385658264
the,0.3733934462070465,0.25750473141670227,0.1759674996137619,0.535392165184021,0.1966347098350525,0.1939574033021927,0.457212895154953,1.0,0.263973206281662,0.733189046382904,0.31221258640289307,0.22068053483963013
priesthood,0.318356454372406,0.1839166283607483,0.27669933438301086,0.2506139576435089,0.32575327157974243,0.4521041214466095,0.14999797940254211,0.2826952636241913,0.22131653130054474,0.2815867066383362,0.23262429237365723,0.17457331717014313
",",0.3365725874900818,0.2717181444168091,0.23255878686904907,0.44245919585227966,0.22192275524139404,0.23964712023735046,0.38314947485923767,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.23876431584358215,0.31091248989105225
and,0.41279885172843933,0.23287659883499146,0.20796556770801544,0.48971283435821533,0.27376773953437805,0.22933346033096313,0.3571503460407257,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.2583361864089966,0.20544172823429108
in,0.2792111933231354,0.1718822419643402,0.20523880422115326,0.45010748505592346,0.23312166333198547,0.23190923035144806,0.4374977946281433,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.2511049211025238,0.20430970191955566
1508,-0.06860674172639847,-0.03204848989844322,-0.043351780623197556,-0.006584841292351484,-0.06815500557422638,-0.012864921241998672,0.08002221584320068,0.041235122829675674,0.024757932871580124,0.0318080335855484,-0.12640099227428436,0.005418457556515932
