,what,are,the,three,most,abundent,elements,of,the,universe,by,mass,?
it,0.45803478360176086,0.3617996573448181,0.6251175999641418,0.27537038922309875,0.4001435935497284,0.24006442725658417,0.2618464529514313,0.38761502504348755,0.6251175999641418,0.1920173615217209,0.40926623344421387,0.2043604701757431,0.25732165575027466
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.23072560131549835,0.41165053844451904,0.2530495524406433,0.25405067205429077,0.4854315221309662,0.5823672413825989,0.22245483100414276,0.3899846076965332,0.21063528954982758,0.22961433231830597
a,0.3320399522781372,0.265255331993103,0.5829201340675354,0.3025658130645752,0.3508910834789276,0.2428262084722519,0.2716076672077179,0.5052502155303955,0.5829201340675354,0.16387277841567993,0.32094135880470276,0.21558082103729248,0.23916715383529663
member,0.09932345896959305,0.16299262642860413,0.2806392312049866,0.15628419816493988,0.23000644147396088,0.2985650300979614,0.13709555566310883,0.2701796889305115,0.2806392312049866,0.12052389234304428,0.14692413806915283,0.1330331265926361,0.06826172769069672
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.3844621181488037,0.4178851246833801,0.2881145775318146,0.23613712191581726,1.0,0.733189046382904,0.2241278737783432,0.3646814823150635,0.26915112137794495,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.43452659249305725,0.47635307908058167,0.30475324392318726,0.22297804057598114,0.733189046382904,1.0,0.23688684403896332,0.4408751428127289,0.2284930944442749,0.22068053483963013
chalcogen,0.26880156993865967,0.260720819234848,0.34790006279945374,0.23708225786685944,0.23166005313396454,0.3301893174648285,0.34186509251594543,0.34697645902633667,0.34790006279945374,0.27527859807014465,0.287975937128067,0.2820014953613281,0.2721256911754608
group,0.2114069163799286,0.35980498790740967,0.30795547366142273,0.27374130487442017,0.28064751625061035,0.2733384370803833,0.2695121467113495,0.25542253255844116,0.30795547366142273,0.15187996625900269,0.2915726900100708,0.24433372914791107,0.13827809691429138
on,0.34226128458976746,0.268924742937088,0.5107308030128479,0.2742598354816437,0.28303956985473633,0.23219457268714905,0.17918545007705688,0.3966929316520691,0.5107308030128479,0.13270847499370575,0.33887791633605957,0.18456357717514038,0.2714994251728058
the,0.42745697498321533,0.40399202704429626,1.0,0.43452659249305725,0.47635307908058167,0.30475324392318726,0.22297804057598114,0.733189046382904,1.0,0.23688684403896332,0.4408751428127289,0.2284930944442749,0.22068053483963013
periodic,0.19760970771312714,0.22126105427742004,0.19889336824417114,0.16845183074474335,0.2356797158718109,0.32329994440078735,0.5423126816749573,0.19135160744190216,0.19889336824417114,0.28988224267959595,0.17884647846221924,0.3060450851917267,0.18325947225093842
