,how,did,trying,to,establish,a,devolved,scottish,assembly,go,in,1979,?
the,0.33890387415885925,0.34736719727516174,0.2930695712566376,0.535392165184021,0.31343501806259155,0.5829201340675354,0.39628729224205017,0.21724988520145416,0.2524827718734741,0.29801803827285767,0.6662389636039734,0.3323744237422943,0.22068053483963013
1979,0.15030308067798615,0.12377073615789413,0.10701263695955276,0.260578453540802,0.06873840093612671,0.18405361473560333,0.20851023495197296,0.07792522013187408,0.11072389781475067,0.030667651444673538,0.26264503598213196,1.0000001192092896,0.09159877151250839
scottish,0.10600311309099197,0.1726994663476944,0.16520513594150543,0.1268421709537506,0.13648061454296112,0.18544672429561615,0.3193187713623047,1.0000001192092896,0.14503487944602966,0.10711311548948288,0.16512006521224976,0.07792522013187408,0.06442669779062271
devolution,0.2520914375782013,0.2190892994403839,0.1743105947971344,0.23324759304523468,0.2980906367301941,0.2797031104564667,0.5707212090492249,0.24549351632595062,0.3628072440624237,0.09038224071264267,0.3030261993408203,0.20505625009536743,0.21433620154857635
referendum,0.16026277840137482,0.19246472418308258,0.16477885842323303,0.25115063786506653,0.2838036119937897,0.21418535709381104,0.38743284344673157,0.2995991110801697,0.3960765302181244,0.13669228553771973,0.28181248903274536,0.14795704185962677,0.18056513369083405
to,0.44169697165489197,0.4452643394470215,0.5021223425865173,1.0,0.32019129395484924,0.45503583550453186,0.2682676613330841,0.1268421709537506,0.19874803721904755,0.384844571352005,0.45010748505592346,0.260578453540802,0.29463258385658264
establish,0.19256964325904846,0.26464948058128357,0.29664838314056396,0.32019129395484924,1.0,0.22806213796138763,0.32726678252220154,0.13648061454296112,0.19487152993679047,0.22586703300476074,0.25682297348976135,0.06873840093612671,0.21678102016448975
a,0.29312583804130554,0.2552328109741211,0.3045077919960022,0.45503583550453186,0.22806213796138763,1.0,0.325216144323349,0.18544672429561615,0.21305732429027557,0.24019409716129303,0.539380669593811,0.18405361473560333,0.23916715383529663
devolved,0.210662841796875,0.25931504368782043,0.25224819779396057,0.2682676613330841,0.32726678252220154,0.325216144323349,0.9999999403953552,0.3193187713623047,0.43003296852111816,0.20143119990825653,0.31779801845550537,0.20851023495197296,0.1570919156074524
scottish,0.10600311309099197,0.1726994663476944,0.16520513594150543,0.1268421709537506,0.13648061454296112,0.18544672429561615,0.3193187713623047,1.0000001192092896,0.14503487944602966,0.10711311548948288,0.16512006521224976,0.07792522013187408,0.06442669779062271
assembly,0.11779691278934479,0.13346484303474426,0.0741499587893486,0.19874803721904755,0.19487152993679047,0.21305732429027557,0.43003296852111816,0.14503487944602966,1.0000001192092896,0.05599096044898033,0.2425609529018402,0.11072389781475067,0.1488889455795288
failed,0.24040576815605164,0.5037672519683838,0.45185399055480957,0.4406343400478363,0.3274613916873932,0.26673170924186707,0.25929948687553406,0.1568734049797058,0.17859934270381927,0.249272882938385,0.21989236772060394,0.0906061977148056,0.16487033665180206
.,0.3287222981452942,0.35288307070732117,0.3029857277870178,0.4645031690597534,0.2126183956861496,0.50484299659729,0.31542083621025085,0.20125295221805573,0.21666362881660461,0.3313661813735962,0.5591574311256409,0.21473710238933563,0.4130953550338745
