,what,third,type,of,plea,uses,creative,words,?
one,0.376489520072937,0.3961576819419861,0.2377735823392868,0.4999135136604309,0.15266552567481995,0.2600474953651428,0.23661766946315765,0.289148211479187,0.2673267424106598
defendant,0.33768510818481445,0.16574537754058838,0.14610184729099274,0.17805923521518707,0.39370545744895935,0.16088418662548065,0.1890958547592163,0.20395523309707642,0.2867807447910309
accused,0.21892262995243073,0.10320194810628891,0.08674629032611847,0.2089134156703949,0.3849213719367981,0.1227722242474556,0.15627165138721466,0.1309441477060318,0.20364795625209808
of,0.33290785551071167,0.30602210760116577,0.18112817406654358,1.0,0.12213211506605148,0.2738003432750702,0.25801882147789,0.26259833574295044,0.1826142966747284
illegally,0.22521759569644928,0.14729183912277222,0.11004795134067535,0.17653046548366547,0.18443700671195984,0.16483837366104126,0.1452750861644745,0.14648814499378204,0.13064832985401154
protesting,0.24315145611763,0.18156886100769043,0.0941239669919014,0.31025201082229614,0.2623583674430847,0.1390799582004547,0.09494805335998535,0.11863555759191513,0.19058556854724884
nuclear,0.23862333595752716,0.1575353443622589,0.14294838905334473,0.2591283917427063,0.18301813304424286,0.2121431827545166,0.12828439474105835,0.06270095705986023,0.1865687519311905
power,0.22216427326202393,0.23624539375305176,0.09106644988059998,0.25273123383522034,0.18551674485206604,0.2407778948545456,0.1684601604938507,0.15634320676326752,0.15304024517536163
",",0.3087472915649414,0.283071368932724,0.1804078221321106,0.4946078956127167,0.21992337703704834,0.28387847542762756,0.21602694690227509,0.2805471420288086,0.31091248989105225
when,0.4700249433517456,0.23858320713043213,0.17292563617229462,0.3757161796092987,0.22668424248695374,0.2934924066066742,0.1474859118461609,0.30397534370422363,0.22841128706932068
asked,0.3468177318572998,0.13575483858585358,0.10650105029344559,0.20290979743003845,0.29208844900131226,0.18377923965454102,0.22036181390285492,0.22670015692710876,0.28475281596183777
to,0.455847829580307,0.2795414924621582,0.19930607080459595,0.41548454761505127,0.24961312115192413,0.3010925054550171,0.27673864364624023,0.31468597054481506,0.29463258385658264
enter,0.2278345823287964,0.21044453978538513,0.2041393220424652,0.23793351650238037,0.18971571326255798,0.14710979163646698,0.11228448897600174,0.18466554582118988,0.11047764122486115
his,0.26976513862609863,0.23086775839328766,0.0908033698797226,0.38364991545677185,0.2771517336368561,0.1790584921836853,0.2787231504917145,0.2386544793844223,0.18075084686279297
plea,0.26929304003715515,0.1694290041923523,0.07549217343330383,0.12213211506605148,1.0000001192092896,0.04000041261315346,0.1481475532054901,0.1098271831870079,0.25167709589004517
",",0.3087472915649414,0.283071368932724,0.1804078221321106,0.4946078956127167,0.21992337703704834,0.28387847542762756,0.21602694690227509,0.2805471420288086,0.31091248989105225
stated,0.3668954074382782,0.16835668683052063,0.08195409923791885,0.22148488461971283,0.2584945261478424,0.16177013516426086,0.30408409237861633,0.27178439497947693,0.24280361831188202
",",0.3087472915649414,0.283071368932724,0.1804078221321106,0.4946078956127167,0.21992337703704834,0.28387847542762756,0.21602694690227509,0.2805471420288086,0.31091248989105225
``,0.008517155423760414,0.04341840744018555,0.03534303233027458,0.06780257821083069,0.0052652740851044655,0.07921067625284195,-0.08694133162498474,0.14403259754180908,0.0685480609536171
i,0.4411132335662842,0.19636546075344086,0.08881277590990067,0.25849398970603943,0.29752856492996216,0.10093460232019424,0.1866614818572998,0.2945178747177124,0.4695145785808563
plead,0.2829829156398773,0.1314583569765091,0.05156359449028969,0.1669377088546753,0.771485447883606,0.07207416743040085,0.16594086587429047,0.13754060864448547,0.23760166764259338
for,0.3017193675041199,0.2187870591878891,0.20848464965820312,0.4185989499092102,0.16757026314735413,0.39873167872428894,0.33405324816703796,0.2911047637462616,0.264628142118454
the,0.42745697498321533,0.4229298532009125,0.21819381415843964,0.733189046382904,0.19232803583145142,0.2830192744731903,0.1688297688961029,0.29205581545829773,0.22068053483963013
beauty,0.2131965607404709,0.1513313353061676,0.07554451376199722,0.2201295793056488,0.18396276235580444,0.12773674726486206,0.23542842268943787,0.15327517688274384,0.1869111955165863
that,0.6297725439071655,0.23549747467041016,0.25817251205444336,0.41498205065727234,0.25236275792121887,0.31664198637008667,0.2744285762310028,0.3719562590122223,0.32716336846351624
surrounds,0.11454788595438004,0.15846550464630127,0.12008025497198105,0.34442681074142456,0.05636834353208542,0.18094255030155182,0.08628248423337936,0.16255246102809906,-0.03223498910665512
us,0.32081687450408936,0.17688730359077454,0.1764208972454071,0.23568789660930634,0.19954246282577515,0.19675537943840027,0.179005965590477,0.171367809176445,0.2742428481578827
'',0.08143015950918198,-0.003199114231392741,0.054222505539655685,0.13035868108272552,-0.06017336994409561,0.026499738916754723,0.04885755479335785,0.01894891820847988,0.018684765323996544
;,0.10986888408660889,0.03983625769615173,-0.004756918177008629,0.054534342139959335,-0.051482997834682465,0.06941033154726028,-0.021905623376369476,0.045948248356580734,0.10349778085947037
this,0.5489566326141357,0.3156605660915375,0.36936521530151367,0.45148900151252747,0.2644844055175781,0.30266672372817993,0.2182975709438324,0.3386327624320984,0.3155723512172699
is,0.28837618231773376,0.31551501154899597,0.3053323030471802,0.4854315221309662,0.1474817395210266,0.41359779238700867,0.17856445908546448,0.2681862413883209,0.22961433231830597
known,0.20381177961826324,0.24173177778720856,0.15942366421222687,0.35814476013183594,0.08420518785715103,0.267107754945755,0.19848398864269257,0.14943170547485352,0.18314571678638458
as,0.31749409437179565,0.19291457533836365,0.19307732582092285,0.3886612355709076,0.13612988591194153,0.25049033761024475,0.17981693148612976,0.2402321696281433,0.27043893933296204
a,0.3320399522781372,0.35260438919067383,0.3813284635543823,0.5052502155303955,0.16599608957767487,0.35566505789756775,0.20846913754940033,0.32116660475730896,0.23916715383529663
