,who,was,the,commissioner,of,the,nfl,in,2012,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.25561144948005676,0.5696388483047485,0.6662389636039734,0.12599408626556396,1.0,0.3800647258758545,0.20430970191955566
early,0.23985694348812103,0.4148794412612915,0.34442198276519775,0.14156143367290497,0.30937549471855164,0.34442198276519775,0.10286319255828857,0.34672921895980835,0.21547788381576538,0.15272949635982513
2012,0.23490679264068604,0.2899843454360962,0.46885523200035095,0.17070372402668,0.4422316551208496,0.46885523200035095,0.10287706553936005,0.3800647258758545,1.0,0.18042556941509247
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23213201761245728,0.4946078956127167,0.4933079481124878,0.18939071893692017,0.5201468467712402,0.42079734802246094,0.31091248989105225
nfl,0.13425186276435852,0.20145657658576965,0.15305201709270477,0.26866310834884644,0.1524115800857544,0.15305201709270477,1.0,0.12599408626556396,0.10287706553936005,0.10610254108905792
commissioner,0.23451058566570282,0.3285019099712372,0.25271227955818176,1.0000001192092896,0.233353391289711,0.25271227955818176,0.26866310834884644,0.25561144948005676,0.17070372402668,0.1209191158413887
roger,0.252828449010849,0.26313790678977966,0.1998666524887085,0.22977811098098755,0.19189049303531647,0.1998666524887085,0.13967666029930115,0.16691862046718597,0.12509238719940186,0.0969553217291832
goodell,0.2778538167476654,0.3513367474079132,0.2954566180706024,0.4120275378227234,0.2612045705318451,0.2954566180706024,0.34426531195640564,0.3220403790473938,0.16313982009887695,0.18825720250606537
stated,0.25916561484336853,0.33307945728302,0.2814950942993164,0.22937007248401642,0.22148488461971283,0.2814950942993164,0.17967255413532257,0.24313503503799438,0.12458916753530502,0.24280361831188202
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.18016722798347473,0.41498205065727234,0.5473989248275757,0.15213505923748016,0.435920387506485,0.32257330417633057,0.32716336846351624
the,0.3733934462070465,0.48711544275283813,1.0,0.25271227955818176,0.733189046382904,1.0,0.15305201709270477,0.6662389636039734,0.46885523200035095,0.22068053483963013
league,0.2161521464586258,0.21425791084766388,0.2724147439002991,0.32959142327308655,0.23588460683822632,0.2724147439002991,0.3908804953098297,0.22963495552539825,0.2448122352361679,0.15941482782363892
planned,0.189250648021698,0.3590250015258789,0.3010992109775543,0.20996451377868652,0.2487981617450714,0.3010992109775543,0.11800064891576767,0.2658644914627075,0.21256722509860992,0.16188396513462067
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.21615050733089447,0.41548454761505127,0.535392165184021,0.1526731252670288,0.45010748505592346,0.32762008905410767,0.29463258385658264
make,0.28430092334747314,0.20205417275428772,0.3146495521068573,0.1660543978214264,0.2912110388278961,0.3146495521068573,0.15523679554462433,0.268858402967453,0.23550547659397125,0.28314751386642456
the,0.3733934462070465,0.48711544275283813,1.0,0.25271227955818176,0.733189046382904,1.0,0.15305201709270477,0.6662389636039734,0.46885523200035095,0.22068053483963013
50th,0.009327351115643978,0.17689552903175354,0.19595111906528473,0.03502976521849632,0.11716882884502411,0.19595111906528473,0.1160515546798706,0.11835864186286926,0.16353532671928406,0.004919986240565777
super,0.1819351613521576,0.21420986950397491,0.21959073841571808,0.162574902176857,0.14718765020370483,0.21959073841571808,0.319060355424881,0.18576006591320038,0.19708658754825592,0.166326642036438
bowl,0.09189514070749283,0.21915455162525177,0.21576224267482758,0.17646083235740662,0.2243070751428604,0.21576224267482758,0.48354101181030273,0.17236235737800598,0.1755882352590561,0.21118052303791046
``,0.02397952415049076,-0.012679691426455975,0.029072100296616554,-0.02414378896355629,0.06780257821083069,0.029072100296616554,0.06351951509714127,0.04765888676047325,0.1563650369644165,0.0685480609536171
spectacular,0.1632232367992401,0.2245292216539383,0.3252345323562622,0.13528044521808624,0.24861674010753632,0.3252345323562622,0.20618118345737457,0.26685625314712524,0.2817775011062622,0.14826124906539917
'',0.024401003494858742,0.04456103965640068,0.041273195296525955,-0.006760009564459324,0.13035868108272552,0.041273195296525955,-0.027741191908717155,0.07432962208986282,0.05186492204666138,0.018684765323996544
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.26343652606010437,0.5116966962814331,0.5171257257461548,0.2080700695514679,0.4954058527946472,0.38536936044692993,0.20544172823429108
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.18016722798347473,0.41498205065727234,0.5473989248275757,0.15213505923748016,0.435920387506485,0.32257330417633057,0.32716336846351624
it,0.2868398427963257,0.4577186405658722,0.6251175999641418,0.19621670246124268,0.38761502504348755,0.6251175999641418,0.11547107994556427,0.5130809545516968,0.3947283923625946,0.25732165575027466
would,0.3632977604866028,0.41663143038749695,0.4133751392364502,0.21825768053531647,0.3353942930698395,0.4133751392364502,0.16166402399539948,0.30461156368255615,0.2782992422580719,0.37178951501846313
be,0.3371641933917999,0.42228707671165466,0.4248143136501312,0.1837872862815857,0.33904364705085754,0.4248143136501312,0.12418080866336823,0.3481820821762085,0.2715093493461609,0.3324260413646698
``,0.02397952415049076,-0.012679691426455975,0.029072100296616554,-0.02414378896355629,0.06780257821083069,0.029072100296616554,0.06351951509714127,0.04765888676047325,0.1563650369644165,0.0685480609536171
an,0.2848317325115204,0.3694365322589874,0.4207492768764496,0.15447744727134705,0.32280945777893066,0.4207492768764496,0.05365698039531708,0.2605783939361572,0.26610231399536133,0.19793890416622162
