,when,was,this,edict,declared,?
they,0.5090266466140747,0.3300964832305908,0.4273154139518738,0.19279839098453522,0.18417879939079285,0.2753053903579712
retained,0.22565682232379913,0.28949645161628723,0.2610626220703125,0.17546136677265167,0.39460599422454834,0.0590956024825573
the,0.5091903209686279,0.48711544275283813,0.6274310946464539,0.17931364476680756,0.260531485080719,0.22068053483963013
religious,0.16523101925849915,0.20851445198059082,0.2454339861869812,0.3027225136756897,0.2396364063024521,0.15727058053016663
provisions,0.23831704258918762,0.2492949366569519,0.28287479281425476,0.3118806481361389,0.2990913689136505,0.22902937233448029
of,0.3757161796092987,0.4069072902202606,0.45148900151252747,0.2533416450023651,0.27392512559890747,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.6274310946464539,0.17931364476680756,0.260531485080719,0.22068053483963013
edict,0.22003233432769775,0.20409467816352844,0.2323581576347351,0.9999999403953552,0.3098209500312805,0.16218337416648865
of,0.3757161796092987,0.4069072902202606,0.45148900151252747,0.2533416450023651,0.27392512559890747,0.1826142966747284
nantes,0.17704027891159058,0.222469300031662,0.197783425450325,0.34621894359588623,0.16438822448253632,0.15215469896793365
until,0.494509756565094,0.43126991391181946,0.27892377972602844,0.18079978227615356,0.33101439476013184,0.20304496586322784
the,0.5091903209686279,0.48711544275283813,0.6274310946464539,0.17931364476680756,0.260531485080719,0.22068053483963013
rule,0.28752797842025757,0.19895824790000916,0.31583675742149353,0.2918812930583954,0.27585458755493164,0.1955260932445526
of,0.3757161796092987,0.4069072902202606,0.45148900151252747,0.2533416450023651,0.27392512559890747,0.1826142966747284
louis,0.18932022154331207,0.28063738346099854,0.16314831376075745,0.2982245087623596,0.17630814015865326,0.09819188714027405
xiv,0.21460728347301483,0.2787119150161743,0.2051803469657898,0.4170506000518799,0.15000568330287933,0.19533176720142365
",",0.36674630641937256,0.45456063747406006,0.4316047728061676,0.14357776939868927,0.2511547803878784,0.31091248989105225
who,0.48282691836357117,0.3318818509578705,0.3345087468624115,0.20340287685394287,0.1618698090314865,0.26220351457595825
progressively,0.28042441606521606,0.19644367694854736,0.27904826402664185,0.11325305700302124,0.0657239556312561,0.11113753914833069
increased,0.27145320177078247,0.23245969414710999,0.30607330799102783,0.22546669840812683,0.21770422160625458,0.09587585180997849
persecution,0.2442597597837448,0.22720639407634735,0.28924643993377686,0.4481508433818817,0.30494460463523865,0.16299931704998016
of,0.3757161796092987,0.4069072902202606,0.45148900151252747,0.2533416450023651,0.27392512559890747,0.1826142966747284
them,0.4773717522621155,0.23709723353385925,0.5015315413475037,0.22513630986213684,0.14176049828529358,0.35435691475868225
