,what,was,the,ratio,of,men,to,women,at,harvard/radcliffe,?
nonetheless,0.368646502494812,0.18911251425743103,0.3056115508079529,0.1720099151134491,0.2506859302520752,0.19488224387168884,0.37628138065338135,0.17508654296398163,0.24586236476898193,0.17636016011238098,0.22137337923049927
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20825648307800293,0.4946078956127167,0.2249656766653061,0.44245919585227966,0.18865817785263062,0.38314947485923767,0.33802539110183716,0.31091248989105225
harvard,0.2177114188671112,0.2415156066417694,0.24496200680732727,0.10830944776535034,0.25842633843421936,0.09608174860477448,0.2043667882680893,0.10332894325256348,0.2837338149547577,0.7387766242027283,0.11685016006231308
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.05708426609635353,-0.03817026689648628,0.01802987791597843,0.03782717138528824,0.012937425635755062,-0.08481216430664062,-0.00018511734378989786,-0.023395681753754616
undergraduate,0.1996101438999176,0.20928749442100525,0.20609073340892792,0.14117972552776337,0.26330024003982544,0.24055086076259613,0.20790506899356842,0.27450037002563477,0.25196757912635803,0.4758683145046234,0.1531745046377182
population,0.2000674307346344,0.1935066133737564,0.32044094800949097,0.25022029876708984,0.3060894012451172,0.22019024193286896,0.19776633381843567,0.26261842250823975,0.15945716202259064,0.20732174813747406,0.14449454843997955
remained,0.1733817607164383,0.49345076084136963,0.3492392301559448,0.062021564692258835,0.35287612676620483,0.22708925604820251,0.22385163605213165,0.16527070105075836,0.23606275022029877,0.23504024744033813,0.08263323456048965
predominantly,0.21401430666446686,0.21522536873817444,0.3429192900657654,0.12476146966218948,0.2868182361125946,0.19903108477592468,0.22265128791332245,0.17633450031280518,0.09091513603925705,0.2027563601732254,0.06528439372777939
male,0.18103918433189392,0.14716564118862152,0.2487100213766098,0.22693464159965515,0.22521720826625824,0.3379872143268585,0.2270790934562683,0.32740408182144165,0.16826947033405304,0.22040213644504547,0.14269542694091797
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20825648307800293,0.4946078956127167,0.2249656766653061,0.44245919585227966,0.18865817785263062,0.38314947485923767,0.33802539110183716,0.31091248989105225
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.1833934336900711,0.41827285289764404,0.19568398594856262,0.4239959120750427,0.1728040874004364,0.29126521944999695,0.21977096796035767,0.2433311939239502
about,0.47976887226104736,0.2577359974384308,0.37995871901512146,0.18751733005046844,0.40939709544181824,0.2406320571899414,0.391953706741333,0.20310282707214355,0.3110121488571167,0.19083404541015625,0.302409827709198
four,0.18057085573673248,0.2866098880767822,0.40344667434692383,0.11742450296878815,0.36293646693229675,0.2126728743314743,0.2803118824958801,0.19634845852851868,0.24268823862075806,0.2570650577545166,0.14532537758350372
men,0.18620994687080383,0.24763761460781097,0.26001617312431335,0.18268334865570068,0.2133621722459793,1.0,0.24045762419700623,0.7021679878234863,0.2448287159204483,0.21394380927085876,0.1408759206533432
attending,0.1941373348236084,0.30713674426078796,0.3202296495437622,0.13180691003799438,0.3117976486682892,0.26708289980888367,0.34035617113113403,0.24941672384738922,0.4267556667327881,0.3672344982624054,0.1272081732749939
harvard,0.2177114188671112,0.2415156066417694,0.24496200680732727,0.10830944776535034,0.25842633843421936,0.09608174860477448,0.2043667882680893,0.10332894325256348,0.2837338149547577,0.7387766242027283,0.11685016006231308
college,0.20568516850471497,0.275774210691452,0.19751401245594025,0.11809206008911133,0.2384195327758789,0.24980390071868896,0.21170179545879364,0.2570931911468506,0.2688989043235779,0.452607661485672,0.11076676845550537
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.2172289341688156,0.4185989499092102,0.25245723128318787,0.4451248347759247,0.255394846200943,0.34237727522850037,0.2037946730852127,0.264628142118454
every,0.30284011363983154,0.23630550503730774,0.4023689329624176,0.19196829199790955,0.3414052724838257,0.22678831219673157,0.3643300235271454,0.2142001837491989,0.3021482229232788,0.1890871822834015,0.24066033959388733
woman,0.2136753350496292,0.2959340214729309,0.2831476032733917,0.051513586193323135,0.23774354159832,0.42992645502090454,0.2586885392665863,0.5619240403175354,0.12996608018875122,0.20780536532402039,0.22504617273807526
studying,0.3393959105014801,0.24193638563156128,0.24704718589782715,0.14129753410816193,0.2883101999759674,0.09727925062179565,0.3110249936580658,0.14147192239761353,0.26039913296699524,0.33782851696014404,0.14438828825950623
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.19806694984436035,0.42558613419532776,0.2448287159204483,0.36524343490600586,0.22969332337379456,1.0,0.2742648124694824,0.21978627145290375
radcliffe,0.1320628672838211,0.27603209018707275,0.22010628879070282,0.08986656367778778,0.2230839878320694,0.22496944665908813,0.18683163821697235,0.25713875889778137,0.1942010521888733,0.8682286739349365,0.06297651678323746
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24431298673152924,0.5352458953857422,0.25083568692207336,0.4645031690597534,0.2560822069644928,0.4549728035926819,0.30635881423950195,0.4130953550338745
