,where,can,the,treatise,be,found,?
this,0.4012809097766876,0.4006461203098297,0.6274310946464539,0.23140104115009308,0.566177248954773,0.23419983685016632,0.3155723512172699
treatise,0.19555313885211945,0.16319380700588226,0.2190825194120407,1.0,0.22509270906448364,0.22308483719825745,0.1367369443178177
is,0.3586711287498474,0.44256699085235596,0.5823672413825989,0.23290309309959412,0.4819129705429077,0.3526395261287689,0.22961433231830597
currently,0.31739169359207153,0.2104155421257019,0.2945235073566437,0.05925670266151428,0.2379274219274521,0.16874836385250092,0.1861555278301239
in,0.5344807505607605,0.26527702808380127,0.6662389636039734,0.2061883807182312,0.3481820821762085,0.39141854643821716,0.20430970191955566
the,0.5003893971443176,0.312528520822525,1.0,0.2190825194120407,0.4248143136501312,0.3452354073524475,0.22068053483963013
nikola,0.12770186364650726,0.11326063424348831,0.1146918535232544,0.13372720777988434,0.12545478343963623,0.029819319024682045,0.06297405064105988
tesla,0.12761090695858002,0.19812452793121338,0.1324402391910553,0.22555430233478546,0.15180771052837372,0.052854783833026886,0.10250775516033173
museum,0.17054861783981323,0.09301101416349411,0.24861779808998108,0.22988899052143097,0.1328076720237732,0.1381998509168625,0.14128351211547852
archive,0.14548717439174652,0.10926491022109985,0.20227214694023132,0.1561950147151947,0.15779927372932434,0.1328452080488205,0.2456444799900055
in,0.5344807505607605,0.26527702808380127,0.6662389636039734,0.2061883807182312,0.3481820821762085,0.39141854643821716,0.20430970191955566
belgrade,0.1799953132867813,0.1569211483001709,0.18801841139793396,0.12321622669696808,0.10333770513534546,0.08333831280469894,0.10098983347415924
.,0.41390106081962585,0.35783761739730835,0.5934505462646484,0.1687270700931549,0.4383580684661865,0.3618174195289612,0.4130953550338745
