,in,what,year,was,the,trial,of,rev,.,jimmy,creech,?
jimmy,0.19414068758487701,0.15440665185451508,0.16989007592201233,0.22646257281303406,0.20836526155471802,0.12589223682880402,0.14724019169807434,0.14070521295070648,0.2199706733226776,1.0000001192092896,0.17437107861042023,0.1695522665977478
creech,0.21051856875419617,0.1524883210659027,0.0782511830329895,0.14780230820178986,0.22516721487045288,0.13884788751602173,0.19915561378002167,0.18726247549057007,0.2381988912820816,0.17437107861042023,0.9999998807907104,0.1570383906364441
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.2414487898349762,0.4069072902202606,0.16031458973884583,0.40146201848983765,0.22646257281303406,0.14780230820178986,0.18412111699581146
defrocked,0.2665156424045563,0.33542224764823914,0.2693496346473694,0.3359539210796356,0.3248755633831024,0.27489450573921204,0.2488928586244583,0.1357347071170807,0.3225654363632202,0.26444998383522034,0.21254651248455048,0.27007365226745605
after,0.44050168991088867,0.21973377466201782,0.336445689201355,0.49306565523147583,0.4565047025680542,0.22895275056362152,0.3867455720901489,0.11566832661628723,0.35870397090911865,0.1320009082555771,0.13380418717861176,0.16608688235282898
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.24950183928012848,0.5052502155303955,0.1835968941450119,0.50484299659729,0.16089540719985962,0.1974962055683136,0.23916715383529663
highly,0.20217788219451904,0.22724121809005737,0.15353895723819733,0.2408236265182495,0.2051282376050949,0.18498343229293823,0.21906863152980804,0.0731712207198143,0.2621603310108185,0.07090241461992264,0.08339124917984009,0.1542806625366211
publicized,0.26262861490249634,0.2577330470085144,0.26336953043937683,0.3095797598361969,0.24207065999507904,0.34465518593788147,0.17606107890605927,0.12886272370815277,0.2559291422367096,0.2528786361217499,0.20183613896369934,0.2513439953327179
church,0.2493300437927246,0.1944202184677124,0.17190417647361755,0.24960921704769135,0.23846197128295898,0.17358002066612244,0.3079429268836975,0.19394844770431519,0.28898224234580994,0.1750509887933731,0.18828487396240234,0.18081501126289368
trial,0.22061339020729065,0.2327587604522705,0.1166781634092331,0.2414487898349762,0.20843634009361267,1.0000001192092896,0.18292099237442017,0.12971821427345276,0.2123202234506607,0.12589223682880402,0.13884788751602173,0.16902455687522888
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.22061339020729065,0.5696388483047485,0.1055281013250351,0.5591574311256409,0.19414068758487701,0.21051856875419617,0.20430970191955566
1999,-0.0026030326262116432,0.09112130105495453,0.06423642486333847,0.08547663688659668,0.06755080074071884,0.03612026199698448,0.06211002916097641,-0.0007526444387622178,0.037616800516843796,0.04547971114516258,-0.12843303382396698,0.05416720360517502
on,0.46853652596473694,0.34226128458976746,0.27628999948501587,0.3909217119216919,0.5107308030128479,0.2488742172718048,0.3966929316520691,0.1406116783618927,0.49257001280784607,0.22407884895801544,0.20230862498283386,0.2714994251728058
account,0.15171845257282257,0.27991923689842224,0.24264201521873474,0.23784546554088593,0.21117976307868958,0.19138863682746887,0.19751501083374023,0.12367221713066101,0.21396027505397797,0.21982763707637787,0.11685098707675934,0.34417325258255005
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.18292099237442017,1.0,0.15042157471179962,0.5352458953857422,0.14724019169807434,0.19915561378002167,0.1826142966747284
his,0.3598145842552185,0.26976513862609863,0.255428284406662,0.4405253231525421,0.4394008219242096,0.2509861886501312,0.38364991545677185,0.15277506411075592,0.3119256794452667,0.25157737731933594,0.23558998107910156,0.18075084686279297
participation,0.28335806727409363,0.2863762080669403,0.26358428597450256,0.23524223268032074,0.283233642578125,0.26641616225242615,0.23932480812072754,0.04496811330318451,0.2653924822807312,0.10850349813699722,0.1275966465473175,0.22573938965797424
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.22061339020729065,0.5696388483047485,0.1055281013250351,0.5591574311256409,0.19414068758487701,0.21051856875419617,0.20430970191955566
same-sex,0.3094196021556854,0.2764958441257477,0.275587797164917,0.300588458776474,0.3488786220550537,0.21999429166316986,0.29123005270957947,0.23127873241901398,0.293578565120697,0.2469906210899353,0.3140493333339691,0.2158789336681366
union,0.22726479172706604,0.1396910548210144,0.10956501960754395,0.23276571929454803,0.24421639740467072,0.12029111385345459,0.2642118036746979,0.12976832687854767,0.23708370327949524,0.12786994874477386,0.1782427579164505,0.07797172665596008
ceremonies,0.2212299257516861,0.15639090538024902,0.1869918555021286,0.21525731682777405,0.26092329621315,0.11499787122011185,0.23873528838157654,0.05422528460621834,0.18442977964878082,0.16802026331424713,0.1436384916305542,0.11834365129470825
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.2123202234506607,0.5352458953857422,0.22298374772071838,1.0000001192092896,0.2199706733226776,0.2381988912820816,0.4130953550338745
