,what,was,the,average,duty,of,a,low-pressure,watt,engine,?
watt,0.12468069046735764,0.20568017661571503,0.1903349757194519,0.21279846131801605,0.12552262842655182,0.21599632501602173,0.21096299588680267,0.2547823190689087,1.0,0.31998884677886963,0.16354146599769592
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.08544468134641647,0.002628088928759098,-0.03817026689648628,0.04866964742541313,0.050904057919979095,-0.022533712908625603,0.044662050902843475,-0.023395681753754616
original,0.24651947617530823,0.32203906774520874,0.4037000238895416,0.168006032705307,0.11681029200553894,0.30228546261787415,0.25438275933265686,0.13030873239040375,0.08895597606897354,0.1622026562690735,0.17256900668144226
low-pressure,0.2953507900238037,0.20768602192401886,0.30272209644317627,0.31823495030403137,0.21216322481632233,0.24957846105098724,0.2684987187385559,1.0,0.2547823190689087,0.2914577126502991,0.1984105110168457
designs,0.197528675198555,0.22685040533542633,0.2415979504585266,0.16697543859481812,0.14672434329986572,0.2253444343805313,0.22853662073612213,0.18432702124118805,0.2812643349170685,0.393808513879776,0.12927207350730896
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.17036251723766327,0.15432745218276978,0.34038281440734863,0.17203083634376526,0.2352650910615921,0.16919977962970734,0.164800226688385,0.17890112102031708
able,0.3404487371444702,0.19031302630901337,0.3435857892036438,0.19077496230602264,0.18106317520141602,0.23883962631225586,0.2874686121940613,0.21757912635803223,0.14945998787879944,0.16138514876365662,0.260649710893631
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.2572915256023407,0.2394949495792389,0.41548454761505127,0.45503583550453186,0.34145018458366394,0.18281418085098267,0.20794793963432312,0.29463258385658264
deliver,0.22175198793411255,0.14937306940555573,0.25501659512519836,0.1267053484916687,0.14403276145458221,0.18715758621692657,0.2722235321998596,0.17239752411842346,0.14085477590560913,0.25097858905792236,0.2061522901058197
duty,0.2920939326286316,0.21336720883846283,0.18581759929656982,0.1473771184682846,1.0000001192092896,0.19598819315433502,0.19311612844467163,0.21216322481632233,0.12552262842655182,0.1556289941072464,0.20404963195323944
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.1320570707321167,0.279935359954834,0.3886612355709076,0.39550232887268066,0.2608910799026489,0.2473362237215042,0.15144379436969757,0.27043893933296204
high,0.20466077327728271,0.19978567957878113,0.28034812211990356,0.22359821200370789,0.16662946343421936,0.2803038954734802,0.22865821421146393,0.366504430770874,0.16812117397785187,0.14603596925735474,0.11137914657592773
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.1320570707321167,0.279935359954834,0.3886612355709076,0.39550232887268066,0.2608910799026489,0.2473362237215042,0.15144379436969757,0.27043893933296204
25,0.12916474044322968,0.15615400671958923,0.1671934723854065,0.11143151670694351,0.30336037278175354,0.13541533052921295,0.12003126740455627,0.10469990968704224,0.06476018577814102,0.10748686641454697,0.09614268690347672
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.2824518382549286,0.17351524531841278,0.21686489880084991,0.1811940222978592,0.15731962025165558,0.16153624653816223,0.1050129309296608,0.23092924058437347
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23098047077655792,0.21993570029735565,0.4946078956127167,0.427140474319458,0.25589555501937866,0.18948227167129517,0.19789794087409973,0.31091248989105225
but,0.5029441118240356,0.36023372411727905,0.4859698414802551,0.19987721741199493,0.2197469174861908,0.39942997694015503,0.44750767946243286,0.29693830013275146,0.1835096776485443,0.22055119276046753,0.27921953797340393
averaged,0.19312341511249542,0.25390955805778503,0.2712770998477936,0.8704654574394226,0.1292233020067215,0.23448336124420166,0.21618133783340454,0.3057795763015747,0.2311219871044159,0.1373407244682312,0.1833282858133316
about,0.47976887226104736,0.2577359974384308,0.37995871901512146,0.3126908242702484,0.2079751193523407,0.40939709544181824,0.34171196818351746,0.2650505602359772,0.0966021716594696,0.10748759657144547,0.302409827709198
17,0.1129629984498024,0.06704052537679672,0.10537172853946686,0.28069376945495605,0.04423782229423523,0.12138522416353226,0.038237735629081726,0.11394858360290527,0.04679611325263977,0.06340545415878296,0.17603135108947754
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2717139422893524,0.20822225511074066,0.5352458953857422,0.50484299659729,0.2741644084453583,0.25756895542144775,0.21814921498298645,0.4130953550338745
