,what,position,does,demarcus,currently,play,?
pro,0.18814358115196228,0.22713883221149445,0.12437982112169266,0.22738131880760193,0.2251398116350174,0.11577048152685165,0.17645101249217987
bowl,0.15942467749118805,0.15528114140033722,0.11175493150949478,0.12913453578948975,0.09355533123016357,0.19427603483200073,0.21118052303791046
linebacker,0.15475627779960632,0.273834228515625,0.1636766493320465,0.25811171531677246,0.20133668184280396,0.309945672750473,0.15540370345115662
von,0.18003655970096588,0.12436593323945999,0.13313022255897522,0.27928435802459717,0.048387106508016586,0.10530675947666168,0.13907472789287567
miller,0.11267764866352081,0.06722284853458405,0.11542541533708572,0.32578328251838684,0.15140442550182343,0.25456202030181885,0.1295081228017807
led,0.12112844735383987,0.22426247596740723,0.163116917014122,0.21188896894454956,0.1288089156150818,0.10894020646810532,0.09273858368396759
the,0.42745697498321533,0.3183514177799225,0.35928019881248474,0.23321470618247986,0.2945235073566437,0.24793598055839539,0.22068053483963013
team,0.17632107436656952,0.14903536438941956,0.1199060007929802,0.17545491456985474,0.2737255096435547,0.3103903532028198,0.11243411153554916
with,0.2464839518070221,0.16771268844604492,0.26186925172805786,0.2439263015985489,0.2596642076969147,0.2415807843208313,0.2433311939239502
11,0.0032819851767271757,-0.11539451032876968,-0.004570623394101858,-0.02458834834396839,-0.00026444628019817173,0.01385832391679287,-0.04295448586344719
sacks,0.0888017937541008,0.16444434225559235,0.09027056396007538,0.26286032795906067,0.06365681439638138,0.17728741466999054,0.0761517658829689
",",0.3087472915649414,0.1771278828382492,0.28617382049560547,0.31048154830932617,0.33041635155677795,0.2231253683567047,0.31091248989105225
forced,0.2257918417453766,0.2000003457069397,0.2517431676387787,0.23898279666900635,0.13290473818778992,0.11229157447814941,0.17547516524791718
four,0.18057085573673248,0.1307547390460968,0.14431285858154297,0.15879090130329132,0.20947536826133728,0.24833904206752777,0.14532537758350372
fumbles,0.16688087582588196,0.2518150210380554,0.18650475144386292,0.31139031052589417,0.17076177895069122,0.2667146921157837,0.1826416552066803
",",0.3087472915649414,0.1771278828382492,0.28617382049560547,0.31048154830932617,0.33041635155677795,0.2231253683567047,0.31091248989105225
and,0.31309178471565247,0.22603030502796173,0.3461615741252899,0.2767511010169983,0.2922934591770172,0.25634777545928955,0.20544172823429108
recovered,0.1780729442834854,0.16621355712413788,0.11622012406587601,0.19037148356437683,0.1322392076253891,0.13591600954532623,0.08912046253681183
three,0.24888746440410614,0.14067575335502625,0.1872161626815796,0.1958131045103073,0.23972775042057037,0.2596930265426636,0.20928427577018738
.,0.3567904531955719,0.24342353641986847,0.3022993505001068,0.23234416544437408,0.29744869470596313,0.25552695989608765,0.4130953550338745
