,when,did,the,sarah,jane,series,begin,?
the,0.5091903209686279,0.34736719727516174,1.0,0.22388771176338196,0.18294748663902283,0.31376904249191284,0.34293439984321594,0.22068053483963013
sarah,0.161569282412529,0.16553393006324768,0.22388771176338196,1.0,0.4815041124820709,0.19363674521446228,0.1745612472295761,0.11216213554143906
jane,0.19664335250854492,0.2011299580335617,0.18294748663902283,0.4815041124820709,1.0,0.19996456801891327,0.1255870908498764,0.14947275817394257
adventures,0.23222917318344116,0.12355902045965195,0.2034815400838852,0.20791174471378326,0.2744247615337372,0.41444268822669983,0.14308331906795502,0.15214234590530396
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.25581565499305725,0.26553842425346375,0.24060699343681335,0.27304404973983765,0.31091248989105225
starring,0.2186328023672104,0.17879068851470947,0.2360517829656601,0.28548794984817505,0.23800379037857056,0.37459900975227356,0.14024388790130615,0.13022364675998688
elisabeth,0.1694754809141159,0.1525905728340149,0.18177981674671173,0.4168197214603424,0.34193795919418335,0.2187526822090149,0.0924968346953392,0.1804756224155426
sladen,0.20873206853866577,0.1728595793247223,0.2671704888343811,0.38417476415634155,0.3607955574989319,0.28294485807418823,0.19353073835372925,0.2075037658214569
who,0.48282691836357117,0.34038686752319336,0.3733934462070465,0.24870508909225464,0.21626175940036774,0.21484537422657013,0.1731032282114029,0.26220351457595825
reprised,0.18123748898506165,0.2520832121372223,0.19293852150440216,0.2987045347690582,0.30653977394104004,0.2272426038980484,0.19006283581256866,0.16869863867759705
her,0.3416576683521271,0.3056010603904724,0.354963481426239,0.43545520305633545,0.413967102766037,0.20402689278125763,0.2445455938577652,0.20310723781585693
role,0.2170606553554535,0.16237343847751617,0.26607486605644226,0.13365371525287628,0.13854831457138062,0.34679755568504333,0.20207464694976807,0.18676944077014923
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.1525762379169464,0.17059101164340973,0.2641415596008301,0.20308734476566315,0.27043893933296204
investigative,0.23401367664337158,0.19234806299209595,0.25286611914634705,0.21546570956707,0.21900181472301483,0.3067582845687866,0.1747336983680725,0.12169446796178818
journalist,0.15217937529087067,0.15346233546733856,0.1387142688035965,0.32730019092559814,0.2574690282344818,0.21143609285354614,0.0688789114356041,0.09252665191888809
sarah,0.161569282412529,0.16553393006324768,0.22388771176338196,1.0,0.4815041124820709,0.19363674521446228,0.1745612472295761,0.11216213554143906
jane,0.19664335250854492,0.2011299580335617,0.18294748663902283,0.4815041124820709,1.0,0.19996456801891327,0.1255870908498764,0.14947275817394257
smith,0.2326573133468628,0.1837799847126007,0.24611686170101166,0.30190718173980713,0.351829469203949,0.1771525889635086,0.17240358889102936,0.21930724382400513
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.25581565499305725,0.26553842425346375,0.24060699343681335,0.27304404973983765,0.31091248989105225
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.18989098072052002,0.20446321368217468,0.2261398285627365,0.17294162511825562,0.18412111699581146
developed,0.19180624186992645,0.24445466697216034,0.24490751326084137,0.051749955862760544,0.04293357580900192,0.13847491145133972,0.22215573489665985,0.10763012617826462
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.1223464086651802,0.16556662321090698,0.267352432012558,0.16351081430912018,0.17966607213020325
cbbc,0.2190971076488495,0.12052912265062332,0.23866426944732666,0.29293209314346313,0.2872343361377716,0.40128058195114136,0.13034337759017944,0.24381130933761597
;,0.022927695885300636,0.10727239400148392,0.09152708947658539,-0.060946378856897354,0.0500207394361496,0.029867203906178474,-0.0234913881868124,0.10349778085947037
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.16850237548351288,0.2211165726184845,0.23966510593891144,0.22845244407653809,0.23916715383529663
special,0.2383107990026474,0.20785176753997803,0.3027077615261078,0.09095727652311325,0.08043648302555084,0.25486889481544495,0.13640037178993225,0.29623302817344666
aired,0.19673508405685425,0.1378907710313797,0.2525516450405121,0.25332167744636536,0.226942241191864,0.5169695615768433,0.17337551712989807,0.22283338010311127
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.1480952799320221,0.18448223173618317,0.23828625679016113,0.2630721628665924,0.2714994251728058
new,0.257220059633255,0.227974995970726,0.3845241069793701,0.1717938482761383,0.2130597084760666,0.19748656451702118,0.23350173234939575,0.14782847464084625
year,0.3014719784259796,0.21422851085662842,0.3609684407711029,0.10964716225862503,0.08645780384540558,0.2600080966949463,0.27493274211883545,0.18315006792545319
's,-0.03368149697780609,0.05069678649306297,-0.01540423184633255,-0.005017406307160854,-0.030691923573613167,0.0006390819908119738,-0.07216574251651764,-0.023395681753754616
day,0.30730122327804565,0.20275387167930603,0.3062323033809662,0.2068660706281662,0.15699544548988342,0.16648201644420624,0.25158095359802246,0.2141837179660797
2007,-0.1582726538181305,-0.2447822093963623,-0.23657195270061493,-0.11700041592121124,-0.09647789597511292,-0.07742132991552353,-0.09799555689096451,-0.1664225310087204
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.20994961261749268,0.2783741056919098,0.26972857117652893,0.2599445581436157,0.20544172823429108
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.16850237548351288,0.2211165726184845,0.23966510593891144,0.22845244407653809,0.23916715383529663
full,0.2801515758037567,0.21422791481018066,0.2988807260990143,0.14565354585647583,0.09431374818086624,0.15071600675582886,0.24999842047691345,0.168479785323143
series,0.2194245308637619,0.15581852197647095,0.31376904249191284,0.19363674521446228,0.19996456801891327,1.0000001192092896,0.23442764580249786,0.1709602326154709
began,0.25673019886016846,0.4415510594844818,0.3059147596359253,0.20286054909229279,0.15140259265899658,0.2237756997346878,0.49711355566978455,0.1370266228914261
