,how,many,nfl,teams,have,gone,15-1,in,one,season,?
the,0.33890387415885925,0.4335206151008606,0.15305201709270477,0.3164927661418915,0.40389683842658997,0.295327752828598,0.18179646134376526,0.6662389636039734,0.5514441132545471,0.2507155239582062,0.22068053483963013
carolina,0.1482512354850769,0.12399670481681824,0.25462281703948975,0.2294551134109497,0.14125782251358032,0.18257667124271393,0.23832550644874573,0.2380082756280899,0.19012434780597687,0.2196287363767624,0.11847445368766785
panthers,0.1117783859372139,0.14744015038013458,0.4153780937194824,0.41004884243011475,0.2049359530210495,0.19184410572052002,0.1262941211462021,0.2115829735994339,0.227028489112854,0.3867887854576111,0.16608978807926178
became,0.10954522341489792,0.25642040371894836,0.1548083871603012,0.16736291348934174,0.16746708750724792,0.1818474531173706,0.14768581092357635,0.31047213077545166,0.3227209746837616,0.22485962510108948,0.11374033987522125
one,0.3213292360305786,0.4223630726337433,0.19273783266544342,0.30337628722190857,0.4507926106452942,0.2782314121723175,0.12775918841362,0.4129433035850525,1.0000001192092896,0.24332979321479797,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.1524115800857544,0.27933305501937866,0.3802283704280853,0.22952912747859955,0.19267389178276062,0.5696388483047485,0.4999135136604309,0.1598338931798935,0.1826142966747284
only,0.36590442061424255,0.4670507609844208,0.17798107862472534,0.2170780897140503,0.5199421048164368,0.32216840982437134,0.11193782836198807,0.42992329597473145,0.5699372291564941,0.23518846929073334,0.2767370045185089
ten,0.26821833848953247,0.340677946805954,0.1857432723045349,0.22380289435386658,0.28732630610466003,0.2007800042629242,0.14118075370788574,0.29515787959098816,0.45943936705589294,0.2591884732246399,0.14471080899238586
teams,0.11085164546966553,0.1992911547422409,0.35639065504074097,1.0,0.27656877040863037,0.18733778595924377,0.18377935886383057,0.2639528214931488,0.30337628722190857,0.44570213556289673,0.11150168627500534
to,0.44169697165489197,0.40243685245513916,0.1526731252670288,0.2634691894054413,0.4544740617275238,0.2740478217601776,0.11846543103456497,0.45010748505592346,0.4025384783744812,0.22382742166519165,0.29463258385658264
have,0.4370637536048889,0.5841760635375977,0.18029768764972687,0.27656877040863037,0.9999999403953552,0.349427729845047,0.1540241539478302,0.36843645572662354,0.4507926106452942,0.20235268771648407,0.32991164922714233
completed,0.2009071707725525,0.13555161654949188,0.2015712857246399,0.2166958600282669,0.16230647265911102,0.22826552391052246,0.17070633172988892,0.2960484027862549,0.23764380812644958,0.19156087934970856,0.08272653818130493
a,0.29312583804130554,0.2872205972671509,0.1210956797003746,0.21163642406463623,0.338716596364975,0.2558717131614685,0.19046682119369507,0.539380669593811,0.4910551905632019,0.1855505406856537,0.23916715383529663
regular,0.2358456701040268,0.31490984559059143,0.2313152551651001,0.3347216546535492,0.3675557076931,0.16243202984333038,0.07973146438598633,0.23172755539417267,0.3271937370300293,0.4002528786659241,0.18334713578224182
season,0.13036081194877625,0.14251810312271118,0.3929455280303955,0.44570213556289673,0.20235268771648407,0.19708803296089172,0.11033152788877487,0.2184021919965744,0.24332979321479797,1.0,0.16793298721313477
with,0.3525622487068176,0.35744401812553406,0.18521657586097717,0.20248530805110931,0.48046383261680603,0.18654115498065948,0.10393177717924118,0.4080928862094879,0.3855307400226593,0.26700887084007263,0.2433311939239502
