,who,was,the,scottish,geologist,that,named,mt,kenya,as,mt,kenia,?
an,0.2848317325115204,0.3694365322589874,0.4207492768764496,0.16270451247692108,0.20951208472251892,0.365763783454895,0.17417411506175995,0.113763228058815,0.1525012105703354,0.37218472361564636,0.113763228058815,0.12827324867248535,0.19793890416622162
1882,0.011001622304320335,-0.15778027474880219,-0.17908993363380432,0.008054313249886036,-0.038545768707990646,0.022698689252138138,-0.06456504017114639,-0.09570834785699844,-0.25290733575820923,-0.06312896311283112,-0.09570834785699844,-0.15553103387355804,0.08152727782726288
map,0.08047713339328766,0.1354881227016449,0.2702621817588806,0.11797283589839935,0.25270214676856995,0.20858244597911835,0.15629740059375763,0.18674370646476746,0.07553338259458542,0.10409917682409286,0.18674370646476746,0.13384030759334564,0.1548176109790802
drawn,0.18162788450717926,0.17940084636211395,0.2380581647157669,0.25311437249183655,0.07059097290039062,0.3134700357913971,0.10708202421665192,0.04339147359132767,0.04733207821846008,0.1958155632019043,0.04339147359132767,0.14297720789909363,0.15159106254577637
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.1562303602695465,0.14753025770187378,0.37496164441108704,0.30212631821632385,0.054782841354608536,0.1010202169418335,0.3815547823905945,0.054782841354608536,0.07332074642181396,0.17966607213020325
joseph,0.24207964539527893,0.29824966192245483,0.2251148819923401,0.1703556925058365,0.2966514825820923,0.1995091736316681,0.19217096269130707,0.1961679607629776,0.12391167134046555,0.1927168071269989,0.1961679607629776,0.11772047728300095,0.08421234786510468
thompsons,0.26090314984321594,0.29346954822540283,0.3301336169242859,0.21203605830669403,0.22368484735488892,0.2134973555803299,0.20383566617965698,0.1909559667110443,0.13395701348781586,0.25681179761886597,0.1909559667110443,0.13428644835948944,0.23368097841739655
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.21369139850139618,0.2268081158399582,0.4137537479400635,0.2530003488063812,0.19754783809185028,0.23432263731956482,0.48816442489624023,0.19754783809185028,0.27982914447784424,0.31091248989105225
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.18544672429561615,0.20888887345790863,0.47537946701049805,0.3292267918586731,0.14421065151691437,0.1701713502407074,0.39550232887268066,0.14421065151691437,0.21007922291755676,0.23916715383529663
scottish,0.27621203660964966,0.20229777693748474,0.21724988520145416,1.0000001192092896,0.30588892102241516,0.1999964714050293,0.1733829230070114,0.11046259105205536,0.17274518311023712,0.185140922665596,0.11046259105205536,0.18686023354530334,0.06442669779062271
geologist,0.24621933698654175,0.23755373060703278,0.19648471474647522,0.30588892102241516,0.9999998807907104,0.1609976887702942,0.30283617973327637,0.18904562294483185,0.22251124680042267,0.13615284860134125,0.18904562294483185,0.14963029325008392,0.16616028547286987
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.2972351908683777,0.1504916101694107,0.4731321930885315,0.23097854852676392,0.15510602295398712,0.20742860436439514,0.49487000703811646,0.15510602295398712,0.17793649435043335,0.20544172823429108
naturalist,0.26577502489089966,0.23472042381763458,0.16394029557704926,0.2836576998233795,0.589849591255188,0.17918385565280914,0.24667705595493317,0.09170534461736679,0.16562139987945557,0.18624255061149597,0.09170534461736679,0.15035726130008698,0.16083776950836182
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.21369139850139618,0.2268081158399582,0.4137537479400635,0.2530003488063812,0.19754783809185028,0.23432263731956482,0.48816442489624023,0.19754783809185028,0.27982914447784424,0.31091248989105225
indicated,0.1947280317544937,0.23311184346675873,0.2715122699737549,0.12211228907108307,0.11619558930397034,0.3914947509765625,0.19435368478298187,0.09126264601945877,0.15072482824325562,0.2815663814544678,0.09126264601945877,0.12476671487092972,0.20115208625793457
mt,0.1660967320203781,0.1592641919851303,0.1444755494594574,0.11046259105205536,0.18904562294483185,0.1451633721590042,0.20980210602283478,1.0000001192092896,0.27909889817237854,0.1216057538986206,1.0000001192092896,0.2728842794895172,0.15117552876472473
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.20125295221805573,0.2056465595960617,0.4460422694683075,0.24760639667510986,0.2182675153017044,0.24234211444854736,0.515582263469696,0.2182675153017044,0.25257986783981323,0.4130953550338745
