,when,was,warsaw,'s,first,stock,exchange,established,?
warsaw,0.1615014374256134,0.2614976763725281,1.0,0.02839025668799877,0.19408388435840607,0.14563030004501343,0.0812426209449768,0.16576151549816132,0.09769917279481888
's,-0.03368149697780609,0.008974763564765453,0.02839025668799877,0.9999999403953552,-0.014458609744906425,0.04237721487879753,0.03569260984659195,-0.05163693428039551,-0.023395681753754616
first,0.4282494783401489,0.5022147297859192,0.19408388435840607,-0.014458609744906425,1.0,0.19741539657115936,0.12892596423625946,0.2571922838687897,0.18701928853988647
stock,0.189175546169281,0.19506287574768066,0.14563030004501343,0.04237721487879753,0.19741539657115936,0.9999999403953552,0.4634912610054016,0.09653881192207336,0.14784406125545502
exchange,0.24425387382507324,0.15612690150737762,0.0812426209449768,0.03569260984659195,0.12892596423625946,0.4634912610054016,1.0000001192092896,0.14766983687877655,0.048212938010692596
was,0.37326499819755554,1.0000001192092896,0.2614976763725281,0.008974763564765453,0.5022147297859192,0.19506287574768066,0.15612690150737762,0.26515325903892517,0.18412111699581146
established,0.18169470131397247,0.26515325903892517,0.16576151549816132,-0.05163693428039551,0.2571922838687897,0.09653881192207336,0.14766983687877655,0.9999998807907104,0.15917523205280304
in,0.4431333839893341,0.45514053106307983,0.22642600536346436,-0.037580832839012146,0.4127444326877594,0.20128266513347626,0.21970009803771973,0.3118882477283478,0.20430970191955566
1817,-0.02197815664112568,0.008021552115678787,0.05584745481610298,-0.047233946621418,0.06466648727655411,0.007625216618180275,0.04415334388613701,-0.006483145523816347,0.026473285630345345
and,0.4716290831565857,0.3740963041782379,0.2083624005317688,0.06895173341035843,0.3167642652988434,0.1762690395116806,0.23130671679973602,0.2369968742132187,0.20544172823429108
continued,0.25224193930625916,0.40578481554985046,0.1507585197687149,0.02139776200056076,0.29918307065963745,0.12222246080636978,0.07959400862455368,0.2575501799583435,0.10404038429260254
trading,0.21911020576953888,0.22348220646381378,0.15508373081684113,0.12942063808441162,0.25205034017562866,0.32541245222091675,0.3916521966457367,0.27318811416625977,0.15743456780910492
until,0.494509756565094,0.43126991391181946,0.20678816735744476,0.02445155940949917,0.3975810110569,0.15335769951343536,0.10314362496137619,0.2992169260978699,0.20304496586322784
world,0.23794586956501007,0.3097524344921112,0.2137570083141327,0.11877062171697617,0.31190985441207886,0.13915419578552246,0.19206896424293518,0.1520475298166275,0.17579582333564758
war,0.26339730620384216,0.3560331463813782,0.3365558683872223,0.06856801360845566,0.3144489526748657,0.11703265458345413,0.16201038658618927,0.21319358050823212,0.15510529279708862
ii,0.26453444361686707,0.25630512833595276,0.2033650428056717,0.06274007260799408,0.30262091755867004,0.05490047484636307,0.17237147688865662,0.11994921416044235,0.11928234249353409
.,0.475719153881073,0.40146201848983765,0.26825499534606934,-0.003708066651597619,0.4345304071903229,0.22629013657569885,0.14290252327919006,0.23771190643310547,0.4130953550338745
