,who,said,barton,'s,investigation,was,``,misguided,and,illegitimate,'',?
on,0.2340552806854248,0.3034963011741638,0.11893081665039062,0.0026888418942689896,0.2780320346355438,0.3909217119216919,-0.03274054825305939,0.21420036256313324,0.4077630043029785,0.17389677464962006,0.04238596186041832,0.2714994251728058
23,0.014098330400884151,-0.019930513575673103,-0.0005366274854168296,-0.0245733093470335,-0.0005541701684705913,-0.04668274149298668,0.010545081458985806,-0.09009511768817902,-0.1634809523820877,-0.01625175215303898,-0.09508837014436722,0.012076443061232567
june,0.23552022874355316,0.2808597683906555,0.13824820518493652,-0.0547623410820961,0.2714463174343109,0.42821118235588074,-4.6752975322306156e-05,0.10682529956102371,0.2692793905735016,0.217373326420784,-0.04559112340211868,0.31416764855384827
2005,0.18423187732696533,0.07334283739328384,0.08941445499658585,0.047040801495313644,-0.0389682799577713,0.11356307566165924,0.1478952169418335,0.016938041895627975,0.05766887590289116,0.10017223656177521,0.0050271013751626015,0.10709824413061142
",",0.3365725874900818,0.34496036171913147,0.28067484498023987,-0.0016132977325469255,0.23980677127838135,0.45456063747406006,0.09681109338998795,0.23423050343990326,0.6633074283599854,0.2852293848991394,-0.037358131259679794,0.31091248989105225
rep.,0.1429029405117035,0.3085247874259949,0.06399302929639816,-0.026121539995074272,0.2976188659667969,0.2129760980606079,0.029916811734437943,0.36904045939445496,0.17058995366096497,0.17101886868476868,-0.0697721391916275,0.26382210850715637
joe,0.2509482800960541,0.20580275356769562,0.22266854345798492,0.016045691445469856,0.16465695202350616,0.23988783359527588,-0.05349570885300636,0.17541001737117767,0.17283421754837036,0.17017048597335815,0.00023133699141908437,0.14875642955303192
barton,0.2547362744808197,0.20887410640716553,1.0000001192092896,0.023894857615232468,0.09701079875230789,0.2684181332588196,0.0894101932644844,0.1129581555724144,0.2733054757118225,0.18385685980319977,0.042205747216939926,0.11683724820613861
",",0.3365725874900818,0.34496036171913147,0.28067484498023987,-0.0016132977325469255,0.23980677127838135,0.45456063747406006,0.09681109338998795,0.23423050343990326,0.6633074283599854,0.2852293848991394,-0.037358131259679794,0.31091248989105225
chairman,0.17702560126781464,0.20778338611125946,0.2353188693523407,-0.09313603490591049,0.21828176081180573,0.2656080424785614,-0.002318055834621191,0.15161006152629852,0.2024257630109787,0.2240806668996811,0.00793930608779192,0.08324678242206573
of,0.2827862501144409,0.29014745354652405,0.22543998062610626,-0.03817026689648628,0.23923081159591675,0.4069072902202606,0.06780257821083069,0.2985362410545349,0.5116966962814331,0.31988653540611267,0.13035868108272552,0.1826142966747284
the,0.3733934462070465,0.3024602234363556,0.22094224393367767,-0.01540423184633255,0.2993324100971222,0.48711544275283813,0.029072100296616554,0.2881642282009125,0.5171257257461548,0.20953090488910675,0.041273195296525955,0.22068053483963013
house,0.2619773745536804,0.14862731099128723,0.2263120859861374,0.0011872146278619766,0.1461808830499649,0.28759756684303284,-0.06780067831277847,0.10492920130491257,0.2552875876426697,0.1394752711057663,0.03461001440882683,0.13736455142498016
committee,0.2034623622894287,0.21377742290496826,0.21201547980308533,0.04900093004107475,0.33697929978370667,0.25449851155281067,0.05259443074464798,0.14957650005817413,0.22311176359653473,0.12749676406383514,-0.07882552593946457,0.12144632637500763
on,0.2340552806854248,0.3034963011741638,0.11893081665039062,0.0026888418942689896,0.2780320346355438,0.3909217119216919,-0.03274054825305939,0.21420036256313324,0.4077630043029785,0.17389677464962006,0.04238596186041832,0.2714994251728058
energy,0.14706677198410034,0.19330696761608124,0.13867828249931335,-0.050826653838157654,0.19569174945354462,0.15364649891853333,-0.012139007449150085,0.2502773702144623,0.23934243619441986,0.12907472252845764,0.014536253176629543,0.14860127866268158
and,0.41279885172843933,0.2940692901611328,0.2733054757118225,0.06895173341035843,0.17241890728473663,0.3740963041782379,0.036644238978624344,0.2534513771533966,1.0,0.256327360868454,0.021612688899040222,0.20544172823429108
commerce,0.09755388647317886,0.09357047080993652,0.18925407528877258,0.019133558496832848,0.23704972863197327,0.19670578837394714,0.026113353669643402,0.1292732208967209,0.24256257712841034,0.21322855353355408,-0.06451582908630371,0.09677373617887497
wrote,0.2670581638813019,0.4237200617790222,0.16755938529968262,0.07554080337285995,0.208662748336792,0.40092042088508606,0.0734158530831337,0.19890639185905457,0.2975862920284271,0.2958730161190033,0.019677795469760895,0.19322504103183746
