,what,was,the,name,of,the,wife,arranged,for,temüjin,by,his,father,?
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.1914493292570114,0.38364991545677185,0.4394008219242096,0.4532906115055084,0.20409953594207764,0.39312878251075745,0.4682264029979706,0.3107621967792511,0.9999998807907104,0.5241755247116089,0.18075084686279297
father,0.21527598798274994,0.3492507338523865,0.24010279774665833,0.21667927503585815,0.22142449021339417,0.24010279774665833,0.5310758352279663,0.17029841244220734,0.19884538650512695,0.40216585993766785,0.20845550298690796,0.5241755247116089,1.0,0.14826634526252747
arranged,0.1523403525352478,0.1825263798236847,0.26620063185691833,0.09650648385286331,0.33214297890663147,0.26620063185691833,0.19241105020046234,0.9999998807907104,0.1783306747674942,0.23118776082992554,0.2703990042209625,0.20409953594207764,0.17029841244220734,0.08499907702207565
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.15953688323497772,0.22070619463920593,0.44038116931915283,0.36845725774765015,0.32094135880470276,0.3497250974178314,0.22525158524513245,0.23916715383529663
marriage,0.1536911427974701,0.23779970407485962,0.17375090718269348,0.20308101177215576,0.1860882043838501,0.17375090718269348,0.5587522983551025,0.30417177081108093,0.19036811590194702,0.24604450166225433,0.22724264860153198,0.3367312550544739,0.3937554359436035,0.13543564081192017
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.1919161081314087,0.1783306747674942,0.9999999403953552,0.2671065032482147,0.3248702883720398,0.39312878251075745,0.19884538650512695,0.264628142118454
him,0.34912991523742676,0.3675798773765564,0.39213326573371887,0.17634497582912445,0.2764812409877777,0.39213326573371887,0.41067081689834595,0.18741421401500702,0.34431272745132446,0.452009379863739,0.29878008365631104,0.6629161238670349,0.47097480297088623,0.23943768441677094
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.27755871415138245,0.2789522111415863,0.4464869201183319,0.3484273850917816,0.3680937886238098,0.3378419280052185,0.30597206950187683,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.284628689289093,0.314948171377182,0.5064792633056641,0.3789469599723816,0.4289871156215668,0.4234102666378021,0.3168204128742218,0.20544172823429108
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.11450952291488647,0.42558613419532776,0.457212895154953,0.19324912130832672,0.20818737149238586,0.34237727522850037,0.25093090534210205,0.2368064820766449,0.27659502625465393,0.20455175638198853,0.21978627145290375
nine,0.11931172013282776,0.2782309651374817,0.33253175020217896,0.15506751835346222,0.29486238956451416,0.33253175020217896,0.18697063624858856,0.239194855093956,0.26828351616859436,0.24922645092010498,0.24929305911064148,0.30716177821159363,0.21256497502326965,0.13964155316352844
years,0.1981470286846161,0.35855233669281006,0.2912273406982422,0.19448696076869965,0.2904134690761566,0.2912273406982422,0.2189735621213913,0.16133888065814972,0.2878222167491913,0.3053538501262665,0.19883383810520172,0.3523389995098114,0.2736870348453522,0.1914375126361847
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2074100226163864,0.33214297890663147,0.4185989499092102,0.378805011510849,0.3646814823150635,0.38364991545677185,0.22142449021339417,0.1826142966747284
