,antigen,specificity,allows,responses,that,are,specific,to,certain,types,of,what,?
antigen,1.0,0.44825848937034607,0.35859134793281555,0.42032644152641296,0.24670813977718353,0.23546671867370605,0.42905089259147644,0.2139984518289566,0.35423898696899414,0.23347967863082886,0.2816563546657562,0.1935727745294571,0.19160577654838562
specificity,0.44825848937034607,0.9999999403953552,0.4228520393371582,0.4409940242767334,0.3981339633464813,0.29916128516197205,0.8046888709068298,0.3886798918247223,0.5759363770484924,0.3421168327331543,0.27038317918777466,0.36627644300460815,0.276556134223938
allows,0.35859134793281555,0.4228520393371582,0.9999999403953552,0.31318536400794983,0.33287981152534485,0.2980545163154602,0.3688417375087738,0.4045441448688507,0.3953675925731659,0.29025718569755554,0.2623075544834137,0.1957017332315445,0.16094227135181427
for,0.21700651943683624,0.3829646110534668,0.3132713735103607,0.303940087556839,0.4137635827064514,0.3895993232727051,0.36453771591186523,0.4451248347759247,0.3654305636882782,0.29793059825897217,0.4185989499092102,0.3017193675041199,0.264628142118454
the,0.2583788335323334,0.33683234453201294,0.2995605766773224,0.25337323546409607,0.5473989248275757,0.40399202704429626,0.3501757085323334,0.535392165184021,0.392071396112442,0.23509301245212555,0.733189046382904,0.42745697498321533,0.22068053483963013
generation,0.2667011618614197,0.25610193610191345,0.21772818267345428,0.19136950373649597,0.1995326429605484,0.17820493876934052,0.14622746407985687,0.21475549042224884,0.15581321716308594,0.22974616289138794,0.23948384821414948,0.1869358867406845,0.18250396847724915
of,0.2816563546657562,0.27038317918777466,0.2623075544834137,0.202371284365654,0.41498205065727234,0.39081433415412903,0.2744234502315521,0.41548454761505127,0.40204232931137085,0.2447618544101715,1.0,0.33290785551071167,0.1826142966747284
responses,0.42032644152641296,0.4409940242767334,0.31318536400794983,1.0,0.37546464800834656,0.28818485140800476,0.3851672410964966,0.279972106218338,0.3323952257633209,0.24423158168792725,0.202371284365654,0.3741379678249359,0.23588258028030396
that,0.24670813977718353,0.3981339633464813,0.33287981152534485,0.37546464800834656,1.0,0.45265161991119385,0.38467007875442505,0.5436353087425232,0.5381532907485962,0.3146487772464752,0.41498205065727234,0.6297725439071655,0.32716336846351624
are,0.23546671867370605,0.29916128516197205,0.2980545163154602,0.28818485140800476,0.45265161991119385,1.0,0.35680872201919556,0.3504326641559601,0.48443952202796936,0.4691450595855713,0.39081433415412903,0.29724663496017456,0.24591213464736938
tailored,0.22685013711452484,0.3727109134197235,0.3154418468475342,0.24701912701129913,0.3592274785041809,0.26643580198287964,0.3369022607803345,0.32641252875328064,0.4207717180252075,0.23689012229442596,0.19667847454547882,0.29078763723373413,0.1944599598646164
to,0.2139984518289566,0.3886798918247223,0.4045441448688507,0.279972106218338,0.5436353087425232,0.3504326641559601,0.3962339460849762,1.0,0.4444960355758667,0.20054484903812408,0.41548454761505127,0.455847829580307,0.29463258385658264
specific,0.42905089259147644,0.8046888709068298,0.3688417375087738,0.3851672410964966,0.38467007875442505,0.35680872201919556,1.0000001192092896,0.3962339460849762,0.6166183352470398,0.38626691699028015,0.2744234502315521,0.37695175409317017,0.30923372507095337
pathogens,0.6192795038223267,0.3773258924484253,0.27360430359840393,0.4436391592025757,0.28222689032554626,0.352535605430603,0.3651876449584961,0.26178881525993347,0.38754695653915405,0.3200358748435974,0.22946582734584808,0.24503889679908752,0.21364152431488037
or,0.29959020018577576,0.4375323951244354,0.3890122175216675,0.24955050647258759,0.4729836881160736,0.5374364256858826,0.43150246143341064,0.38921234011650085,0.49912479519844055,0.41673311591148376,0.3792596757411957,0.33867141604423523,0.32389625906944275
pathogen-infected,0.587490975856781,0.32245755195617676,0.2718762755393982,0.41255107522010803,0.2976636588573456,0.2860432267189026,0.3284280002117157,0.27920228242874146,0.3716799020767212,0.3008089065551758,0.2739817500114441,0.23095807433128357,0.19283968210220337
cells,0.5299037098884583,0.3383703827857971,0.3161247968673706,0.40830740332603455,0.2709589898586273,0.2908284366130829,0.301485151052475,0.26320719718933105,0.284655898809433,0.30914390087127686,0.21305565536022186,0.1758001297712326,0.1898086667060852
.,0.22262081503868103,0.25873517990112305,0.2512013018131256,0.2605404257774353,0.4460422694683075,0.3452940285205841,0.2631765305995941,0.4645031690597534,0.2603873014450073,0.2097296416759491,0.5352458953857422,0.3567904531955719,0.4130953550338745
