,who,is,the,designer,of,the,``,50,?,''
like,0.34740978479385376,0.29710376262664795,0.32912567257881165,0.17851272225379944,0.3244853615760803,0.32912567257881165,0.043583642691373825,0.07243908941745758,0.3268813192844391,0.002897517755627632
the,0.3733934462070465,0.5823672413825989,1.0,0.19174696505069733,0.733189046382904,1.0,0.029072100296616554,0.03602437674999237,0.22068053483963013,0.041273195296525955
lombardi,0.17496588826179504,0.12544533610343933,0.18416112661361694,0.24737131595611572,0.16072972118854523,0.18416112661361694,-0.021232720464468002,0.06124844029545784,0.12761563062667847,0.044365204870700836
trophy,0.1846436858177185,0.15399004518985748,0.23165881633758545,0.12915682792663574,0.19089318811893463,0.23165881633758545,-0.027883505448698997,0.016763124614953995,0.1832219511270523,-0.04935453459620476
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2310541421175003,0.4946078956127167,0.4933079481124878,0.09681109338998795,-0.025195008143782616,0.31091248989105225,-0.037358131259679794
the,0.3733934462070465,0.5823672413825989,1.0,0.19174696505069733,0.733189046382904,1.0,0.029072100296616554,0.03602437674999237,0.22068053483963013,0.041273195296525955
``,0.02397952415049076,0.058766357600688934,0.029072100296616554,-0.05706333369016647,0.06780257821083069,0.029072100296616554,1.0,0.05617367848753929,0.0685480609536171,-0.09173435717821121
50,0.0322180911898613,0.0017694636480882764,0.03602437674999237,0.014212672598659992,0.006577443331480026,0.03602437674999237,0.05617367848753929,0.9999999403953552,0.030512850731611252,0.08711730688810349
'',0.024401003494858742,0.0793738141655922,0.041273195296525955,0.10042943060398102,0.13035868108272552,0.041273195296525955,-0.09173435717821121,0.08711730688810349,0.018684765323996544,1.0
will,0.24651563167572021,0.3723262846469879,0.3635469079017639,0.09674923121929169,0.2473582625389099,0.3635469079017639,0.07008423656225204,0.07188837975263596,0.35046905279159546,-0.00181001634337008
be,0.3371641933917999,0.4819129705429077,0.4248143136501312,0.12358318269252777,0.33904364705085754,0.4248143136501312,0.07670000940561295,0.015184788033366203,0.3324260413646698,0.08835477381944656
designed,0.21097040176391602,0.18406619131565094,0.2559613883495331,0.6663016080856323,0.2000347077846527,0.2559613883495331,-0.05251215770840645,0.08676627278327942,0.11213942617177963,0.017010018229484558
by,0.39727845788002014,0.3899846076965332,0.4408751428127289,0.1945686787366867,0.3646814823150635,0.4408751428127289,-0.030704375356435776,0.03871260583400726,0.17966607213020325,-0.010275691747665405
tiffany,0.2110571414232254,0.13989320397377014,0.15607501566410065,0.36477231979370117,0.1545153260231018,0.15607501566410065,-0.20316669344902039,-0.01403140090405941,0.17250743508338928,0.039966899901628494
&,0.09244576841592789,0.08384179323911667,0.14992168545722961,0.15763743221759796,0.19900451600551605,0.14992168545722961,-0.14380550384521484,-0.021890126168727875,0.12596383690834045,-0.007392024155706167
co,0.2243642956018448,0.12997739017009735,0.19341111183166504,0.19987580180168152,0.1610306054353714,0.19341111183166504,-0.038208864629268646,-0.043050408363342285,0.1823645681142807,-0.026299050077795982
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.19978275895118713,0.5352458953857422,0.5934505462646484,0.05720457062125206,0.04325474053621292,0.4130953550338745,-0.07181349396705627
