,what,is,the,benefit,of,red,algae,being,red,?
the,0.42745697498321533,0.5823672413825989,1.0,0.24974633753299713,0.733189046382904,0.2817947566509247,0.17142868041992188,0.419739305973053,0.2817947566509247,0.22068053483963013
red,0.16784515976905823,0.22996017336845398,0.2817947566509247,0.13234511017799377,0.22367064654827118,1.0000001192092896,0.23007147014141083,0.18241965770721436,1.0000001192092896,0.1495664119720459
phycoerytherin,0.3430229127407074,0.3084558844566345,0.29336079955101013,0.2820145785808563,0.30970197916030884,0.209265798330307,0.42699262499809265,0.3266500234603882,0.209265798330307,0.21522711217403412
pigment,0.24283429980278015,0.2555147111415863,0.21162569522857666,0.22757917642593384,0.19316300749778748,0.38587653636932373,0.47357887029647827,0.22491593658924103,0.38587653636932373,0.17858020961284637
is,0.28837618231773376,1.0,0.5823672413825989,0.2076713591814041,0.4854315221309662,0.22996017336845398,0.20872966945171356,0.4445112943649292,0.22996017336845398,0.22961433231830597
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.24924901127815247,0.32280945777893066,0.124779611825943,0.17608466744422913,0.2743402123451233,0.124779611825943,0.19793890416622162
adaptation,0.15146222710609436,0.2123592644929886,0.2371719926595688,0.30130964517593384,0.14920257031917572,0.07990797609090805,0.2825499475002289,0.12375800311565399,0.07990797609090805,0.138858363032341
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.29776766896247864,0.41548454761505127,0.19477520883083344,0.23588815331459045,0.4514104127883911,0.19477520883083344,0.29463258385658264
help,0.3728281855583191,0.152378648519516,0.30064165592193604,0.4550679624080658,0.22745388746261597,0.17283748090267181,0.1586766093969345,0.2332645058631897,0.17283748090267181,0.28403452038764954
red,0.16784515976905823,0.22996017336845398,0.2817947566509247,0.13234511017799377,0.22367064654827118,1.0000001192092896,0.23007147014141083,0.18241965770721436,1.0000001192092896,0.1495664119720459
algae,0.1909741312265396,0.20872966945171356,0.17142868041992188,0.23909154534339905,0.17768362164497375,0.23007147014141083,1.0000001192092896,0.16565793752670288,0.23007147014141083,0.15479309856891632
catch,0.247139111161232,0.23497571051120758,0.22350099682807922,0.18199551105499268,0.14268046617507935,0.14165616035461426,0.23332229256629944,0.25036975741386414,0.14165616035461426,0.28881779313087463
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.3688884377479553,0.30478984117507935,0.1935623735189438,0.2609478533267975,0.36479651927948,0.1935623735189438,0.27894994616508484
sunlight,0.21599051356315613,0.23021580278873444,0.24547719955444336,0.30981624126434326,0.19953370094299316,0.19557888805866241,0.5034676194190979,0.24960123002529144,0.19557888805866241,0.17698515951633453
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.17319905757904053,0.5696388483047485,0.18753071129322052,0.16969986259937286,0.33162933588027954,0.18753071129322052,0.20430970191955566
deep,0.2200533002614975,0.23750139772891998,0.26388582587242126,0.13783442974090576,0.24191395938396454,0.19965746998786926,0.28477200865745544,0.23715117573738098,0.19965746998786926,0.1765073984861374
water—as,0.17067167162895203,0.2619095742702484,0.2999940514564514,0.17826123535633087,0.28146567940711975,0.1538412868976593,0.41219472885131836,0.2622900605201721,0.1538412868976593,0.1878737062215805
