,how,are,'un-aided,',schools,different,from,'aided,',schools,?
the,0.33890387415885925,0.40399202704429626,0.3213540017604828,0.474788099527359,0.22905772924423218,0.36412742733955383,0.40150508284568787,0.34089788794517517,0.474788099527359,0.22905772924423218,0.22068053483963013
private,0.08935344964265823,0.1694057136774063,0.1748703271150589,0.14255043864250183,0.4158569872379303,0.18266212940216064,0.18150165677070618,0.17890986800193787,0.14255043864250183,0.4158569872379303,0.14389030635356903
'un-aided,0.1565130203962326,0.21607641875743866,1.0,0.12227987498044968,0.18914063274860382,0.17985478043556213,0.2215627133846283,0.9787164330482483,0.12227987498044968,0.18914063274860382,0.04575388506054878
',0.18823795020580292,0.24618251621723175,0.12227987498044968,1.0,0.18575283885002136,0.16269350051879883,0.20019984245300293,0.14089985191822052,1.0,0.18575283885002136,0.330942302942276
schools,0.12874440848827362,0.30816179513931274,0.18914063274860382,0.18575283885002136,1.0,0.26064151525497437,0.1357884258031845,0.19534336030483246,0.18575283885002136,1.0,0.18349280953407288
are,0.311818927526474,1.0,0.21607641875743866,0.24618251621723175,0.30816179513931274,0.5170795917510986,0.2674213647842407,0.21767152845859528,0.24618251621723175,0.30816179513931274,0.24591213464736938
fully,0.31435075402259827,0.2984277009963989,0.22688673436641693,0.1882590502500534,0.1654876470565796,0.21422913670539856,0.187845841050148,0.21936377882957458,0.1882590502500534,0.1654876470565796,0.2089291661977768
funded,0.14471063017845154,0.18269871175289154,0.34262892603874207,0.10660135000944138,0.39287659525871277,0.15048940479755402,0.13621889054775238,0.35381683707237244,0.10660135000944138,0.39287659525871277,0.14043596386909485
by,0.34370526671409607,0.37842893600463867,0.31820181012153625,0.2610379159450531,0.1415957361459732,0.2739490568637848,0.3373257517814636,0.3449467718601227,0.2610379159450531,0.1415957361459732,0.17966607213020325
private,0.08935344964265823,0.1694057136774063,0.1748703271150589,0.14255043864250183,0.4158569872379303,0.18266212940216064,0.18150165677070618,0.17890986800193787,0.14255043864250183,0.4158569872379303,0.14389030635356903
parties,0.1722421944141388,0.24644415080547333,0.1524408608675003,0.15837563574314117,0.24805982410907745,0.25232622027397156,0.14333105087280273,0.15934233367443085,0.15837563574314117,0.24805982410907745,0.16949701309204102
.,0.3287222981452942,0.3452940285205841,0.18903280794620514,0.4806240200996399,0.2752705216407776,0.31511759757995605,0.41536515951156616,0.2340579777956009,0.4806240200996399,0.2752705216407776,0.4130953550338745
