,what,is,inequality,associated,with,higher,levels,of,?
he,0.3114890456199646,0.36230841279029846,0.1916923075914383,0.1438945084810257,0.2845253646373749,0.21176837384700775,0.11016876250505447,0.38706058263778687,0.2089974731206894
found,0.1796332150697708,0.3526395261287689,0.11657499521970749,0.26086169481277466,0.2364431470632553,0.14600330591201782,0.17855443060398102,0.2982911467552185,0.16790300607681274
that,0.6297725439071655,0.3995479643344879,0.3467824459075928,0.2675568461418152,0.4154358208179474,0.31370723247528076,0.27539384365081787,0.41498205065727234,0.32716336846351624
inequality,0.30072227120399475,0.1953488290309906,1.0000001192092896,0.19741785526275635,0.2160445749759674,0.3147837817668915,0.24878159165382385,0.27910974621772766,0.23619021475315094
is,0.28837618231773376,1.0,0.1953488290309906,0.2300606518983841,0.3250955045223236,0.24683357775211334,0.2141042947769165,0.4854315221309662,0.22961433231830597
associated,0.15836219489574432,0.2300606518983841,0.19741785526275635,0.9999999403953552,0.3939831554889679,0.2427966296672821,0.25280436873435974,0.3077163100242615,0.1453326791524887
with,0.2464839518070221,0.3250955045223236,0.2160445749759674,0.3939831554889679,0.9999999403953552,0.20294103026390076,0.21957921981811523,0.41827285289764404,0.2433311939239502
higher,0.2538340389728546,0.24683357775211334,0.3147837817668915,0.2427966296672821,0.20294103026390076,1.0,0.47005683183670044,0.3096220791339874,0.15679465234279633
levels,0.21641245484352112,0.2141042947769165,0.24878159165382385,0.25280436873435974,0.21957921981811523,0.47005683183670044,0.9999998807907104,0.23668165504932404,0.1541307419538498
of,0.33290785551071167,0.4854315221309662,0.27910974621772766,0.3077163100242615,0.41827285289764404,0.3096220791339874,0.23668165504932404,1.0,0.1826142966747284
redistributive,0.2484344244003296,0.24989983439445496,0.38516297936439514,0.19064515829086304,0.1835927665233612,0.26746097207069397,0.21759691834449768,0.2665868401527405,0.1712353676557541
taxation,0.25329726934432983,0.17580538988113403,0.4416405260562897,0.18134258687496185,0.17678186297416687,0.2697920799255371,0.2703671157360077,0.31190910935401917,0.16318899393081665
",",0.3087472915649414,0.4691906273365021,0.21822890639305115,0.27184680104255676,0.4120737314224243,0.251458078622818,0.2284579873085022,0.4946078956127167,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.25761353969573975,0.3083685338497162,0.46403205394744873,0.3562684655189514,0.3389960825443268,0.5011631846427917,0.25814583897590637
is,0.28837618231773376,1.0,0.1953488290309906,0.2300606518983841,0.3250955045223236,0.24683357775211334,0.2141042947769165,0.4854315221309662,0.22961433231830597
associated,0.15836219489574432,0.2300606518983841,0.19741785526275635,0.9999999403953552,0.3939831554889679,0.2427966296672821,0.25280436873435974,0.3077163100242615,0.1453326791524887
with,0.2464839518070221,0.3250955045223236,0.2160445749759674,0.3939831554889679,0.9999999403953552,0.20294103026390076,0.21957921981811523,0.41827285289764404,0.2433311939239502
lower,0.20079238712787628,0.20806168019771576,0.260497123003006,0.22996558248996735,0.1784515678882599,0.5770463347434998,0.3851044178009033,0.31757521629333496,0.08471795171499252
levels,0.21641245484352112,0.2141042947769165,0.24878159165382385,0.25280436873435974,0.21957921981811523,0.47005683183670044,0.9999998807907104,0.23668165504932404,0.1541307419538498
of,0.33290785551071167,0.4854315221309662,0.27910974621772766,0.3077163100242615,0.41827285289764404,0.3096220791339874,0.23668165504932404,1.0,0.1826142966747284
growth,0.1739405393600464,0.2256266176700592,0.3248327970504761,0.1900806576013565,0.1721288114786148,0.24618519842624664,0.280769944190979,0.2679378092288971,0.07547862827777863
from,0.2737620174884796,0.27355384826660156,0.06381086260080338,0.18464983999729156,0.26272761821746826,0.2177213728427887,0.19019560515880585,0.4249346852302551,0.19969791173934937
reductions,0.23610827326774597,0.2305774837732315,0.43316954374313354,0.23559311032295227,0.3060275912284851,0.3453782796859741,0.4180726706981659,0.29430124163627625,0.18793964385986328
in,0.30808621644973755,0.5394441485404968,0.19402410089969635,0.23328746855258942,0.4080928862094879,0.23285751044750214,0.2418597936630249,0.5696388483047485,0.20430970191955566
private,0.16778090596199036,0.1420905888080597,0.2100478708744049,0.12995532155036926,0.20792533457279205,0.21809592843055725,0.11548849195241928,0.18706899881362915,0.14389030635356903
savings,0.16976867616176605,0.20024260878562927,0.29576006531715393,0.1700524538755417,0.2584410607814789,0.1988554745912552,0.23574498295783997,0.2767261564731598,0.1057102158665657
and,0.31309178471565247,0.3859752118587494,0.2590520679950714,0.30157923698425293,0.5477725267410278,0.3147866129875183,0.2956688106060028,0.5116966962814331,0.20544172823429108
investment,0.21795563399791718,0.22608432173728943,0.37353989481925964,0.16829295456409454,0.14308218657970428,0.25933125615119934,0.1532294601202011,0.24637944996356964,0.17811161279678345
.,0.3567904531955719,0.4569662809371948,0.22563500702381134,0.2184346318244934,0.4446153938770294,0.2524722218513489,0.24042059481143951,0.5352458953857422,0.4130953550338745
,what,is,inequality,associated,with,higher,levels,of,?
he,0.3114890456199646,0.36230841279029846,0.1916923075914383,0.1438945084810257,0.2845253646373749,0.21176837384700775,0.11016876250505447,0.38706058263778687,0.2089974731206894
showed,0.23458190262317657,0.1980302482843399,0.23379120230674744,0.21051426231861115,0.27643677592277527,0.1829547882080078,0.20030540227890015,0.31843405961990356,0.17389845848083496
that,0.6297725439071655,0.3995479643344879,0.3467824459075928,0.2675568461418152,0.4154358208179474,0.31370723247528076,0.27539384365081787,0.41498205065727234,0.32716336846351624
",",0.3087472915649414,0.4691906273365021,0.21822890639305115,0.27184680104255676,0.4120737314224243,0.251458078622818,0.2284579873085022,0.4946078956127167,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.19402410089969635,0.23328746855258942,0.4080928862094879,0.23285751044750214,0.2418597936630249,0.5696388483047485,0.20430970191955566
accordance,0.30478090047836304,0.16368220746517181,0.29699698090553284,0.23209168016910553,0.28654801845550537,0.1798543483018875,0.16931457817554474,0.263489693403244,0.23867659270763397
with,0.2464839518070221,0.3250955045223236,0.2160445749759674,0.3939831554889679,0.9999999403953552,0.20294103026390076,0.21957921981811523,0.41827285289764404,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,0.23508106172084808,0.2742886245250702,0.4223487675189972,0.3292480409145355,0.286034494638443,0.733189046382904,0.22068053483963013
credit,0.24852240085601807,0.07379506528377533,0.2317143827676773,0.06050912290811539,0.19659779965877533,0.2557511329650879,0.1530931293964386,0.1627483367919922,0.13371090590953827
