,what,were,the,civil,wars,caused,by,the,huguenots,called,?
a,0.3320399522781372,0.17203083634376526,0.5829201340675354,0.21693918108940125,0.14923274517059326,0.22472180426120758,0.32094135880470276,0.5829201340675354,0.20410758256912231,0.4868806302547455,0.23916715383529663
series,0.17328087985515594,0.264431357383728,0.31376904249191284,0.1796383112668991,0.2527470886707306,0.15196706354618073,0.267352432012558,0.31376904249191284,0.1517191082239151,0.24021844565868378,0.1709602326154709
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.24698495864868164,0.25379252433776855,0.29665443301200867,0.3646814823150635,0.733189046382904,0.27577435970306396,0.4222904443740845,0.1826142966747284
three,0.24888746440410614,0.38429051637649536,0.43452659249305725,0.13412731885910034,0.11529149115085602,0.1711771935224533,0.28754812479019165,0.43452659249305725,0.23349988460540771,0.3522195518016815,0.20928427577018738
small,0.2504110634326935,0.2632170021533966,0.39655908942222595,0.14133132994174957,0.19316191971302032,0.1812676191329956,0.19286847114562988,0.39655908942222595,0.17225044965744019,0.36828139424324036,0.13914890587329865
civil,0.15091551840305328,0.2641898989677429,0.2477465271949768,1.0,0.34394901990890503,0.15324141085147858,0.15479567646980286,0.2477465271949768,0.2630557119846344,0.1720334142446518,0.1494513899087906
wars,0.20595821738243103,0.24968937039375305,0.310673326253891,0.34394901990890503,1.0000001192092896,0.18416047096252441,0.16976232826709747,0.310673326253891,0.3196333944797516,0.22079195082187653,0.1526605486869812
known,0.20381177961826324,0.2330206036567688,0.3624623417854309,0.1591797024011612,0.13838669657707214,0.18305130302906036,0.24461808800697327,0.3624623417854309,0.12804274260997772,0.4469456970691681,0.18314571678638458
as,0.31749409437179565,0.3025437891483307,0.48381632566452026,0.18100082874298096,0.2284109890460968,0.16101646423339844,0.3815547823905945,0.48381632566452026,0.14947842061519623,0.2827680706977844,0.27043893933296204
the,0.42745697498321533,0.3906462490558624,1.0,0.2477465271949768,0.310673326253891,0.24990202486515045,0.4408751428127289,1.0,0.30745792388916016,0.489897221326828,0.22068053483963013
huguenot,0.1912020891904831,0.23719102144241333,0.29557526111602783,0.2631206512451172,0.3070533573627472,0.2249583601951599,0.1813904494047165,0.29557526111602783,0.9459913372993469,0.17961494624614716,0.1359742432832718
rebellions,0.23094052076339722,0.30995771288871765,0.31663885712623596,0.3817814290523529,0.41187551617622375,0.3040316104888916,0.2442891150712967,0.31663885712623596,0.4260992407798767,0.2684871256351471,0.08852019160985947
broke,0.23495598137378693,0.37518665194511414,0.3315005600452423,0.3208475112915039,0.2462146282196045,0.31186458468437195,0.22788217663764954,0.3315005600452423,0.24147966504096985,0.27526047825813293,0.11610469967126846
out,0.3633197546005249,0.3354760408401489,0.39404502511024475,0.12023882567882538,0.16182419657707214,0.255919873714447,0.29497629404067993,0.39404502511024475,0.169748455286026,0.3122950792312622,0.22020699083805084
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.24795588850975037,0.21198274195194244,0.2600580155849457,0.3680937886238098,0.4933079481124878,0.23394492268562317,0.26549121737480164,0.31091248989105225
mainly,0.29325804114341736,0.30168282985687256,0.3790479004383087,0.13029970228672028,0.1928938925266266,0.16998545825481415,0.2982672154903412,0.3790479004383087,0.22023320198059082,0.3295206129550934,0.07608037441968918
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.26466667652130127,0.2582511007785797,0.2494886964559555,0.370934396982193,0.6662389636039734,0.25916293263435364,0.40847352147102356,0.20430970191955566
southwestern,0.22099892795085907,0.2146669626235962,0.3555835783481598,0.20363174378871918,0.15435950458049774,0.1735626459121704,0.17093060910701752,0.3555835783481598,0.23322060704231262,0.23707588016986847,0.173263818025589
france,0.17793065309524536,0.24330811202526093,0.35517507791519165,0.2252196967601776,0.2627103328704834,0.1334220916032791,0.22743742167949677,0.35517507791519165,0.44966813921928406,0.1885128766298294,0.15069349110126495
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.24795588850975037,0.21198274195194244,0.2600580155849457,0.3680937886238098,0.4933079481124878,0.23394492268562317,0.26549121737480164,0.31091248989105225
between,0.2462156116962433,0.27047741413116455,0.39067012071609497,0.19927990436553955,0.26374945044517517,0.29208576679229736,0.28115302324295044,0.39067012071609497,0.2348737269639969,0.33096179366111755,0.12887074053287506
1621,0.08748408406972885,0.0556587316095829,0.16923530399799347,0.14983117580413818,0.1147921234369278,0.14614932239055634,0.13413836061954498,0.16923530399799347,0.250460684299469,0.12514080107212067,0.21250313520431519
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.25259146094322205,0.2593706548213959,0.2892237603664398,0.4289871156215668,0.5171257257461548,0.28783127665519714,0.3251761794090271,0.20544172823429108
1629.,0.09345529228448868,-0.09225326031446457,-0.03943939134478569,-0.10405699908733368,-0.08146511018276215,-0.017312003299593925,-0.0420701839029789,-0.03943939134478569,-0.20662018656730652,0.023571070283651352,0.06233206391334534
