,what,garden,was,formally,only,for,royalty,?
the,0.42745697498321533,0.23359008133411407,0.48711544275283813,0.3323594629764557,0.5497692227363586,0.4739971458911896,0.2179536670446396,0.22068053483963013
saxon,0.19151967763900757,0.11441575735807419,0.19406339526176453,0.13890129327774048,0.16143524646759033,0.11269684135913849,0.20382295548915863,0.14814330637454987
garden,0.20641201734542847,1.0,0.2112511396408081,0.14528635144233704,0.21580201387405396,0.19887973368167877,0.2284041941165924,0.16720405220985413
",",0.3087472915649414,0.2712799608707428,0.45456063747406006,0.2899072468280792,0.4220978021621704,0.4464869201183319,0.20218288898468018,0.31091248989105225
covering,0.20346681773662567,0.18050138652324677,0.21872106194496155,0.1960040181875229,0.2413371503353119,0.3053518235683441,0.10883378237485886,0.10643069446086884
the,0.42745697498321533,0.23359008133411407,0.48711544275283813,0.3323594629764557,0.5497692227363586,0.4739971458911896,0.2179536670446396,0.22068053483963013
area,0.21965408325195312,0.25230154395103455,0.24981513619422913,0.22102636098861694,0.23753991723060608,0.20941852033138275,0.12970320880413055,0.12640461325645447
of,0.33290785551071167,0.23306405544281006,0.4069072902202606,0.3022876977920532,0.49632513523101807,0.4185989499092102,0.22643643617630005,0.1826142966747284
15.5,0.27460047602653503,0.06934025883674622,0.08703460544347763,0.14880244433879852,0.1810418665409088,0.1661340743303299,-0.03621857613325119,0.3696694076061249
ha,0.15493328869342804,0.2044704705476761,0.1139315664768219,0.10994571447372437,0.13562530279159546,0.09621820598840714,0.14259548485279083,0.24374480545520782
",",0.3087472915649414,0.2712799608707428,0.45456063747406006,0.2899072468280792,0.4220978021621704,0.4464869201183319,0.20218288898468018,0.31091248989105225
was,0.22111038863658905,0.2112511396408081,1.0000001192092896,0.3541161119937897,0.36249664425849915,0.3863949179649353,0.21317000687122345,0.18412111699581146
formally,0.19840256869792938,0.14528635144233704,0.3541161119937897,1.0000001192092896,0.32118093967437744,0.32619646191596985,0.19146192073822021,0.1371411830186844
a,0.3320399522781372,0.2035326063632965,0.4508470594882965,0.2875966727733612,0.47549712657928467,0.44038116931915283,0.1903013437986374,0.23916715383529663
royal,0.16189028322696686,0.2789759337902069,0.2874114215373993,0.22074420750141144,0.22391639649868011,0.20729990303516388,0.5599018931388855,0.11453001946210861
garden,0.20641201734542847,1.0,0.2112511396408081,0.14528635144233704,0.21580201387405396,0.19887973368167877,0.2284041941165924,0.16720405220985413
.,0.3567904531955719,0.231033593416214,0.40146201848983765,0.2350444495677948,0.49507418274879456,0.4726039469242096,0.18225274980068207,0.4130953550338745
