,most,power,of,what,sort,is,generated,by,steam,turbines,today,?
today,0.42132407426834106,0.14828667044639587,0.3291318118572235,0.3814660608768463,0.1462729424238205,0.3404538929462433,0.18088188767433167,0.16644306480884552,0.207895427942276,0.23190583288669586,1.0000001192092896,0.17338968813419342
most,1.0,0.18401093780994415,0.4178851246833801,0.3219912350177765,0.23304620385169983,0.41165053844451904,0.21516117453575134,0.270847886800766,0.2003706395626068,0.2035781443119049,0.42132407426834106,0.2107497900724411
electric,0.14066481590270996,0.34122735261917114,0.17329032719135284,0.15451551973819733,0.15065452456474304,0.16143305599689484,0.2947510778903961,0.19581176340579987,0.3633075952529907,0.38727980852127075,0.1394638568162918,0.15674720704555511
power,0.18401093780994415,1.0000001192092896,0.25273123383522034,0.22216427326202393,0.1557551920413971,0.15234114229679108,0.3117973208427429,0.21582826972007751,0.35972869396209717,0.46097153425216675,0.14828667044639587,0.15304024517536163
is,0.41165053844451904,0.15234114229679108,0.4854315221309662,0.28837618231773376,0.27924588322639465,1.0,0.25260961055755615,0.3899846076965332,0.13029660284519196,0.24277569353580475,0.3404538929462433,0.22961433231830597
provided,0.21939177811145782,0.17333146929740906,0.272808313369751,0.2206064909696579,0.2517034709453583,0.19162359833717346,0.3689475357532501,0.2935292720794678,0.1837291419506073,0.21585488319396973,0.1595427691936493,0.16893617808818817
by,0.270847886800766,0.21582826972007751,0.3646814823150635,0.2455483376979828,0.15453682839870453,0.3899846076965332,0.310081422328949,1.0000001192092896,0.18134352564811707,0.25462156534194946,0.16644306480884552,0.17966607213020325
steam,0.2003706395626068,0.35972869396209717,0.20239725708961487,0.15672586858272552,0.15938708186149597,0.13029660284519196,0.2704017460346222,0.18134352564811707,1.0000001192092896,0.5227647423744202,0.207895427942276,0.113324373960495
turbines,0.2035781443119049,0.46097153425216675,0.2403727024793625,0.17412316799163818,0.16380958259105682,0.24277569353580475,0.4225708246231079,0.25462156534194946,0.5227647423744202,1.0,0.23190583288669586,0.18342499434947968
.,0.35404038429260254,0.2141435295343399,0.5352458953857422,0.3567904531955719,0.24213188886642456,0.4569662809371948,0.2922912836074829,0.3936232924461365,0.22855372726917267,0.24173502624034882,0.30348071455955505,0.4130953550338745
,most,power,of,what,sort,is,generated,by,steam,turbines,today,?
in,0.41416558623313904,0.16666220128536224,0.5696388483047485,0.30808621644973755,0.20928911864757538,0.5394441485404968,0.19890514016151428,0.370934396982193,0.19852672517299652,0.23479467630386353,0.3300545811653137,0.20430970191955566
the,0.47635307908058167,0.2647338807582855,0.733189046382904,0.42745697498321533,0.31158876419067383,0.5823672413825989,0.27684199810028076,0.4408751428127289,0.23105813562870026,0.2202165722846985,0.35740926861763,0.22068053483963013
united,0.24793334305286407,0.18556222319602966,0.3187655806541443,0.20036718249320984,0.16813449561595917,0.22408509254455566,0.1939759999513626,0.23958808183670044,0.16146141290664673,0.27422383427619934,0.22496426105499268,0.17266890406608582
states,0.286347895860672,0.19038769602775574,0.30884552001953125,0.21526020765304565,0.18741531670093536,0.21939043700695038,0.19377534091472626,0.23827408254146576,0.14757661521434784,0.24589797854423523,0.18709002435207367,0.16272737085819244
90,-0.09478197246789932,-0.07385910302400589,-0.06715171784162521,-0.03224492445588112,-0.07677990198135376,-0.03490179032087326,-0.2168765664100647,-0.03996444493532181,-0.12955141067504883,-0.12744881212711334,-0.09583978354930878,-0.0034062080085277557
%,0.26077356934547424,0.15953417122364044,0.19953428208827972,0.20738190412521362,0.17696478962898254,0.18672586977481842,0.18285958468914032,0.13780950009822845,0.11721061915159225,0.18428784608840942,0.21047918498516083,0.21441808342933655
of,0.4178851246833801,0.25273123383522034,1.0,0.33290785551071167,0.2691255807876587,0.4854315221309662,0.27549460530281067,0.3646814823150635,0.20239725708961487,0.2403727024793625,0.3291318118572235,0.1826142966747284
the,0.47635307908058167,0.2647338807582855,0.733189046382904,0.42745697498321533,0.31158876419067383,0.5823672413825989,0.27684199810028076,0.4408751428127289,0.23105813562870026,0.2202165722846985,0.35740926861763,0.22068053483963013
electric,0.14066481590270996,0.34122735261917114,0.17329032719135284,0.15451551973819733,0.15065452456474304,0.16143305599689484,0.2947510778903961,0.19581176340579987,0.3633075952529907,0.38727980852127075,0.1394638568162918,0.15674720704555511
power,0.18401093780994415,1.0000001192092896,0.25273123383522034,0.22216427326202393,0.1557551920413971,0.15234114229679108,0.3117973208427429,0.21582826972007751,0.35972869396209717,0.46097153425216675,0.14828667044639587,0.15304024517536163
is,0.41165053844451904,0.15234114229679108,0.4854315221309662,0.28837618231773376,0.27924588322639465,1.0,0.25260961055755615,0.3899846076965332,0.13029660284519196,0.24277569353580475,0.3404538929462433,0.22961433231830597
produced,0.19145746529102325,0.11958412081003189,0.18961067497730255,0.1393624097108841,0.08790973573923111,0.25678005814552307,0.3957560062408447,0.4647648334503174,0.1864473819732666,0.27739018201828003,0.16110630333423615,0.1623450517654419
in,0.41416558623313904,0.16666220128536224,0.5696388483047485,0.30808621644973755,0.20928911864757538,0.5394441485404968,0.19890514016151428,0.370934396982193,0.19852672517299652,0.23479467630386353,0.3300545811653137,0.20430970191955566
this,0.43080902099609375,0.24943022429943085,0.45148900151252747,0.5489566326141357,0.3699115216732025,0.480927973985672,0.35172131657600403,0.38438332080841064,0.22001534700393677,0.27303630113601685,0.3353723883628845,0.3155723512172699
