,what,light,radiation,does,ozone,absorb,?
since,0.29783400893211365,0.1736241728067398,0.23588664829730988,0.23816218972206116,0.1707601547241211,0.14914515614509583,0.2876587212085724
ozone,0.17115569114685059,0.3063492774963379,0.5196512937545776,0.18875880539417267,1.0,0.41802242398262024,0.159791961312294
absorbs,0.25239095091819763,0.48781144618988037,0.5068304538726807,0.3284255564212799,0.44353434443473816,0.912268340587616,0.17056214809417725
strongly,0.33651110529899597,0.17375975847244263,0.1607525646686554,0.2674036920070648,0.21285858750343323,0.2698938548564911,0.1874239444732666
in,0.30808621644973755,0.1819845736026764,0.20072022080421448,0.214483380317688,0.19661612808704376,0.19836430251598358,0.20430970191955566
the,0.42745697498321533,0.2649136185646057,0.2525659203529358,0.35928019881248474,0.23899611830711365,0.2552814483642578,0.22068053483963013
uv,0.25159287452697754,0.49168747663497925,0.5656593441963196,0.21615099906921387,0.4645193815231323,0.46995407342910767,0.2089122235774994
region,0.2298986315727234,0.09859956055879593,0.21528929471969604,0.10874218493700027,0.21973566710948944,0.2617351710796356,0.13441751897335052
of,0.33290785551071167,0.18257063627243042,0.2597386837005615,0.3119818866252899,0.22780866920948029,0.21571673452854156,0.1826142966747284
the,0.42745697498321533,0.2649136185646057,0.2525659203529358,0.35928019881248474,0.23899611830711365,0.2552814483642578,0.22068053483963013
spectrum,0.2396017163991928,0.3981825113296509,0.4177718460559845,0.15596476197242737,0.30052611231803894,0.36189931631088257,0.13036777079105377
",",0.3087472915649414,0.22209852933883667,0.23374629020690918,0.28617382049560547,0.2271772027015686,0.1852884590625763,0.31091248989105225
the,0.42745697498321533,0.2649136185646057,0.2525659203529358,0.35928019881248474,0.23899611830711365,0.2552814483642578,0.22068053483963013
ozone,0.17115569114685059,0.3063492774963379,0.5196512937545776,0.18875880539417267,1.0,0.41802242398262024,0.159791961312294
layer,0.20606225728988647,0.255109041929245,0.30710500478744507,0.18299339711666107,0.4532051384449005,0.34409892559051514,0.11266916990280151
of,0.33290785551071167,0.18257063627243042,0.2597386837005615,0.3119818866252899,0.22780866920948029,0.21571673452854156,0.1826142966747284
the,0.42745697498321533,0.2649136185646057,0.2525659203529358,0.35928019881248474,0.23899611830711365,0.2552814483642578,0.22068053483963013
upper,0.1592642068862915,0.14686550199985504,0.2858648896217346,0.12086480855941772,0.16931594908237457,0.2673534154891968,0.051342256367206573
atmosphere,0.2530241310596466,0.3712354302406311,0.4583549201488495,0.19584400951862335,0.5175097584724426,0.3817859888076782,0.15636961162090302
functions,0.22357098758220673,0.19469736516475677,0.2602613568305969,0.2405301332473755,0.2137758880853653,0.2818993628025055,0.13745930790901184
