,what,is,a,chemical,secreted,by,tumors,that,suppresses,the,immune,response,?
some,0.4491020441055298,0.3038453459739685,0.34539633989334106,0.21596035361289978,0.3152777850627899,0.306446373462677,0.2830956280231476,0.6049469113349915,0.29095131158828735,0.4566698372364044,0.25199633836746216,0.25077059864997864,0.2562315762042999
tumor,0.245636448264122,0.19921745359897614,0.25356221199035645,0.2693624496459961,0.3973006010055542,0.15780745446681976,0.8515713810920715,0.2366403490304947,0.17212630808353424,0.19744063913822174,0.4276474118232727,0.20108440518379211,0.18998058140277863
cells,0.1758001297712326,0.1644774079322815,0.2297232300043106,0.3261864185333252,0.5203596949577332,0.19208736717700958,0.5030745267868042,0.2709589898586273,0.2963521182537079,0.19095487892627716,0.5300963521003723,0.30744311213493347,0.1898086667060852
also,0.42747777700424194,0.5012649297714233,0.5149940252304077,0.32579362392425537,0.288822740316391,0.3824189305305481,0.2749592363834381,0.6005857586860657,0.24688537418842316,0.6021018624305725,0.23907321691513062,0.2597503960132599,0.21848613023757935
release,0.19122223556041718,0.18082810938358307,0.23991376161575317,0.18489684164524078,0.32707032561302185,0.24635136127471924,0.24644598364830017,0.28681787848472595,0.239402174949646,0.2814774513244629,0.20133273303508759,0.21802859008312225,0.14489315450191498
products,0.2088814079761505,0.2552259862422943,0.20830485224723816,0.30782535672187805,0.3680281341075897,0.21995729207992554,0.2649494409561157,0.30359014868736267,0.23228766024112701,0.2547704577445984,0.25776785612106323,0.2196076214313507,0.20429900288581848
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.2704353928565979,0.3129700720310211,0.37496164441108704,0.3281596004962921,1.0,0.35235893726348877,0.5473989248275757,0.30237793922424316,0.3606419265270233,0.32716336846351624
inhibit,0.20816293358802795,0.18958020210266113,0.22094367444515228,0.4074328541755676,0.5033571124076843,0.13809320330619812,0.5099352598190308,0.2835474908351898,0.4336143434047699,0.18193893134593964,0.49670812487602234,0.33042818307876587,0.17966219782829285
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.18641819059848785,0.290791392326355,0.4408751428127289,0.25303611159324646,0.5473989248275757,0.3360081911087036,1.0,0.21364226937294006,0.28909924626350403,0.22068053483963013
immune,0.2410416603088379,0.2092347890138626,0.20466765761375427,0.2623310089111328,0.4018595516681671,0.17260463535785675,0.4806292951107025,0.30237793922424316,0.3420988619327545,0.21364226937294006,1.0,0.43541768193244934,0.16080476343631744
response,0.3532308340072632,0.21022158861160278,0.25924429297447205,0.21087491512298584,0.27416571974754333,0.2863168716430664,0.24788260459899902,0.3606419265270233,0.41567304730415344,0.28909924626350403,0.43541768193244934,1.0000001192092896,0.2007838636636734
;,0.10986888408660889,0.05324986204504967,-0.02122584730386734,-0.03170118108391762,0.03750760853290558,0.10469875484704971,-0.0021382642444223166,0.0633435994386673,-0.017656391486525536,0.09152708947658539,-0.015346601605415344,0.043620020151138306,0.10349778085947037
for,0.3017193675041199,0.43268078565597534,0.44038116931915283,0.23266151547431946,0.15342187881469727,0.3248702883720398,0.18836690485477448,0.4137635827064514,0.26113227009773254,0.4739971458911896,0.1448224037885666,0.2802165448665619,0.264628142118454
example,0.3456268310546875,0.36737263202667236,0.40234753489494324,0.2803197205066681,0.29144468903541565,0.29030951857566833,0.1771446317434311,0.429897665977478,0.34303387999534607,0.3755223751068115,0.2656582295894623,0.29709959030151367,0.30374911427497864
by,0.2455483376979828,0.3899846076965332,0.32094135880470276,0.21947693824768066,0.2647278606891632,1.0000001192092896,0.19716842472553253,0.37496164441108704,0.2583663761615753,0.4408751428127289,0.17260463535785675,0.2863168716430664,0.17966607213020325
secreting,0.2810404300689697,0.21167321503162384,0.25023266673088074,0.36771246790885925,0.7685530781745911,0.1830124408006668,0.473005473613739,0.36030274629592896,0.4024288058280945,0.2740831971168518,0.4465014934539795,0.3145234286785126,0.16538850963115692
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.18641819059848785,0.290791392326355,0.4408751428127289,0.25303611159324646,0.5473989248275757,0.3360081911087036,1.0,0.21364226937294006,0.28909924626350403,0.22068053483963013
cytokine,0.2301555573940277,0.17559216916561127,0.26982083916664124,0.37929967045783997,0.5431855320930481,0.2603253424167633,0.5020906925201416,0.29832693934440613,0.39006420969963074,0.27381086349487305,0.5294531583786011,0.37586867809295654,0.1463787853717804
tgf-β,0.22400598227977753,0.30381661653518677,0.2942151725292206,0.16875986754894257,0.027520034462213516,0.21759141981601715,0.05404692888259888,0.19087684154510498,0.15420717000961304,0.2460089772939682,0.10640767961740494,0.16134889423847198,0.3318462371826172
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.20593619346618652,0.20301087200641632,0.3680937886238098,0.27506208419799805,0.4137537479400635,0.15866263210773468,0.4933079481124878,0.15102852880954742,0.24039098620414734,0.31091248989105225
