,how,many,yards,did,newton,throw,for,in,2015,?
pro,0.18713277578353882,0.13571034371852875,0.22075164318084717,0.14497412741184235,0.10714779049158096,0.1395164281129837,0.2676255404949188,0.152218297123909,0.052606672048568726,0.17645101249217987
bowl,0.1720007210969925,0.17932994663715363,0.2993983328342438,0.18569406867027283,0.1892489492893219,0.26393550634384155,0.24430087208747864,0.17236235737800598,0.0710686594247818,0.21118052303791046
quarterback,0.10935026407241821,0.09331715106964111,0.5115955471992493,0.13718701899051666,0.29465755820274353,0.31367501616477966,0.2683273255825043,0.17283181846141815,-0.07722106575965881,0.13221268355846405
cam,0.14944414794445038,0.13726761937141418,0.18628010153770447,0.15223097801208496,0.32548287510871887,0.09797223657369614,0.22685806453227997,0.17906330525875092,-0.0011327267857268453,0.1622646003961563
newton,0.2514588236808777,0.1828424632549286,0.29241275787353516,0.23863376677036285,1.0000001192092896,0.17230159044265747,0.18168501555919647,0.23639483749866486,0.04000600054860115,0.09645649790763855
had,0.2549138069152832,0.40130746364593506,0.19894513487815857,0.540525496006012,0.17341329157352448,0.1697472482919693,0.3270139992237091,0.385026752948761,0.0605347566306591,0.20728366076946259
one,0.3213292360305786,0.4223630726337433,0.2028396874666214,0.27659472823143005,0.20534484088420868,0.2658301293849945,0.384836345911026,0.4129433035850525,-0.006648390553891659,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.14466260373592377,0.2513895630836487,0.18479612469673157,0.20400571823120117,0.4185989499092102,0.5696388483047485,0.21138253808021545,0.1826142966747284
his,0.24614305794239044,0.3188176155090332,0.2510942220687866,0.3546801507472992,0.2519145607948303,0.26073288917541504,0.39312878251075745,0.3598145842552185,0.0642445981502533,0.18075084686279297
best,0.25441184639930725,0.2589998245239258,0.1580885648727417,0.25550925731658936,0.20502272248268127,0.1890384405851364,0.45128104090690613,0.2813531160354614,-0.06681548804044724,0.2799045741558075
seasons,0.12353117763996124,0.1946718841791153,0.32562366127967834,0.18920958042144775,0.10007040947675705,0.1193578764796257,0.26410943269729614,0.2194332778453827,-0.060289785265922546,0.13766995072364807
",",0.22659391164779663,0.40610817074775696,0.16944201290607452,0.3015086054801941,0.2648763358592987,0.18939918279647827,0.4464869201183319,0.5201468467712402,0.06568983197212219,0.31091248989105225
throwing,0.24389290809631348,0.2297176569700241,0.33956798911094666,0.2288447916507721,0.1744842380285263,0.7815671563148499,0.29772108793258667,0.1828322857618332,0.049856171011924744,0.15241092443466187
for,0.3308170735836029,0.40972793102264404,0.21746347844600677,0.318512886762619,0.18168501555919647,0.26654914021492004,0.9999999403953552,0.4322226941585541,-0.08512632548809052,0.264628142118454
"3,837",-0.04463791474699974,-0.03211802616715431,0.01638616994023323,-0.0767732635140419,0.021701980382204056,0.03138821944594383,0.005208166781812906,0.09096096456050873,0.36837074160575867,-0.03566814586520195
yards,0.1345205456018448,0.13134367763996124,1.0,0.11230118572711945,0.29241275787353516,0.3343540132045746,0.21746347844600677,0.14206624031066895,0.02945392206311226,0.12453813850879669
and,0.33647966384887695,0.5296266674995422,0.22108176350593567,0.34479495882987976,0.22255054116249084,0.1982293725013733,0.5064792633056641,0.4954058527946472,0.015077123418450356,0.20544172823429108
rushing,0.2803467810153961,0.21215204894542694,0.5547915101051331,0.21943612396717072,0.304086834192276,0.42995917797088623,0.31589773297309875,0.21822091937065125,-0.10239597409963608,0.14363552629947662
for,0.3308170735836029,0.40972793102264404,0.21746347844600677,0.318512886762619,0.18168501555919647,0.26654914021492004,0.9999999403953552,0.4322226941585541,-0.08512632548809052,0.264628142118454
636,-0.007202938664704561,0.07316522300243378,0.0132901044562459,0.011679795570671558,0.14664290845394135,-0.002917433390393853,0.13158677518367767,0.16928495466709137,-0.19799460470676422,-0.036500390619039536
",",0.22659391164779663,0.40610817074775696,0.16944201290607452,0.3015086054801941,0.2648763358592987,0.18939918279647827,0.4464869201183319,0.5201468467712402,0.06568983197212219,0.31091248989105225
while,0.2918691337108612,0.3748262822628021,0.2172633707523346,0.3330625295639038,0.1801067441701889,0.26841598749160767,0.4232339859008789,0.3399278521537781,-0.013383761048316956,0.21076419949531555
recording,0.19648906588554382,0.20405806601047516,0.21804086863994598,0.20224055647850037,0.22601540386676788,0.1557268500328064,0.28583967685699463,0.2528064250946045,-0.07319832593202591,0.18037092685699463
a,0.29312583804130554,0.2872205972671509,0.19167225062847137,0.2552328109741211,0.1884482353925705,0.32970285415649414,0.44038116931915283,0.539380669593811,-0.008371892385184765,0.23916715383529663
career-high,0.2514631748199463,0.33343032002449036,0.39537036418914795,0.3148426413536072,0.19111330807209015,0.21060094237327576,0.3471291661262512,0.2944321930408478,-0.033197686076164246,0.18277767300605774
and,0.33647966384887695,0.5296266674995422,0.22108176350593567,0.34479495882987976,0.22255054116249084,0.1982293725013733,0.5064792633056641,0.4954058527946472,0.015077123418450356,0.20544172823429108
league-leading,0.2028302550315857,0.2940694987773895,0.35681408643722534,0.29858919978141785,0.21760407090187073,0.29526421427726746,0.41309621930122375,0.366347998380661,0.033030472695827484,0.2778867185115814
45,-0.032615967094898224,0.02003762125968933,0.02249443158507347,-0.0017516070511192083,0.026041382923722267,0.032607462257146835,0.05910564959049225,0.05398287624120712,0.0810927227139473,-0.01282194908708334
total,0.22199897468090057,0.2912171483039856,0.26723575592041016,0.14788632094860077,0.1840561330318451,0.1118200346827507,0.18924455344676971,0.27667245268821716,0.037357207387685776,0.14396025240421295
touchdowns,0.15057362616062164,0.1144808754324913,0.7052563428878784,0.20483340322971344,0.31141117215156555,0.3633248805999756,0.2948407232761383,0.17643709480762482,0.008580083958804607,0.1509619653224945
(,0.1676948219537735,0.1455259770154953,0.15869200229644775,0.18979617953300476,0.17499087750911713,0.15470761060714722,0.3357032239437103,0.3087427020072937,0.14610634744167328,0.40561532974243164
35,-0.11944353580474854,-0.07066774368286133,-0.11452069878578186,-0.03584199398756027,-0.08320112526416779,-0.03835222125053406,-0.028315884992480278,-0.023801730945706367,0.06824924796819687,-0.044106997549533844
passing,0.24499450623989105,0.15060079097747803,0.43056851625442505,0.16936171054840088,0.23282510042190552,0.3435516953468323,0.2578018009662628,0.1942625194787979,0.00843111239373684,0.10353918373584747
",",0.22659391164779663,0.40610817074775696,0.16944201290607452,0.3015086054801941,0.2648763358592987,0.18939918279647827,0.4464869201183319,0.5201468467712402,0.06568983197212219,0.31091248989105225
10,0.09177426248788834,0.3056783974170685,-0.03439547121524811,0.1914099007844925,0.03830950707197189,0.04267953336238861,0.07862305641174316,0.22690178453922272,0.15571165084838867,0.022911956533789635
