,the,time,required,to,output,an,answer,on,a,deterministic,turing,machine,is,expressed,as,what,?
the,1.0,0.43061500787734985,0.27848219871520996,0.535392165184021,0.22049929201602936,0.4207492768764496,0.24840699136257172,0.5107308030128479,0.5829201340675354,0.33725428581237793,0.2644472122192383,0.22788187861442566,0.5823672413825989,0.25207287073135376,0.48381632566452026,0.42745697498321533,0.22068053483963013
time,0.43061500787734985,0.9999998807907104,0.3149583637714386,0.3679993152618408,0.2228059023618698,0.17594800889492035,0.30184897780418396,0.30044233798980713,0.3292340338230133,0.3150995075702667,0.3296571373939514,0.25790056586265564,0.25187405943870544,0.25961312651634216,0.3239102065563202,0.36319252848625183,0.27391523122787476
required,0.27848219871520996,0.3149583637714386,1.0000001192092896,0.3613971471786499,0.35599467158317566,0.22291910648345947,0.289161741733551,0.193476602435112,0.2891559302806854,0.36654824018478394,0.22096702456474304,0.19456051290035248,0.21426478028297424,0.25272664427757263,0.23791028559207916,0.2506856620311737,0.24962718784809113
by,0.4408751428127289,0.26502725481987,0.21564500033855438,0.33534231781959534,0.1993098258972168,0.2719563841819763,0.16165292263031006,0.33887791633605957,0.32094135880470276,0.21018950641155243,0.21632690727710724,0.2526017427444458,0.3899846076965332,0.26528993248939514,0.3815547823905945,0.2455483376979828,0.17966607213020325
a,0.5829201340675354,0.3292340338230133,0.2891559302806854,0.45503583550453186,0.17850732803344727,0.44552403688430786,0.2724393308162689,0.3848365545272827,1.0,0.35494157671928406,0.25234705209732056,0.24983544647693634,0.658733606338501,0.220966175198555,0.39550232887268066,0.3320399522781372,0.23916715383529663
deterministic,0.33725428581237793,0.3150995075702667,0.36654824018478394,0.32933658361434937,0.3093894124031067,0.2718093991279602,0.41307148337364197,0.18192008137702942,0.35494157671928406,1.0,0.4115058183670044,0.27763426303863525,0.33447402715682983,0.4692364037036896,0.3199961483478546,0.41523241996765137,0.26914435625076294
turing,0.2644472122192383,0.3296571373939514,0.22096702456474304,0.22095461189746857,0.26673248410224915,0.1837916374206543,0.33181440830230713,0.17251454293727875,0.25234705209732056,0.4115058183670044,1.0000001192092896,0.4048772156238556,0.18364353477954865,0.29341980814933777,0.24472561478614807,0.2806522250175476,0.1460462063550949
machine,0.22788187861442566,0.25790056586265564,0.19456051290035248,0.1634126603603363,0.32068732380867004,0.18184466660022736,0.2768482267856598,0.209082692861557,0.24983544647693634,0.27763426303863525,0.4048772156238556,1.0,0.18938691914081573,0.1833524852991104,0.20022566616535187,0.23075932264328003,0.17587624490261078
m,0.15156042575836182,0.19130094349384308,0.06889578700065613,0.17626212537288666,0.2446625828742981,0.18846221268177032,0.19298355281352997,0.23086261749267578,0.16919291019439697,0.1556449830532074,0.14450761675834656,0.16643786430358887,0.22669823467731476,0.12860983610153198,0.19754111766815186,0.23871465027332306,0.2618667185306549
on,0.5107308030128479,0.30044233798980713,0.193476602435112,0.41031414270401,0.21359142661094666,0.3192969560623169,0.22382852435112,0.9999999403953552,0.3848365545272827,0.18192008137702942,0.17251454293727875,0.209082692861557,0.3635730445384979,0.1370905190706253,0.36047765612602234,0.34226128458976746,0.2714994251728058
input,0.19928309321403503,0.2544395923614502,0.37714311480522156,0.25947481393814087,0.6574379205703735,0.20624928176403046,0.32805678248405457,0.21497823297977448,0.20009170472621918,0.3182532489299774,0.28326544165611267,0.2852245271205902,0.2170686423778534,0.33721786737442017,0.2063598930835724,0.2844698429107666,0.24861721694469452
x,0.20980626344680786,0.1682448536157608,0.19542592763900757,0.21431612968444824,0.24710486829280853,0.20501652359962463,0.1867615133523941,0.1793646216392517,0.21952441334724426,0.27961084246635437,0.22797083854675293,0.2432967573404312,0.1738782823085785,0.20581436157226562,0.19728422164916992,0.13783220946788788,0.23304535448551178
is,0.5823672413825989,0.25187405943870544,0.21426478028297424,0.42745086550712585,0.2423316091299057,0.4654068350791931,0.21693027019500732,0.3635730445384979,0.658733606338501,0.33447402715682983,0.18364353477954865,0.18938691914081573,1.0,0.18876376748085022,0.43216490745544434,0.28837618231773376,0.22961433231830597
