,what,feature,will,enrich,the,the,pedestrian,friendly,environment,after,restoration,?
the,0.42745697498321533,0.3053930699825287,0.3635469079017639,0.19581155478954315,1.0,1.0,0.2353980541229248,0.18394148349761963,0.25819888710975647,0.4565047025680542,0.3766564130783081,0.22068053483963013
public,0.1729622185230255,0.18898212909698486,0.2083348035812378,0.1359437108039856,0.22857438027858734,0.22857438027858734,0.29647940397262573,0.17164774239063263,0.23479749262332916,0.18959388136863708,0.2897735834121704,0.19872993230819702
art,0.19292277097702026,0.14964276552200317,0.18838098645210266,0.12708637118339539,0.20297785103321075,0.20297785103321075,0.23569686710834503,0.10371585190296173,0.14712676405906677,0.14912347495555878,0.2380644828081131,0.138971745967865
pieces,0.23248165845870972,0.16023528575897217,0.22533075511455536,0.19946172833442688,0.2676405906677246,0.2676405906677246,0.09480631351470947,0.07680314034223557,0.10346997529268265,0.1901463270187378,0.16357864439487457,0.12758022546768188
will,0.3510494530200958,0.23828288912773132,1.0,0.20481765270233154,0.3635469079017639,0.3635469079017639,0.18732762336730957,0.20393992960453033,0.28619691729545593,0.2841227948665619,0.1328900158405304,0.35046905279159546
be,0.3929833769798279,0.2583335041999817,0.4925616979598999,0.25588059425354004,0.4248143136501312,0.4248143136501312,0.216923326253891,0.2209087610244751,0.2868114411830902,0.32360681891441345,0.1792314648628235,0.3324260413646698
restored,0.23375621438026428,0.17707699537277222,0.23927076160907745,0.1263282597064972,0.29931989312171936,0.29931989312171936,0.2784353792667389,0.17190903425216675,0.11903657764196396,0.2797248661518097,0.6288171410560608,0.1778445541858673
and,0.31309178471565247,0.29179611802101135,0.35983073711395264,0.2595709264278412,0.5171257257461548,0.5171257257461548,0.23101849853992462,0.2462768852710724,0.2753470242023468,0.3765919506549835,0.2590578496456146,0.20544172823429108
placed,0.20823347568511963,0.18069632351398468,0.30428647994995117,0.15240488946437836,0.38702741265296936,0.38702741265296936,0.2188425362110138,0.0901341363787651,0.1871463507413864,0.23848000168800354,0.15518927574157715,0.18964257836341858
near,0.19414293766021729,0.07534617930650711,0.1786363124847412,0.09253259003162384,0.2879819869995117,0.2879819869995117,0.22605536878108978,0.13946692645549774,0.1322183758020401,0.2304886281490326,0.12924620509147644,0.10734958201646805
their,0.35142919421195984,0.23294682800769806,0.35694247484207153,0.1895591765642166,0.516537070274353,0.516537070274353,0.15588678419589996,0.25149422883987427,0.25516194105148315,0.30973172187805176,0.20660285651683807,0.1898253709077835
current,0.18294453620910645,0.12805426120758057,0.24884258210659027,0.1364404708147049,0.3314409554004669,0.3314409554004669,0.12508060038089752,0.165965735912323,0.212881401181221,0.14214342832565308,0.1879374235868454,0.12074550241231918
locations,0.21363390982151031,0.22039549052715302,0.2476835548877716,0.08372673392295837,0.3575807511806488,0.3575807511806488,0.27264901995658875,0.18536195158958435,0.2564191222190857,0.19173027575016022,0.13878555595874786,0.14570996165275574
and,0.31309178471565247,0.29179611802101135,0.35983073711395264,0.2595709264278412,0.5171257257461548,0.5171257257461548,0.23101849853992462,0.2462768852710724,0.2753470242023468,0.3765919506549835,0.2590578496456146,0.20544172823429108
will,0.3510494530200958,0.23828288912773132,1.0,0.20481765270233154,0.3635469079017639,0.3635469079017639,0.18732762336730957,0.20393992960453033,0.28619691729545593,0.2841227948665619,0.1328900158405304,0.35046905279159546
feature,0.23320603370666504,0.9999998807907104,0.23828288912773132,0.08276708424091339,0.3053930699825287,0.3053930699825287,0.295534610748291,0.17217588424682617,0.20530351996421814,0.1741061508655548,0.1774209886789322,0.2893312871456146
wide,0.22181174159049988,0.2587907910346985,0.2265147864818573,0.14127950370311737,0.28078147768974304,0.28078147768974304,0.1909565031528473,0.1372741013765335,0.23324812948703766,0.1410895735025406,0.13404805958271027,0.12719376385211945
