,how,much,did,the,population,of,victoria,increase,in,ten,years,after,the,discovery,of,gold,?
in,0.2601168751716614,0.2725222110748291,0.2593238651752472,0.6662389636039734,0.3268454372882843,0.5696388483047485,0.20823122560977936,0.25893163681030273,1.0,0.29515787959098816,0.33554986119270325,0.44050168991088867,0.6662389636039734,0.23947767913341522,0.5696388483047485,0.21206732094287872,0.20430970191955566
ten,0.26821833848953247,0.20169475674629211,0.22550487518310547,0.3256247341632843,0.14705605804920197,0.2743614614009857,0.1312137097120285,0.1984270215034485,0.29515787959098816,0.9999999403953552,0.38129207491874695,0.3080919086933136,0.3256247341632843,0.1762092113494873,0.2743614614009857,0.2093988060951233,0.14471080899238586
years,0.21949264407157898,0.2631898522377014,0.2695724070072174,0.2912273406982422,0.1909075230360031,0.2904134690761566,0.19198158383369446,0.19831934571266174,0.33554986119270325,0.38129207491874695,1.0,0.38036108016967773,0.2912273406982422,0.22981366515159607,0.2904134690761566,0.18058395385742188,0.1914375126361847
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.32044094800949097,0.733189046382904,0.2204313427209854,0.32049667835235596,0.6662389636039734,0.3256247341632843,0.2912273406982422,0.4565047025680542,1.0,0.29877567291259766,0.733189046382904,0.27136439085006714,0.22068053483963013
population,0.1651063710451126,0.21015548706054688,0.0652005523443222,0.32044094800949097,1.0,0.3060894012451172,0.1544925570487976,0.3007703125476837,0.3268454372882843,0.14705605804920197,0.1909075230360031,0.16538463532924652,0.32044094800949097,0.11338645219802856,0.3060894012451172,0.15269692242145538,0.14449454843997955
of,0.2480744868516922,0.2671096920967102,0.2513895630836487,0.733189046382904,0.3060894012451172,1.0,0.2505437433719635,0.3156060576438904,0.5696388483047485,0.2743614614009857,0.2904134690761566,0.3867455720901489,0.733189046382904,0.2566966712474823,1.0,0.2101457566022873,0.1826142966747284
victoria,0.09004101157188416,0.14623430371284485,0.15437227487564087,0.2204313427209854,0.1544925570487976,0.2505437433719635,1.0,0.08894076198339462,0.20823122560977936,0.1312137097120285,0.19198158383369446,0.2524089217185974,0.2204313427209854,0.1424272060394287,0.2505437433719635,0.34557661414146423,0.12246892601251602
increased,0.2297995388507843,0.38681474328041077,0.20765343308448792,0.3188653886318207,0.32802391052246094,0.3371390700340271,0.11564633995294571,0.8384779691696167,0.244624063372612,0.2564411759376526,0.2633826732635498,0.21351024508476257,0.3188653886318207,0.1925032138824463,0.3371390700340271,0.13263250887393951,0.09587585180997849
sevenfold,0.2198275625705719,0.18102629482746124,0.11200156062841415,0.30725088715553284,0.20990045368671417,0.29303669929504395,0.2005792260169983,0.26492634415626526,0.19621361792087555,0.38195833563804626,0.25512459874153137,0.29800036549568176,0.30725088715553284,0.1474914401769638,0.29303669929504395,0.2679921090602875,0.16259539127349854
from,0.22939439117908478,0.24480824172496796,0.20248863101005554,0.40150508284568787,0.22323650121688843,0.4249346852302551,0.19426235556602478,0.20796631276607513,0.4274188280105591,0.18475036323070526,0.31063511967658997,0.4051513373851776,0.40150508284568787,0.13837124407291412,0.4249346852302551,0.18462617695331573,0.19969791173934937
"76,000",-0.10860072821378708,-0.16035044193267822,0.015144508332014084,0.06132098659873009,-0.0849459171295166,0.09438790380954742,0.10205637663602829,-0.07432582974433899,0.08968082070350647,0.08424525707960129,0.10693829506635666,0.0419645793735981,0.06132098659873009,-0.06184125319123268,0.09438790380954742,0.09430291503667831,-0.011604619212448597
to,0.44169697165489197,0.40610215067863464,0.4452643394470215,0.535392165184021,0.19776633381843567,0.41548454761505127,0.18328198790550232,0.3378143310546875,0.45010748505592346,0.2618066668510437,0.23891852796077728,0.37890323996543884,0.535392165184021,0.17063306272029877,0.41548454761505127,0.19999347627162933,0.29463258385658264
"540,000",-0.0438314825296402,-0.05999215692281723,0.019853902980685234,0.10283339023590088,0.03420164808630943,0.1372353732585907,0.16491492092609406,-0.004406552296131849,0.15616625547409058,0.018753094598650932,0.10779522359371185,0.06671521812677383,0.10283339023590088,0.04981286823749542,0.1372353732585907,0.028649259358644485,0.16509702801704407
.,0.3287222981452942,0.3374604284763336,0.35288307070732117,0.5934505462646484,0.26950228214263916,0.5352458953857422,0.23069117963314056,0.24619564414024353,0.5591574311256409,0.2531837224960327,0.31919315457344055,0.35870397090911865,0.5934505462646484,0.21991804242134094,0.5352458953857422,0.22364865243434906,0.4130953550338745
