,what,did,the,crew,of,apollo,12,do,with,parts,of,the,surveyor,they,landed,near,after,photographing,them,?
on,0.34226128458976746,0.2670976221561432,0.5107308030128479,0.24291740357875824,0.3966929316520691,0.16069947183132172,0.14110936224460602,0.3025321364402771,0.40749499201774597,0.26594671607017517,0.3966929316520691,0.5107308030128479,0.1993754506111145,0.31295230984687805,0.3289313316345215,0.3508072793483734,0.39330315589904785,0.18230825662612915,0.30083513259887695,0.2714994251728058
one,0.376489520072937,0.27659472823143005,0.5514441132545471,0.18994000554084778,0.4999135136604309,0.1690824031829834,0.23354259133338928,0.26478132605552673,0.3855307400226593,0.3156193196773529,0.4999135136604309,0.5514441132545471,0.10833906382322311,0.4178827106952667,0.18384671211242676,0.19300477206707,0.3593756854534149,0.23392555117607117,0.4273320138454437,0.2673267424106598
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2217068374156952,0.4946078956127167,0.19808128476142883,0.20046983659267426,0.3283645510673523,0.4120737314224243,0.2964099943637848,0.4946078956127167,0.4933079481124878,0.23401032388210297,0.390799880027771,0.2338905930519104,0.3141826391220093,0.38860568404197693,0.22921229898929596,0.3985835015773773,0.31091248989105225
they,0.4431931674480438,0.4879390597343445,0.49925389885902405,0.20429614186286926,0.3426007330417633,0.20052532851696014,0.18842370808124542,0.4667694866657257,0.42091572284698486,0.3416596055030823,0.3426007330417633,0.49925389885902405,0.1921968162059784,0.9999999403953552,0.29293254017829895,0.19174499809741974,0.33591970801353455,0.26270896196365356,0.6924025416374207,0.2753053903579712
walked,0.19194380939006805,0.3070957660675049,0.23279288411140442,0.17627517879009247,0.21373257040977478,0.2297942340373993,0.10847080498933792,0.2086833119392395,0.19336915016174316,0.0814700797200203,0.21373257040977478,0.23279288411140442,0.18807804584503174,0.2756577730178833,0.315497487783432,0.2139812856912613,0.28446412086486816,0.16645891964435577,0.2520647943019867,0.12153727561235428
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.21819929778575897,0.41548454761505127,0.23190522193908691,0.22845682501792908,0.38876664638519287,0.4239959120750427,0.24449384212493896,0.41548454761505127,0.535392165184021,0.2366403043270111,0.5452046394348145,0.26572170853614807,0.2456841915845871,0.37890323996543884,0.21996153891086578,0.5916602611541748,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,1.0,0.25329816341400146,0.733189046382904,0.2169172167778015,0.28907760977745056,0.30239659547805786,0.4223487675189972,0.4042440354824066,0.733189046382904,1.0,0.2486654818058014,0.49925389885902405,0.2935211956501007,0.2879819869995117,0.4565047025680542,0.2297779619693756,0.4788833558559418,0.22068053483963013
surveyor,0.2449166178703308,0.19342593848705292,0.2486654818058014,0.26202714443206787,0.25718656182289124,0.26988673210144043,0.07114755362272263,0.17115668952465057,0.1190100908279419,0.1940297931432724,0.25718656182289124,0.2486654818058014,1.0,0.1921968162059784,0.36331433057785034,0.209924578666687,0.1969011276960373,0.31730106472969055,0.20062389969825745,0.0702582448720932
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2217068374156952,0.4946078956127167,0.19808128476142883,0.20046983659267426,0.3283645510673523,0.4120737314224243,0.2964099943637848,0.4946078956127167,0.4933079481124878,0.23401032388210297,0.390799880027771,0.2338905930519104,0.3141826391220093,0.38860568404197693,0.22921229898929596,0.3985835015773773,0.31091248989105225
photographed,0.13553190231323242,0.17201970517635345,0.2295689582824707,0.19873638451099396,0.20250467956066132,0.26460501551628113,0.03500737249851227,0.1317322850227356,0.15789420902729034,0.1300518661737442,0.20250467956066132,0.2295689582824707,0.3100925385951996,0.23369131982326508,0.2714366316795349,0.2097061723470688,0.25183171033859253,0.8756440281867981,0.2261955440044403,0.11054962873458862
